line,type,a,b,c
1,CNE,-0.3585589337648856,0.0,344.092
1,CNE,-0.3585589337648856,0.0,-210.53217239188666
2,CNE,-0.038545284432183774,0.0,344.092
2,CNE,-0.038545284432183774,0.0,-344.092
3,CNE,-0.03927319835550351,0.0,344.092
3,CNE,-0.03927319835550351,0.0,-219.8297186817481
4,CNE,2.157027202647879e-15,0.0,1253.175
4,CNE,2.157027202647879e-15,0.0,-1253.175
5,CNE,0.02278265291560867,0.0,344.092
5,CNE,0.02278265291560867,0.0,-344.092
6,CNE,0.0722764427456895,0.0,143.15870030376323
6,CNE,0.0722764427456895,0.0,-344.092
7,CNE,0.025668907056505326,0.0,344.092
7,CNE,0.025668907056505326,0.0,-344.092
8,CNE,-0.025083109459179614,0.0,292.7065506110001
8,CNE,-0.025083109459179614,0.0,-344.092
9,CNE,-0.10596243167379557,0.0,344.092
9,CNE,-0.10596243167379557,0.0,-344.092
10,CNE,0.008513126876706833,0.0,344.092
10,CNE,0.008513126876706833,0.0,-344.092
11,CNE,-0.1059624227354579,0.0,344.092
11,CNE,-0.1059624227354579,0.0,-344.092
12,CNE,-0.10057623296242701,0.0,344.092
12,CNE,-0.10057623296242701,0.0,-344.092
13,CNE,-0.028304447488102978,0.0,344.092
13,CNE,-0.028304447488102978,0.0,-344.092
14,CNE,-0.01698748600169688,0.0,344.092
14,CNE,-0.01698748600169688,0.0,-344.092
15,CNE,9.722887671850582e-16,0.0,344.092
15,CNE,9.722887671850582e-16,0.0,-344.092
16,CNE,7.730199570946488e-18,0.0,344.092
16,CNE,7.730199570946488e-18,0.0,-344.092
17,CNE,-0.06196961484129087,0.0,344.092
17,CNE,-0.06196961484129087,0.0,-344.092
18,CNE,-0.0034441150697168145,0.0,344.092
18,CNE,-0.0034441150697168145,0.0,-344.092
19,CNE,0.0021418529785421723,0.0,344.092
19,CNE,0.0021418529785421723,0.0,-344.092
20,CNE,0.0014111227078415082,0.0,344.092
20,CNE,0.0014111227078415082,0.0,-344.092
21,CNE,-0.0037257245533362554,0.0,344.092
21,CNE,-0.0037257245533362554,0.0,-344.092
22,CNE,-0.006013498537327788,0.0,344.092
22,CNE,-0.006013498537327788,0.0,-344.092
23,CNE,-0.006477605412018141,0.0,344.092
23,CNE,-0.006477605412018141,0.0,-344.092
24,CNE,0.00041036471817283124,0.0,344.092
24,CNE,0.00041036471817283124,0.0,-344.092
25,CNE,0.01020939080536789,0.0,344.092
25,CNE,0.01020939080536789,0.0,-344.092
26,CNE,-0.03452977696302575,0.0,344.092
26,CNE,-0.03452977696302575,0.0,-344.092
27,CNE,-0.02461404310929609,0.0,344.092
27,CNE,-0.02461404310929609,0.0,-344.092
28,CNE,-0.034529796880224825,0.0,344.092
28,CNE,-0.034529796880224825,0.0,-344.092
29,CNE,0.014403364095932451,0.0,344.092
29,CNE,0.014403364095932451,0.0,-344.092
30,CNE,-0.014945602951259416,0.0,1253.175
30,CNE,-0.014945602951259416,0.0,-1253.175
31,CNE,0.0,-0.23730404565304478,1253.175
31,CNE,0.0,-0.23730404565304478,-1253.175
32,CNE,0.0,-0.2165080444005341,1253.175
32,CNE,0.0,-0.2165080444005341,-1253.175
33,CNE,0.0,-0.24108660575643168,1253.175
33,CNE,0.0,-0.24108660575643168,-1253.175
34,CNE,-0.13870193315006707,0.0,344.092
34,CNE,-0.13870193315006707,0.0,93.03714429984831
35,CNE,0.0,0.010654959258145873,344.092
35,CNE,0.0,0.010654959258145873,-263.8342683352042
36,CNE,0.0,0.011726611534422643,344.092
36,CNE,0.0,0.011726611534422643,-11.730973471610639
37,CNE,0.0,0.009812442998386779,303.8289520622079
37,CNE,0.0,0.009812442998386779,-344.092
38,CNE,0.0,0.017705486557193825,306.2825817874242
38,CNE,0.0,0.017705486557193825,-344.092
39,CNE,0.0,0.01518079284591258,344.092
39,CNE,0.0,0.01518079284591258,-344.092
40,CNE,0.0,-0.015180792845913279,344.092
40,CNE,0.0,-0.015180792845913279,-344.092
41,CNE,0.0,0.019353631558288627,344.092
41,CNE,0.0,0.019353631558288627,-344.092
42,CNE,0.0,-0.03440196845209201,344.092
42,CNE,0.0,-0.03440196845209201,-344.092
43,CNE,0.0,-0.008583402556070152,344.092
43,CNE,0.0,-0.008583402556070152,-329.54187780659345
44,CNE,0.0,-0.050721172518879774,344.092
44,CNE,0.0,-0.050721172518879774,-276.22827219308755
45,CNE,0.0,-0.01971800618937251,1253.175
45,CNE,0.0,-0.01971800618937251,-1253.175
46,CNE,0.0,0.04434223893179237,1253.175
46,CNE,0.0,0.04434223893179237,-1253.175
47,CNE,0.0,0.02516124938995355,344.092
47,CNE,0.0,0.02516124938995355,-344.092
48,CNE,0.0,0.02516124938995355,344.092
48,CNE,0.0,0.02516124938995355,-344.092
49,CNE,0.0,-0.002973158574539614,344.092
49,CNE,0.0,-0.002973158574539614,-96.70252004662649
50,CNE,0.0,-0.0564095429863094,344.092
50,CNE,0.0,-0.0564095429863094,-35.17668986221872
51,CNE,0.0,0.0,1253.175
51,CNE,0.0,0.0,-663.9718351901824
52,CNE,0.0,0.0,761.6844124776085
52,CNE,0.0,0.0,-1253.175
53,CNE,0.0,0.0,1253.175
53,CNE,0.0,0.0,-1253.175
54,CNE,0.0,0.0,920.8080358050844
54,CNE,0.0,0.0,-1253.175
55,CNE,0.0,0.0,1253.175
55,CNE,0.0,0.0,-1253.175
56,CNE,0.0,0.0,344.092
56,CNE,0.0,0.0,-338.82404411047594
57,CNE,0.0,0.0,344.092
57,CNE,0.0,0.0,-344.092
58,CNE,0.0,0.0,344.092
58,CNE,0.0,0.0,-344.092
59,CNE,0.0,0.0,344.092
59,CNE,0.0,0.0,-344.092
60,CNE,0.0,0.0,344.092
60,CNE,0.0,0.0,-344.092
61,CNE,0.0,0.0,344.092
61,CNE,0.0,0.0,-344.092
62,CNE,0.0,0.0,344.092
62,CNE,0.0,0.0,-344.092
63,CNE,0.0,0.0,344.092
63,CNE,0.0,0.0,-344.092
64,CNE,0.0,0.0,344.092
64,CNE,0.0,0.0,-344.092
65,CNE,0.0,0.0,344.092
65,CNE,0.0,0.0,-344.092
66,CNE,0.0,0.0,344.092
66,CNE,0.0,0.0,-344.092
67,CNE,0.0,0.0,344.092
67,CNE,0.0,0.0,-344.092
68,CNE,0.0,0.0,344.092
68,CNE,0.0,0.0,-344.092
69,CNE,0.0,0.0,344.092
69,CNE,0.0,0.0,-344.092
70,CNE,0.0,0.0,344.092
70,CNE,0.0,0.0,-344.092
71,CNE,0.0,0.0,344.092
71,CNE,0.0,0.0,-344.092
72,CNE,0.0,0.0,344.092
72,CNE,0.0,0.0,-277.85031427893307
73,CNE,0.0,0.0,344.092
73,CNE,0.0,0.0,-344.092
74,CNE,0.0,0.0,344.092
74,CNE,0.0,0.0,-325.9099219498492
75,CNE,0.0,0.0,344.092
75,CNE,0.0,0.0,-344.092
76,CNE,0.0,0.0,344.092
76,CNE,0.0,0.0,-344.092
77,CNE,0.0,0.0,344.092
77,CNE,0.0,0.0,-344.092
78,CNE,0.0,0.0,344.092
78,CNE,0.0,0.0,-311.83427415552603
79,CNE,0.0,0.0,344.092
79,CNE,0.0,0.0,-329.58135388050505
80,CNE,0.0,0.0,344.092
80,CNE,0.0,0.0,-57.93480479313729
81,CNE,0.0,0.0,344.092
81,CNE,0.0,0.0,-344.092
82,CNE,0.0,0.0,344.092
82,CNE,0.0,0.0,-220.15734918923488
83,CNE,0.0,0.0,344.092
83,CNE,0.0,0.0,-154.9894739228656
84,CNE,0.0,0.0,344.092
84,CNE,0.0,0.0,-178.9323491892353
85,CNE,0.0,0.0,344.092
85,CNE,0.0,0.0,-334.8675890179346
86,CNE,0.0,0.0,344.092
86,CNE,0.0,0.0,-323.5130784667979
87,CNE,0.004341895275842825,0.0,344.092
87,CNE,0.004341895275842825,0.0,-344.092
88,CNE,-0.004341895275840448,0.0,344.092
88,CNE,-0.004341895275840448,0.0,-344.092
89,CNE,0.005194265268828226,0.0,344.092
89,CNE,0.005194265268828226,0.0,-344.092
90,CNE,0.0,0.0,1253.175
90,CNE,0.0,0.0,-1253.175
91,CNE,1.188339619234087e-15,0.0,344.092
91,CNE,1.188339619234087e-15,0.0,-344.092
92,CNE,0.0,0.0,344.092
92,CNE,0.0,0.0,-226.55095002257013
93,CNE,0.0,0.0,344.092
93,CNE,0.0,0.0,-344.092
94,CNE,0.0,0.0,1192.536847645677
94,CNE,0.0,0.0,-1253.175
95,CNE,0.1403107348601445,0.0,1253.175
95,CNE,0.1403107348601445,0.0,-1253.175
96,CNE,-0.0982447363966708,0.0,1253.175
96,CNE,-0.0982447363966708,0.0,-1253.175
97,CNE,0.0,-0.09405003117391923,1253.175
97,CNE,0.0,-0.09405003117391923,-1253.175
98,CNE,0.0,-0.0630695410796999,1253.175
98,CNE,0.0,-0.0630695410796999,-1253.175
99,CNE,0.0,-0.0993808914889208,1253.175
99,CNE,0.0,-0.0993808914889208,-1253.175
100,CNE,0.0,0.0,1253.175
100,CNE,0.0,0.0,-1253.175
101,CNE,0.0,0.0,1253.175
101,CNE,0.0,0.0,-1253.175
102,CNE,0.0,0.0,1060.2141241025115
102,CNE,0.0,0.0,-1253.175
103,CNE,0.0,-0.07232843916154835,1253.175
103,CNE,0.0,-0.07232843916154835,-952.3896119075018
104,CNE,0.0,0.19117392886538404,1253.175
104,CNE,0.0,0.19117392886538404,-1253.175
105,CNE,0.0,-0.11065297978860635,1253.175
105,CNE,0.0,-0.11065297978860635,-1253.175
106,CNE,0.0,0.0,1253.175
106,CNE,0.0,0.0,-1253.175
107,CNE,0.0,0.0,1253.175
107,CNE,0.0,0.0,-1253.175
108,CNE,0.0,0.0,1253.175
108,CNE,0.0,0.0,-1253.175
109,CNE,0.0,0.0,1253.175
109,CNE,0.0,0.0,-1253.175
110,CNE,0.0213334521127684,0.0,344.092
110,CNE,0.0213334521127684,0.0,-344.092
111,CNE,0.015371896141750068,0.0,1253.175
111,CNE,0.015371896141750068,0.0,-1253.175
112,CNE,-0.015872647103221012,0.0,344.092
112,CNE,-0.015872647103221012,0.0,-344.092
113,CNE,-0.030716156166434874,0.0,1253.175
113,CNE,-0.030716156166434874,0.0,-1253.175
114,CNE,-0.01835094932859165,0.0,1253.175
114,CNE,-0.01835094932859165,0.0,-1253.175
115,CNE,0.06033570489516285,0.0,1253.175
115,CNE,0.06033570489516285,0.0,-1253.175
116,CNE,-0.03307395070355555,0.0,1253.175
116,CNE,-0.03307395070355555,0.0,-1253.175
117,CNE,0.0,0.0,1253.175
117,CNE,0.0,0.0,-1253.175
118,CNE,0.0,0.0,1253.175
118,CNE,0.0,0.0,-1253.175
119,CNE,0.0,0.0,239.6888612006539
119,CNE,0.0,0.0,-344.092
120,CNE,0.0,0.0,216.2191499952881
120,CNE,0.0,0.0,-344.092
121,CNE,0.0,0.0,269.12234918923366
121,CNE,0.0,0.0,-344.092
122,CNE,0.0,0.0,1253.175
122,CNE,0.0,0.0,-1070.0206128409488
123,CNE,0.0,0.0,1253.175
123,CNE,0.0,0.0,-1102.4974992316259
124,CNE,0.0,0.0,1253.175
124,CNE,0.0,0.0,-1253.175
125,CNE,0.0,-0.0022612170341742193,344.092
125,CNE,0.0,-0.0022612170341742193,-344.092
126,CNE,0.0,-0.14709646952669586,1253.175
