Hour,Capacity Calculation [MWh],Capacity Allocation [MWh],Total volume risk [MWh],λ OBZ [€/MWh],λ zone 1 [€/MWh],λ zone 2 [€/MWh],λ zone 3 [€/MWh],Curtailment OWF 119 (z1) [MWh],Curtailment OWF 124 (z2) [MWh],Curtailment OWF 120 (z3) [MWh]
x1,0.0,477.790958215732,477.790958215732,-1e-08,37.28,-1e-08,-1e-08,10.715958215731757,0.0,467.0750000000003
x2,0.0,978.4885655795327,978.4885655795327,-1e-08,36.05,-1e-08,-1e-08,978.4885655795327,0.0,0.0
x3,0.0,1014.3499995,1014.3499995,-1e-08,36.05,-1e-08,-1e-08,1014.3499995,0.0,0.0
x4,0.0,1010.2300005,1010.2300005,-1e-08,35.46,-1e-08,-1e-08,1010.2300005,0.0,0.0
x5,0.0,1997.2924623089448,1997.2924623089448,-1e-08,35.46,-1e-08,-1e-08,998.2374618089448,0.0,999.0550005
x6,0.0,2096.843030895778,2096.843030895778,-1e-08,35.46,-1e-08,-1e-08,1032.405,32.0330308957781,1032.405
x7,30.12767899851451,2170.7703503972634,2200.898029395778,-1e-08,35.46,-1e-08,-1e-08,1067.0899995,66.7180303957781,1067.0899995
x8,82.94268049851462,2170.770350397264,2253.7130308957785,-1e-08,35.46,-1e-08,-1e-08,1084.6950000000002,84.32303089577829,1084.6950000000002
x9,109.5526789985147,2170.770350397264,2280.3230293957786,-1e-08,35.46,-1e-08,-1e-08,1093.5649995,93.19303039577824,1093.5649995
x10,0.0,2742.875,2742.875,-1e-08,35.46,-1e-08,-1e-08,1086.585,569.7049999999999,1086.585
x11,0.0,3334.0199985,3334.0199985,-1e-08,35.46,-1e-08,-1e-08,1111.3399995,1111.3399995,1111.3399995
x12,0.0,3425.8350015000005,3425.8350015000005,-1e-08,36.05,-1e-08,-1e-08,1141.9450005,1141.9450005,1141.9450005
x13,0.0,3447.7799985,3447.7799985,-1e-08,37.28,-1e-08,-1e-08,1149.2599995,1149.2599995,1149.2599995
x14,0.0,3470.6550015,3470.6550015,-1e-08,37.28,-1e-08,-1e-08,1156.8850005,1156.8850005,1156.8850005
x15,0.0,2993.6299984999996,2993.6299984999996,-1e-08,37.28,-1e-08,-1e-08,1170.1699995,653.2899994999998,1170.1699995
x16,0.0,3051.0049984999996,3051.0049984999996,-1e-08,37.28,-1e-08,-1e-08,1189.2949995,672.4149994999998,1189.2949995
x17,203.2543713079308,2301.5450129517512,2504.799384259682,-1e-08,47.42,-1e-08,-1e-08,1205.8099995,93.17938525968202,1205.8099995
x18,304.83304959854013,2254.776334661142,2559.609384259682,-1e-08,48.19,-1e-08,-1e-08,1224.0799995,111.449385259682,1224.0799995
x19,268.58250243102384,2335.096884828658,2603.679387259682,-1e-08,48.19,-1e-08,-1e-08,1238.7700005,126.13938625968194,1238.7700005
x20,580.537681998514,2170.770350397264,2751.308032395778,-1e-08,47.42,-1e-08,-1e-08,1250.5600005,250.188031395778,1250.5600005
x21,593.3026789985147,1916.3273200014855,2509.629999,-1e-08,37.28,-1e-08,-1e-08,1254.8149995,0.0,1254.8149995
x22,602.1226789985144,1913.3873200014855,2515.509999,-1e-08,36.05,-1e-08,-1e-08,1257.7549995,0.0,1257.7549995
x23,615.4726804985153,2170.7703503972634,2786.2430308957787,-1e-08,36.05,-1e-08,-1e-08,1262.2050000000002,261.8330308957783,1262.2050000000002
x24,531.7726804985141,1936.837319501486,2468.61,-1e-08,35.46,-1e-08,-1e-08,1234.305,0.0,1234.305
x25,497.0326804985143,2170.770350397264,2667.803030895778,-1e-08,35.46,-1e-08,-1e-08,1222.725,222.35303089577823,1222.725
x26,586.5676819985151,1918.572319001485,2505.140001,-1e-08,35.46,-1e-08,-1e-08,1252.5700005,0.0,1252.5700005
x27,644.4226789985146,1899.2873200014856,2543.709999,-1e-08,35.46,-1e-08,-1e-08,1271.8549995,0.0,1271.8549995
