1,2,3,4
0.9413,0.858,0.704,0.83471
0.9339,0.858,0.709,0.833693333
0.9316,0.858,0.713,0.834416667
0.9261,0.858,0.716,0.833576667
0.9172,0.858,0.716,0.83068
0.8979,0.858,0.716,0.824173333
0.8689,0.858,0.716,0.814506667
0.8529,0.858,0.716,0.809176667
0.8461,0.858,0.716,0.806966667
0.8535,0.858,0.716,0.80945
0.8662,0.873,0.717,0.81859
0.8708,0.875,0.717,0.820726667
0.861,0.873,0.716,0.816806667
0.8337,0.873,0.717,0.807853333
0.7877,0.873,0.717,0.792503333
0.7431,0.874,0.717,0.7779
0.7136,0.875,0.716,0.768136667
0.7168,0.875,0.716,0.769416667
0.7277,0.870,0.716,0.771276667
0.7376,0.859,0.716,0.771023333
0.7595,0.858,0.716,0.778036667
0.7776,0.858,0.715,0.783673333
0.777,0.858,0.711,0.782196667
0.7724,0.867,0.708,0.782383333
0.7424,0.875,0.698,0.77199
0.6657,0.868,0.689,0.740966667
0.6227,0.826,0.688,0.71191
0.6126,0.794,0.692,0.699506667
0.642,0.834,0.695,0.723616667
0.704,0.861,0.693,0.75292
0.7673,0.860,0.690,0.77234
0.7941,0.832,0.689,0.77163
0.7652,0.764,0.689,0.73928
0.7243,0.652,0.688,0.688013333
0.6774,0.527,0.667,0.62365
0.6366,0.400,0.670,0.5686
0.6029,0.287,0.684,0.52451
0.5741,0.190,0.702,0.4887
0.5521,0.127,0.708,0.462386667
0.5346,0.070,0.709,0.43803
0.5089,0.025,0.708,0.414063333
0.4671,0.000,0.706,0.39124
0.4424,0.000,0.702,0.381623333
0.3976,0.000,0.693,0.363696667
0.3385,0.000,0.649,0.329086667
0.2778,0.000,0.590,0.289283333
0.2249,0.022,0.533,0.26011
0.1809,0.056,0.482,0.239496667
0.1421,0.084,0.433,0.219766667
0.1055,0.120,0.390,0.20492
0.0808,0.159,0.347,0.195326667
0.065,0.193,0.332,0.1966
0.0522,0.231,0.322,0.20171
0.0439,0.279,0.295,0.205886667
0.043,0.315,0.258,0.205393333
0.0475,0.322,0.224,0.19793
0.0578,0.318,0.191,0.188903333
0.0664,0.305,0.139,0.170073333
0.0673,0.297,0.091,0.151896667
0.0585,0.259,0.062,0.126386667
0.0478,0.199,0.042,0.095986667
0.0383,0.135,0.033,0.06871
0.0271,0.066,0.029,0.04053
0.017,0.018,0.029,0.02134
0.0179,0.001,0.031,0.016683333
0.0388,0.008,0.036,0.027326667
0.081,0.033,0.035,0.049733333
0.1242,0.077,0.028,0.076286667
0.1484,0.093,0.023,0.088093333
0.162,0.064,0.025,0.083783333
0.1683,0.035,0.033,0.078796667
0.1651,0.020,0.051,0.078663333
0.1664,0.006,0.080,0.084033333
0.1727,0.000,0.113,0.095383333
0.1894,0.000,0.145,0.111686667
0.1808,0.000,0.160,0.113666667
0.1765,0.003,0.179,0.11977
0.1744,0.029,0.205,0.1361
0.1668,0.105,0.216,0.162656667
0.1628,0.180,0.222,0.188283333
0.1621,0.257,0.225,0.214783333
0.1403,0.288,0.244,0.223993333
0.1475,0.293,0.263,0.2346
0.1955,0.273,0.283,0.250486667
0.2636,0.275,0.302,0.280286667
0.3191,0.315,0.309,0.31464
0.361,0.348,0.333,0.34713
0.3831,0.344,0.343,0.356626667
0.3771,0.334,0.332,0.34765
0.3346,0.321,0.288,0.31448
0.3151,0.279,0.240,0.27818
0.2982,0.238,0.207,0.247933333
0.2723,0.223,0.156,0.217063333
0.2423,0.203,0.109,0.185
0.2094,0.169,0.073,0.15054
0.1832,0.133,0.053,0.123023333
0.1554,0.113,0.041,0.103023333
0.1267,0.098,0.032,0.085483333
0.1081,0.083,0.020,0.070613333
0.0983,0.074,0.010,0.060716667
0.0852,0.069,0.010,0.054863333
0.0674,0.066,0.011,0.048003333
0.0461,0.052,0.010,0.03616
0.0263,0.052,0.009,0.029246667
0.0103,0.051,0.013,0.024653333
0.0016,0.037,0.015,0.017813333
0.0014,0.023,0.022,0.015543333
0.005,0.012,0.041,0.01911
0.0158,0.001,0.074,0.030343333
0.0333,0.000,0.122,0.051956667
0.053,0.000,0.170,0.07448
0.0655,0.005,0.202,0.090913333
0.0731,0.011,0.216,0.099993333
0.0841,0.013,0.214,0.10354
0.0917,0.012,0.201,0.101533333
0.0843,0.005,0.199,0.096003333
0.0807,0.000,0.208,0.096333333
0.0809,0.000,0.210,0.096816667
0.0827,0.000,0.200,0.09433
0.0945,0.000,0.187,0.09392
0.1134,0.000,0.176,0.09652
0.1366,0.000,0.164,0.10014
0.1596,0.000,0.148,0.10266
0.1759,0.013,0.124,0.104413333
0.1778,0.041,0.110,0.109446667
0.1641,0.068,0.108,0.113176667
0.1452,0.072,0.107,0.107796667
0.138,0.059,0.095,0.097416667
0.1337,0.045,0.088,0.088893333
0.1187,0.047,0.092,0.086006667
0.0946,0.073,0.096,0.08784
0.0706,0.120,0.074,0.088066667
0.0518,0.168,0.042,0.087246667
0.0375,0.207,0.016,0.086916667
0.0284,0.225,0.004,0.08548
0.0295,0.215,0.001,0.081763333
0.0484,0.188,0.001,0.07924
0.0864,0.144,0.003,0.077926667
0.1186,0.087,0.004,0.069896667
0.1119,0.038,0.003,0.050876667
0.0878,0.013,0.005,0.035086667
0.0732,0.001,0.016,0.029843333
0.0584,0.000,0.033,0.030593333
0.0368,0.000,0.066,0.034373333
0.0191,0.000,0.111,0.04323
0.0157,0.000,0.155,0.05705
0.0214,0.000,0.192,0.071253333
0.0274,0.000,0.236,0.08775
0.0389,0.000,0.283,0.10728
0.0512,0.000,0.326,0.12572
0.0553,0.000,0.377,0.144153333
0.0681,0.000,0.433,0.16701
0.1036,0.000,0.484,0.195893333
0.1456,0.000,0.515,0.220076667
0.1832,0.001,0.517,0.233493333
0.2145,0.005,0.509,0.242993333
0.2402,0.007,0.487,0.24503
0.2497,0.006,0.439,0.231783333
0.2374,0.002,0.378,0.206066667
0.209,0.000,0.349,0.186026667
0.1724,0.000,0.335,0.169296667
0.1325,0.000,0.322,0.151346667
0.12,0.000,0.301,0.140406667
0.1084,0.000,0.274,0.1275
0.0932,0.000,0.246,0.11316
0.0744,0.000,0.224,0.09963
0.0568,0.000,0.217,0.091303333
0.0409,0.000,0.229,0.08992
0.0295,0.000,0.251,0.093606667
0.0216,0.000,0.274,0.098396667
0.0154,0.000,0.281,0.098866667
0.0104,0.000,0.283,0.097693333
0.0068,0.000,0.268,0.091446667
0.0042,0.000,0.224,0.076186667
0.0031,0.000,0.168,0.056936667
0.0022,0.000,0.122,0.041446667
0.0013,0.000,0.095,0.031973333
0.0014,0.000,0.080,0.02727
0.0019,0.000,0.070,0.02408
0.0023,0.000,0.061,0.02113
0.003,0.000,0.051,0.017843333
0.0038,0.000,0.037,0.013456667
0.005,0.000,0.020,0.008303333
0.0078,0.000,0.011,0.00627
0.0163,0.003,0.009,0.009563333
0.0478,0.017,0.008,0.024393333
0.1,0.038,0.009,0.048933333
0.1358,0.060,0.011,0.068963333
0.1471,0.073,0.012,0.07734
0.1511,0.087,0.007,0.08188
0.1549,0.097,0.006,0.085663333
0.1546,0.091,0.005,0.083606667
0.1474,0.077,0.005,0.076626667
0.1414,0.058,0.006,0.068523333
0.1185,0.039,0.006,0.054286667
0.088,0.018,0.006,0.037383333
0.0611,0.005,0.006,0.024083333
0.041,0.000,0.007,0.016066667
0.0214,0.000,0.007,0.00961
0.0094,0.000,0.008,0.0058
0.0053,0.000,0.009,0.00485
0.0016,0.000,0.010,0.00392
0.0005,0.000,0.011,0.00372
0.0002,0.000,0.013,0.004376667
0.0001,0.000,0.013,0.00434
0.0001,0.000,0.011,0.00363
0.0013,0.009,0.006,0.00561
0.006,0.016,0.004,0.00887
0.0146,0.017,0.003,0.01158
0.0295,0.012,0.003,0.01474
0.0516,0.002,0.002,0.018773333
0.0687,0.000,0.001,0.023276667
0.0779,0.000,0.000,0.026053333
0.077,0.000,0.000,0.02571
0.0632,0.000,0.000,0.021093333
0.0449,0.000,0.000,0.014976667
0.0264,0.000,0.000,0.008803333
0.0129,0.000,0.000,0.004303333
0.0053,0.000,0.000,0.00177
0.0017,0.000,0.000,0.000566667
0.0004,0.000,0.002,0.000743333
0.0001,0.000,0.003,0.00105
0,0.001,0.001,0.000646667
0,0.003,0.000,0.001053333
0.0008,0.005,0.000,0.002093333
0.0046,0.010,0.000,0.00491
0.0079,0.016,0.005,0.009816667
0.0111,0.019,0.012,0.014176667
0.0133,0.016,0.016,0.01527
0.0132,0.010,0.019,0.01401
0.0108,0.001,0.020,0.01047
0.0058,0.000,0.022,0.00939
0.0012,0.000,0.028,0.0096
0.0041,0.000,0.038,0.0139
0.0181,0.000,0.049,0.022466667
0.049,0.000,0.071,0.040203333
0.0958,0.008,0.096,0.066636667
0.1523,0.064,0.128,0.114586667
0.2105,0.229,0.153,0.197546667
0.2526,0.410,0.167,0.276513333
0.2742,0.498,0.183,0.318306667
0.3232,0.548,0.200,0.357146667
0.4033,0.608,0.224,0.411913333
0.4141,0.628,0.250,0.43051
0.352,0.660,0.284,0.431986667
0.3051,0.720,0.318,0.447973333
0.3106,0.795,0.328,0.47786
0.3836,0.856,0.342,0.527383333
0.5623,0.874,0.395,0.610466667
0.7193,0.858,0.502,0.693153333
0.7254,0.858,0.620,0.73475
0.7482,0.858,0.677,0.761303333
0.8033,0.875,0.691,0.789876667
0.7998,0.842,0.696,0.779243333
0.761,0.663,0.701,0.708403333
0.7059,0.393,0.706,0.601703333
0.5137,0.165,0.709,0.462536667
0.3137,0.039,0.712,0.35475
0.2084,0.019,0.713,0.313333333
0.2084,0.029,0.709,0.315523333
0.2651,0.064,0.707,0.345236667
0.3176,0.120,0.704,0.380793333
0.3773,0.156,0.701,0.41147
0.4272,0.190,0.693,0.436786667
0.4464,0.220,0.686,0.45076
0.4396,0.245,0.687,0.456976667
