1,2,3,4
0.3573,0.596,0.711,0.554916667
0.348,0.331,0.712,0.463816667
0.2415,0.157,0.711,0.369953333
0.1544,0.079,0.711,0.314856667
0.1238,0.018,0.708,0.283246667
0.0961,0.000,0.699,0.265143333
0.0845,0.000,0.680,0.25484
0.0803,0.000,0.640,0.240146667
0.0733,0.012,0.582,0.222546667
0.072,0.158,0.499,0.24302
0.0692,0.518,0.439,0.342026667
0.082,0.799,0.399,0.426933333
0.131,0.864,0.368,0.454263333
0.2594,0.873,0.327,0.486716667
0.4435,0.875,0.290,0.535936667
0.5501,0.875,0.250,0.558376667
0.6315,0.875,0.232,0.579373333
0.6933,0.874,0.270,0.612603333
0.7226,0.874,0.383,0.659883333
0.6931,0.871,0.563,0.709236667
0.6759,0.871,0.638,0.72843
0.6759,0.860,0.682,0.739463333
0.6624,0.840,0.682,0.728103333
0.7165,0.834,0.679,0.743076667
0.7239,0.835,0.677,0.745113333
0.6932,0.831,0.674,0.73282
0.6716,0.818,0.672,0.7205
0.6634,0.811,0.669,0.714496667
0.671,0.814,0.667,0.717413333
0.6919,0.822,0.673,0.728876667
0.6983,0.832,0.688,0.739123333
0.6742,0.846,0.701,0.74045
0.6601,0.856,0.708,0.741523333
0.6572,0.863,0.710,0.74352
0.69,0.871,0.711,0.757236667
0.7221,0.874,0.710,0.768786667
0.739,0.874,0.708,0.773626667
0.7372,0.872,0.706,0.77181
0.6868,0.870,0.705,0.753873333
0.6555,0.861,0.706,0.740606667
0.6361,0.849,0.707,0.730656667
0.6088,0.837,0.708,0.717993333
0.6098,0.824,0.709,0.71449
0.5963,0.815,0.710,0.707173333
0.631,0.811,0.711,0.717443333
0.597,0.811,0.710,0.70599
0.6235,0.799,0.708,0.70995
0.6683,0.790,0.702,0.720056667
0.6597,0.797,0.662,0.706266667
0.638,0.797,0.585,0.6736
0.6188,0.788,0.495,0.633733333
0.6075,0.777,0.420,0.601496667
0.591,0.772,0.374,0.57921
0.5861,0.752,0.388,0.57555
0.5803,0.738,0.429,0.582496667
0.568,0.746,0.463,0.592393333
0.5533,0.763,0.521,0.612326667
0.5008,0.750,0.562,0.60417
0.4839,0.733,0.599,0.60519
0.4918,0.719,0.640,0.616876667
0.487,0.723,0.653,0.62119
0.5099,0.768,0.663,0.646756667
0.5576,0.817,0.670,0.68143
0.6006,0.831,0.672,0.70135
0.585,0.840,0.673,0.699446667
0.6032,0.855,0.675,0.71097
0.6264,0.870,0.677,0.72453
0.6474,0.875,0.680,0.73434
0.7106,0.858,0.684,0.751116667
0.7606,0.858,0.689,0.769286667
0.7966,0.858,0.693,0.7828
0.815,0.858,0.696,0.789763333
0.8639,0.858,0.698,0.806833333
0.9097,0.858,0.702,0.823403333
0.9403,0.858,0.705,0.834426667
0.9059,0.858,0.709,0.824326667
0.822,0.858,0.713,0.797933333
0.8172,0.861,0.716,0.798063333
0.7528,0.724,0.716,0.730983333
0.6675,0.628,0.716,0.670433333
0.5933,0.631,0.717,0.646956667
0.5481,0.691,0.717,0.652143333
0.5612,0.780,0.717,0.686113333
0.6424,0.840,0.717,0.733
0.6953,0.868,0.716,0.75994
0.7171,0.874,0.716,0.768916667
0.7315,0.874,0.716,0.77392
0.7306,0.874,0.716,0.77376
0.7132,0.875,0.717,0.76841
0.7113,0.861,0.717,0.76307
0.7327,0.858,0.717,0.769263333
0.7587,0.858,0.716,0.77783
0.7786,0.858,0.716,0.784403333
0.7973,0.858,0.716,0.790636667
0.8127,0.858,0.716,0.79577
0.8243,0.858,0.716,0.799636667
0.8364,0.858,0.716,0.80367
0.8419,0.858,0.716,0.805503333
0.8615,0.858,0.716,0.812036667
0.8595,0.858,0.716,0.81137
0.8658,0.858,0.716,0.81347
0.8665,0.858,0.716,0.813703333
0.8789,0.858,0.716,0.817836667
0.9043,0.858,0.716,0.826303333
0.9119,0.858,0.716,0.828836667
0.9218,0.858,0.716,0.832136667
0.9396,0.858,0.716,0.83807
0.9515,0.858,0.716,0.842036667
0.957,0.858,0.716,0.84387
0.9568,0.858,0.716,0.843803333
0.9525,0.858,0.716,0.84237
0.9531,0.858,0.716,0.84257
0.952,0.858,0.716,0.842203333
0.9541,0.858,0.716,0.842903333
0.9567,0.858,0.716,0.84377
0.9571,0.858,0.716,0.843903333
0.9561,0.858,0.716,0.84357
0.9575,0.858,0.716,0.844036667
0.9568,0.858,0.716,0.843803333
0.9523,0.858,0.716,0.842303333
0.9494,0.858,0.716,0.841336667
0.9443,0.858,0.716,0.839636667
0.9423,0.858,0.716,0.83897
0.9348,0.858,0.716,0.83647
0.9344,0.858,0.716,0.836336667
0.934,0.858,0.716,0.836203333
0.9294,0.858,0.716,0.83467
0.9309,0.858,0.716,0.83517
0.9333,0.858,0.716,0.83597
0.9362,0.858,0.716,0.836936667
0.9411,0.858,0.716,0.83857
0.9427,0.858,0.716,0.839103333
0.9333,0.858,0.716,0.83597
0.9181,0.858,0.716,0.830903333
0.9027,0.858,0.716,0.82577
0.8716,0.858,0.716,0.815403333
0.8291,0.864,0.716,0.803186667
0.7849,0.870,0.716,0.79044
0.7244,0.830,0.717,0.757026667
0.656,0.751,0.704,0.703643333
0.5813,0.668,0.643,0.630756667
0.5169,0.598,0.579,0.564686667
0.442,0.486,0.498,0.475436667
