1,2,3,4
0.4524,0.397,0.694,0.514583333
0.4026,0.367,0.689,0.486376667
0.3272,0.351,0.677,0.45165
0.25,0.323,0.663,0.41194
0.2045,0.232,0.653,0.363146667
0.1826,0.164,0.627,0.32454
0.162,0.154,0.578,0.29804
0.1803,0.179,0.532,0.297253333
0.2138,0.223,0.509,0.31526
0.241,0.290,0.499,0.343296667
0.2583,0.343,0.506,0.36889
0.2723,0.400,0.507,0.393123333
0.2899,0.491,0.481,0.420733333
0.3194,0.613,0.423,0.451773333
0.3211,0.668,0.359,0.449366667
0.3254,0.643,0.299,0.42227
0.316,0.593,0.280,0.3963
0.2835,0.503,0.271,0.352426667
0.2548,0.430,0.300,0.328146667
0.2536,0.445,0.358,0.352163333
0.2828,0.627,0.434,0.447793333
0.4232,0.851,0.515,0.596203333
0.6222,0.858,0.579,0.686676667
0.7554,0.858,0.632,0.74849
0.8322,0.858,0.664,0.785013333
0.8826,0.858,0.685,0.8088
0.9122,0.858,0.692,0.820746667
0.9242,0.858,0.695,0.825946667
0.9316,0.858,0.698,0.829426667
0.9371,0.858,0.702,0.8326
0.9439,0.858,0.706,0.836003333
0.9506,0.858,0.710,0.83983
0.9571,0.858,0.713,0.842966667
0.9611,0.858,0.714,0.84468
0.9629,0.858,0.715,0.845563333
0.9681,0.858,0.715,0.847313333
0.9759,0.858,0.715,0.849866667
0.9803,0.858,0.715,0.851323333
0.9816,0.858,0.716,0.852063333
0.9824,0.858,0.716,0.852383333
0.9823,0.858,0.716,0.852383333
0.9804,0.858,0.716,0.85172
0.9728,0.858,0.716,0.849136667
0.9595,0.858,0.716,0.844703333
0.9399,0.858,0.716,0.83817
0.9045,0.858,0.716,0.82637
0.861,0.858,0.716,0.81187
0.8076,0.858,0.716,0.79407
0.7701,0.867,0.716,0.78444
0.7342,0.875,0.716,0.775126667
0.6984,0.872,0.717,0.762243333
0.6509,0.858,0.717,0.74189
0.6195,0.836,0.716,0.72378
0.5991,0.817,0.713,0.70962
0.6016,0.797,0.713,0.70384
0.577,0.750,0.714,0.68041
0.5417,0.681,0.715,0.645916667
0.4913,0.572,0.715,0.592953333
0.4144,0.401,0.714,0.50967
0.3409,0.240,0.711,0.430503333
0.2785,0.136,0.701,0.371753333
0.2221,0.060,0.691,0.324363333
0.1741,0.022,0.666,0.287496667
0.1336,0.007,0.608,0.249556667
0.0959,0.000,0.525,0.207063333
0.0584,0.000,0.426,0.161316667
0.0298,0.000,0.333,0.12081
0.0154,0.000,0.268,0.09458
0.0067,0.008,0.219,0.078063333
0.0035,0.017,0.192,0.071
0.0052,0.021,0.165,0.06377
0.0112,0.020,0.140,0.057093333
0.0215,0.014,0.115,0.050093333
0.0366,0.005,0.087,0.042733333
0.0517,0.000,0.064,0.038523333
0.0618,0.000,0.044,0.03538
0.0701,0.000,0.031,0.033706667
0.0595,0.000,0.025,0.028123333
0.0396,0.000,0.025,0.02177
0.0331,0.012,0.029,0.024573333
0.0287,0.025,0.032,0.02852
0.0305,0.032,0.038,0.033666667
0.0367,0.031,0.047,0.03813
0.0458,0.026,0.043,0.03814
0.0569,0.022,0.033,0.037196667
0.0741,0.019,0.029,0.04064
0.0989,0.018,0.033,0.049896667
0.1238,0.021,0.041,0.061946667
0.1484,0.026,0.061,0.078626667
0.1815,0.036,0.101,0.105956667
0.2645,0.057,0.158,0.16011
0.3842,0.095,0.227,0.235583333
0.4462,0.137,0.289,0.29074
0.4389,0.173,0.346,0.319423333
0.4195,0.200,0.403,0.340786667
0.3953,0.203,0.439,0.345736667
0.3705,0.185,0.459,0.33823
0.3483,0.162,0.463,0.324393333
0.3214,0.139,0.461,0.307153333
0.298,0.126,0.459,0.29457
0.2599,0.121,0.447,0.276096667
0.2012,0.129,0.419,0.24974
0.172,0.142,0.387,0.23373
0.1728,0.166,0.373,0.23733
0.1659,0.200,0.382,0.249413333
0.1415,0.222,0.388,0.25047
0.1619,0.233,0.386,0.260363333
0.1933,0.237,0.373,0.2678
0.229,0.237,0.345,0.270306667
0.2449,0.295,0.336,0.29177
0.2508,0.414,0.334,0.332896667
0.254,0.478,0.350,0.3607
0.2578,0.528,0.387,0.391113333
0.3047,0.579,0.402,0.428593333
0.3172,0.605,0.379,0.433826667
0.3077,0.617,0.321,0.41528
0.301,0.627,0.248,0.391966667
0.3629,0.673,0.217,0.417853333
0.378,0.692,0.232,0.433896667
0.4024,0.657,0.274,0.4447
0.3823,0.629,0.319,0.4435
0.3637,0.601,0.361,0.441936667
0.3735,0.518,0.386,0.42555
0.365,0.434,0.405,0.40136
0.343,0.377,0.419,0.379683333
0.3272,0.330,0.419,0.35857
0.3084,0.261,0.421,0.330046667
0.2976,0.226,0.464,0.329243333
0.2951,0.256,0.527,0.3595
0.3228,0.285,0.605,0.40419
0.3506,0.303,0.652,0.435333333
0.3652,0.325,0.662,0.450666667
0.3919,0.343,0.659,0.46451
0.3926,0.367,0.656,0.47184
0.3834,0.382,0.649,0.471563333
0.3832,0.428,0.633,0.48156
0.3713,0.475,0.613,0.486376667
0.3404,0.485,0.592,0.47236
0.294,0.475,0.574,0.447716667
0.299,0.467,0.572,0.44585
0.3136,0.449,0.580,0.447616667
0.3174,0.394,0.595,0.435536667
