1,2,3,4
0.2995,0.077,0.284,0.220343333
0.2991,0.113,0.312,0.241363333
0.2917,0.141,0.353,0.262006667
0.284,0.175,0.391,0.28322
0.2666,0.239,0.409,0.304723333
0.2257,0.311,0.395,0.310596667
0.1936,0.321,0.348,0.287693333
0.1447,0.292,0.283,0.239756667
0.0994,0.266,0.230,0.198253333
0.073,0.247,0.179,0.166473333
0.0551,0.179,0.156,0.130103333
0.0521,0.140,0.159,0.116886667
0.0688,0.160,0.171,0.133513333
0.0879,0.209,0.181,0.159173333
0.1031,0.265,0.178,0.182103333
0.118,0.335,0.176,0.209566667
0.135,0.377,0.168,0.22671
0.1494,0.387,0.152,0.229526667
0.1631,0.359,0.132,0.218083333
0.1724,0.338,0.107,0.2058
0.1546,0.309,0.080,0.181096667
0.1342,0.268,0.074,0.15862
0.1187,0.222,0.076,0.13899
0.0997,0.182,0.078,0.119923333
0.0668,0.129,0.085,0.093686667
0.0398,0.067,0.095,0.067283333
0.0243,0.048,0.110,0.060766667
0.0133,0.057,0.122,0.064133333
0.0085,0.061,0.138,0.069256667
0.0058,0.064,0.146,0.071873333
0.0009,0.063,0.134,0.06596
0,0.063,0.111,0.058096667
0,0.047,0.088,0.04509
0,0.035,0.065,0.0331
0,0.037,0.048,0.02819
0,0.035,0.040,0.025053333
0.0021,0.042,0.035,0.026483333
0.0129,0.055,0.029,0.032436667
0.0254,0.065,0.024,0.03803
0.0518,0.090,0.022,0.054566667
0.0926,0.123,0.023,0.079493333
0.1642,0.165,0.022,0.117056667
0.2807,0.240,0.025,0.18178
0.3933,0.353,0.032,0.259396667
0.4366,0.446,0.042,0.30805
0.4439,0.465,0.054,0.320976667
0.4744,0.427,0.071,0.324326667
0.4854,0.390,0.095,0.323486667
0.4459,0.386,0.129,0.320243333
0.4572,0.386,0.183,0.342103333
0.4215,0.395,0.257,0.357953333
0.3985,0.434,0.346,0.39302
0.3924,0.481,0.435,0.435943333
0.341,0.503,0.504,0.449263333
0.2956,0.482,0.561,0.44621
0.3258,0.456,0.602,0.461426667
0.3865,0.464,0.627,0.49241
0.485,0.506,0.647,0.5459
0.5411,0.604,0.658,0.60103
0.5475,0.704,0.659,0.63665
0.5248,0.811,0.652,0.66264
0.5147,0.861,0.648,0.67459
0.5777,0.874,0.651,0.701056667
0.6065,0.874,0.663,0.71461
0.6237,0.875,0.667,0.72189
0.6211,0.866,0.663,0.71701
0.6496,0.866,0.629,0.715016667
0.6793,0.875,0.629,0.727996667
0.6979,0.874,0.649,0.740536667
0.7213,0.871,0.699,0.763723333
0.7173,0.870,0.712,0.76636
0.6688,0.873,0.708,0.74995
0.6364,0.875,0.703,0.73801
0.6271,0.875,0.693,0.731793333
0.6383,0.875,0.684,0.732436667
0.6566,0.874,0.681,0.73722
0.6721,0.856,0.686,0.738043333
0.6047,0.817,0.690,0.704013333
0.58,0.751,0.692,0.67435
0.59,0.677,0.694,0.653823333
0.5925,0.601,0.697,0.629913333
0.5498,0.475,0.697,0.573933333
0.4724,0.340,0.690,0.50082
0.4034,0.218,0.669,0.43011
0.312,0.145,0.589,0.348793333
0.2143,0.096,0.479,0.262896667
0.1289,0.039,0.349,0.172323333
0.0481,0.004,0.211,0.087603333
0.005,0.006,0.093,0.034816667
0.0106,0.059,0.028,0.032743333
0.1095,0.199,0.006,0.10493
0.321,0.405,0.015,0.24687
0.4768,0.614,0.057,0.382523333
0.5273,0.727,0.135,0.463163333
0.5935,0.740,0.261,0.53152
0.6659,0.706,0.428,0.599673333
0.7131,0.720,0.591,0.67488
0.6253,0.729,0.686,0.680236667
0.5781,0.705,0.699,0.660873333
0.6067,0.766,0.703,0.691913333
0.6025,0.829,0.704,0.71174
0.5899,0.873,0.704,0.722116667
0.6066,0.860,0.711,0.72578
0.6952,0.858,0.714,0.75588
0.7449,0.858,0.715,0.772893333
0.8705,0.858,0.717,0.815323333
0.9084,0.858,0.716,0.82771
0.9266,0.858,0.714,0.832873333
0.9428,0.858,0.707,0.83612
0.9506,0.858,0.695,0.834806667
0.9488,0.858,0.688,0.831793333
0.9455,0.858,0.691,0.83167
0.9299,0.858,0.696,0.827996667
0.8949,0.858,0.699,0.817576667
0.8319,0.858,0.702,0.797373333
0.775,0.858,0.707,0.780266667
0.7698,0.858,0.714,0.780736667
0.7451,0.858,0.713,0.77208
0.7365,0.858,0.704,0.766336667
0.7002,0.858,0.692,0.750066667
0.665,0.858,0.682,0.735026667
0.6468,0.858,0.675,0.726593333
0.6347,0.858,0.667,0.719896667
0.6218,0.858,0.658,0.712593333
0.6103,0.858,0.653,0.70715
0.6102,0.858,0.652,0.706906667
0.6911,0.858,0.658,0.735703333
0.7588,0.858,0.674,0.763693333
0.7956,0.858,0.685,0.779606667
0.8185,0.858,0.693,0.78987
0.8351,0.858,0.696,0.796636667
0.8569,0.858,0.696,0.80363
0.8814,0.858,0.690,0.809993333
0.9026,0.858,0.682,0.81451
0.9147,0.858,0.673,0.81553
0.933,0.858,0.670,0.820356667
0.943,0.858,0.667,0.82266
0.9453,0.858,0.665,0.82288
0.9455,0.858,0.666,0.82322
0.9445,0.858,0.667,0.8234
0.9416,0.858,0.669,0.82314
0.9365,0.858,0.674,0.823146667
0.921,0.858,0.683,0.820716667
0.8936,0.858,0.689,0.813743333
0.8571,0.858,0.694,0.803106667
0.8117,0.875,0.699,0.795456667
0.7639,0.870,0.704,0.779336667
0.7039,0.844,0.709,0.752433333
0.6085,0.798,0.713,0.706363333
0.5167,0.732,0.686,0.64475
0.4724,0.665,0.613,0.58345
0.4232,0.611,0.533,0.522356667
0.3846,0.519,0.492,0.46517
0.3498,0.362,0.494,0.401946667
0.3011,0.261,0.509,0.356876667
0.2641,0.264,0.504,0.344023333
0.2641,0.294,0.486,0.348263333
0.2632,0.320,0.474,0.352346667
0.2186,0.306,0.469,0.33135
0.1627,0.258,0.448,0.2897
0.1173,0.196,0.377,0.23018
0.0841,0.131,0.274,0.162756667
0.0553,0.087,0.170,0.104203333
0.0435,0.076,0.088,0.06917
0.0417,0.054,0.040,0.04523
0.043,0.026,0.016,0.028316667
0.0531,0.007,0.012,0.024056667
0.0684,0.000,0.012,0.02664
0.0826,0.000,0.017,0.033286667
0.0918,0.000,0.032,0.04113
0.0914,0.000,0.042,0.044443333
0.0788,0.000,0.049,0.04274
0.0608,0.000,0.051,0.037116667
0.0422,0.000,0.049,0.030426667
0.0191,0.001,0.044,0.021433333
0.0083,0.006,0.038,0.017463333
0.0037,0.006,0.028,0.012383333
0.0007,0.001,0.019,0.006826667
0.0001,0.000,0.017,0.005756667
0,0.000,0.018,0.006043333
0,0.000,0.022,0.007346667
0.0002,0.000,0.030,0.010126667
0.0036,0.000,0.046,0.016723333
0.0142,0.000,0.071,0.028326667
0.0334,0.001,0.100,0.044836667
0.0651,0.016,0.129,0.07
0.1167,0.040,0.158,0.10467
0.201,0.116,0.199,0.171976667
0.3059,0.219,0.253,0.25932
0.3999,0.404,0.316,0.373396667
0.4719,0.621,0.381,0.491253333
0.5061,0.765,0.426,0.565576667
0.5243,0.857,0.453,0.61133
0.5771,0.876,0.468,0.640083333
0.634,0.858,0.480,0.657506667
0.6897,0.858,0.502,0.683336667
0.7296,0.858,0.523,0.70373
0.7407,0.858,0.563,0.72058
0.8154,0.858,0.612,0.76201
0.8474,0.858,0.666,0.790543333
0.8735,0.858,0.688,0.80656
0.8649,0.858,0.692,0.805046667
0.8431,0.858,0.686,0.795716667
0.8267,0.858,0.677,0.787553333
0.8229,0.858,0.672,0.784473333
0.8145,0.858,0.671,0.781193333
0.7991,0.862,0.673,0.777816667
0.7596,0.874,0.676,0.770063333
0.706,0.835,0.677,0.739376667
0.6321,0.743,0.677,0.68395
0.576,0.624,0.677,0.62557
0.5492,0.449,0.676,0.55825
0.5077,0.308,0.674,0.496486667
0.4427,0.186,0.674,0.434323333
0.3984,0.085,0.680,0.38784
0.342,0.019,0.691,0.350513333
0.2719,0.000,0.702,0.32456
0.228,0.000,0.708,0.312026667
