1,2,3,4
0.0813,0.026,0.114,0.073936667
0.0657,0.013,0.094,0.057466667
0.0507,0.001,0.076,0.04265
0.0407,0.000,0.058,0.033073333
0.0397,0.001,0.044,0.028266667
0.0449,0.009,0.033,0.028673333
0.0479,0.019,0.021,0.029336667
0.052,0.030,0.015,0.032196667
0.0644,0.032,0.015,0.03738
0.0701,0.018,0.017,0.034896667
0.0608,0.004,0.024,0.02958
0.0468,0.000,0.028,0.024843333
0.0314,0.000,0.025,0.018926667
0.0188,0.000,0.018,0.012426667
0.0111,0.000,0.009,0.006626667
0.0089,0.000,0.002,0.0037
0.0116,0.000,0.001,0.004363333
0.017,0.000,0.001,0.005973333
0.0223,0.000,0.004,0.008693333
0.0272,0.003,0.010,0.01327
0.0308,0.006,0.014,0.016636667
0.0313,0.002,0.017,0.0168
0.0283,0.000,0.021,0.016646667
0.0243,0.000,0.023,0.01567
0.0231,0.000,0.021,0.014573333
0.0268,0.000,0.018,0.01497
0.037,0.000,0.016,0.01779
0.046,0.000,0.013,0.01979
0.0525,0.000,0.010,0.02068
0.0581,0.000,0.008,0.021966667
0.0605,0.000,0.010,0.02343
0.0601,0.001,0.017,0.02604
0.0555,0.008,0.029,0.030876667
0.0497,0.013,0.037,0.033003333
0.0488,0.013,0.042,0.034476667
0.0479,0.015,0.048,0.037056667
0.0487,0.017,0.051,0.039003333
0.0584,0.022,0.051,0.04365
0.0729,0.028,0.052,0.05086
0.0981,0.048,0.057,0.067476667
0.139,0.098,0.065,0.100653333
0.1759,0.155,0.080,0.136833333
0.1915,0.211,0.098,0.166793333
0.178,0.244,0.110,0.177263333
0.1526,0.255,0.109,0.1722
0.1403,0.245,0.106,0.16381
0.1184,0.244,0.104,0.155343333
0.0941,0.244,0.096,0.144513333
0.0836,0.238,0.087,0.136253333
0.1022,0.264,0.076,0.147423333
0.1215,0.259,0.068,0.149556667
0.1143,0.261,0.062,0.145866667
0.1056,0.288,0.061,0.151316667
0.1135,0.310,0.056,0.159753333
0.1341,0.323,0.050,0.168853333
0.159,0.313,0.050,0.17399
0.1636,0.292,0.051,0.168686667
0.1413,0.255,0.046,0.14761
0.1172,0.226,0.035,0.126233333
0.1108,0.218,0.022,0.117093333
0.0938,0.231,0.012,0.11246
0.0744,0.252,0.008,0.111326667
0.061,0.284,0.008,0.11785
0.0669,0.333,0.012,0.137236667
0.0892,0.368,0.016,0.15761
0.1328,0.372,0.021,0.175183333
0.1825,0.379,0.028,0.196783333
0.2283,0.375,0.036,0.213166667
0.2735,0.346,0.045,0.22149
0.2986,0.283,0.054,0.212043333
0.2864,0.221,0.062,0.190073333
0.2545,0.196,0.068,0.17259
0.2352,0.188,0.073,0.16535
0.2239,0.192,0.083,0.166183333
0.2079,0.193,0.090,0.163336667
0.1969,0.173,0.096,0.155256667
0.207,0.151,0.105,0.15441
0.2328,0.168,0.114,0.171683333
0.2537,0.180,0.129,0.187653333
0.2564,0.180,0.151,0.19558
0.2278,0.182,0.163,0.191023333
0.1957,0.211,0.159,0.188603333
0.2047,0.251,0.157,0.204066667
0.2562,0.284,0.153,0.231223333
0.281,0.300,0.145,0.241976667
0.2979,0.306,0.140,0.24799
0.2968,0.317,0.148,0.25389
0.2999,0.331,0.173,0.267886667
0.3513,0.342,0.208,0.300366667
0.3891,0.355,0.247,0.330126667
0.4024,0.375,0.282,0.353283333
0.3832,0.410,0.308,0.367073333
0.3765,0.465,0.323,0.388233333
0.3547,0.512,0.335,0.400613333
0.3425,0.516,0.344,0.40076
0.332,0.495,0.347,0.391586667
0.3248,0.438,0.336,0.366366667
0.325,0.394,0.321,0.346476667
0.3285,0.368,0.313,0.336633333
0.3324,0.367,0.307,0.335563333
0.3171,0.373,0.297,0.328943333
0.3022,0.367,0.289,0.319226667
0.3019,0.351,0.289,0.313883333
0.2987,0.364,0.297,0.319923333
0.2713,0.449,0.311,0.343896667
0.2431,0.532,0.336,0.37024
0.2437,0.570,0.363,0.392443333
0.2759,0.582,0.366,0.408073333
0.285,0.599,0.340,0.408113333
0.3074,0.627,0.297,0.41037
0.343,0.661,0.259,0.42112
0.3971,0.702,0.239,0.446123333
0.4611,0.737,0.255,0.484293333
0.5324,0.738,0.308,0.526233333
0.4403,0.752,0.381,0.524303333
0.4146,0.815,0.441,0.55668
0.3387,0.869,0.481,0.563006667
0.3227,0.875,0.488,0.561893333
0.4255,0.875,0.471,0.590596667
0.5246,0.875,0.437,0.612036667
0.5748,0.872,0.376,0.60779
0.6298,0.847,0.310,0.595343333
0.6462,0.791,0.263,0.56679
0.5584,0.750,0.254,0.520523333
0.5122,0.731,0.292,0.511503333
0.4937,0.736,0.339,0.522953333
0.4702,0.780,0.359,0.536593333
0.4638,0.786,0.373,0.541043333
0.4884,0.778,0.395,0.553836667
0.46,0.768,0.417,0.54835
0.4365,0.778,0.419,0.54448
0.3951,0.800,0.417,0.537226667
0.4645,0.841,0.451,0.585416667
0.5218,0.868,0.499,0.629683333
0.5133,0.871,0.540,0.641236667
0.4943,0.858,0.557,0.636563333
0.5515,0.858,0.556,0.655256667
0.6212,0.858,0.568,0.68241
0.6635,0.858,0.614,0.711946667
0.7437,0.858,0.640,0.747413333
0.7695,0.858,0.664,0.763866667
0.7424,0.876,0.675,0.764146667
0.6754,0.870,0.676,0.740483333
0.5922,0.850,0.676,0.70595
0.5436,0.814,0.674,0.677073333
0.481,0.775,0.671,0.64225
0.3938,0.686,0.634,0.571233333
0.3578,0.619,0.561,0.512626667
0.3093,0.590,0.486,0.461546667
0.2753,0.610,0.404,0.429806667
0.3018,0.678,0.351,0.44368
0.3398,0.798,0.335,0.490773333
0.4268,0.868,0.378,0.55746
0.4811,0.874,0.441,0.598873333
0.53,0.872,0.568,0.656616667
0.5772,0.858,0.656,0.69714
0.6597,0.858,0.674,0.73064
0.7422,0.858,0.684,0.761693333
0.822,0.858,0.684,0.78819
0.9251,0.858,0.683,0.822196667
