1,2,3,4
0.3114,0.500,0.016,0.275956667
0.2731,0.460,0.013,0.248943333
0.2399,0.461,0.014,0.238233333
0.2044,0.447,0.015,0.22207
0.1828,0.439,0.017,0.212913333
0.1799,0.446,0.023,0.216196667
0.1775,0.450,0.031,0.21959
0.1524,0.430,0.034,0.205536667
0.1575,0.424,0.037,0.206336667
0.2271,0.472,0.039,0.246146667
0.2634,0.528,0.036,0.275666667
0.2706,0.573,0.031,0.291266667
0.2766,0.606,0.028,0.303506667
0.2867,0.634,0.031,0.31691
0.2939,0.641,0.037,0.324006667
0.289,0.637,0.044,0.323286667
0.2677,0.607,0.046,0.306986667
0.277,0.587,0.040,0.301323333
0.2838,0.567,0.028,0.292946667
0.2735,0.507,0.017,0.26566
0.2518,0.428,0.012,0.230653333
0.2286,0.358,0.014,0.200293333
0.2013,0.275,0.017,0.164413333
0.1704,0.209,0.022,0.13383
0.1403,0.184,0.028,0.117473333
0.1123,0.177,0.032,0.107096667
0.0926,0.181,0.033,0.10219
0.0801,0.174,0.029,0.09422
0.0737,0.163,0.023,0.08642
0.0735,0.152,0.019,0.08154
0.0803,0.146,0.017,0.081186667
0.0771,0.124,0.022,0.07451
0.0755,0.096,0.030,0.06704
0.0964,0.095,0.041,0.077463333
0.1026,0.092,0.048,0.08088
0.1023,0.076,0.047,0.075006667
0.0977,0.059,0.043,0.066406667
0.0969,0.056,0.037,0.06336
0.1036,0.063,0.030,0.065613333
0.1182,0.074,0.025,0.072396667
0.1592,0.084,0.025,0.089513333
0.224,0.110,0.026,0.120013333
0.2755,0.136,0.021,0.144233333
0.3079,0.153,0.019,0.15987
0.3353,0.161,0.020,0.17194
0.3401,0.155,0.023,0.17253
0.3183,0.136,0.027,0.160243333
0.2825,0.096,0.036,0.13801
0.2434,0.053,0.042,0.11296
0.2027,0.028,0.040,0.090403333
0.1706,0.015,0.034,0.072946667
0.1522,0.002,0.029,0.061156667
0.1358,0.000,0.030,0.05526
0.1154,0.000,0.042,0.05249
0.0846,0.000,0.072,0.05208
0.04,0.000,0.111,0.050263333
0.0115,0.000,0.151,0.054033333
0.0044,0.000,0.182,0.062283333
0.0026,0.000,0.204,0.06882
0.0014,0.000,0.208,0.06983
0.0011,0.000,0.190,0.06367
0.0026,0.000,0.164,0.055463333
0.005,0.000,0.137,0.047216667
0.0071,0.000,0.100,0.035606667
0.0081,0.000,0.064,0.024086667
0.0085,0.000,0.041,0.016476667
0.01,0.000,0.027,0.012356667
0.0137,0.000,0.014,0.009236667
0.0154,0.000,0.008,0.007696667
0.016,0.000,0.007,0.007706667
0.0165,0.004,0.008,0.009533333
0.0215,0.018,0.014,0.017983333
0.0413,0.045,0.030,0.03869
0.0762,0.089,0.046,0.070273333
0.1035,0.124,0.066,0.09806
0.1089,0.129,0.082,0.10657
0.099,0.113,0.086,0.099363333
0.086,0.094,0.081,0.08691
0.072,0.086,0.067,0.075143333
0.0446,0.076,0.047,0.055616667
0.0211,0.059,0.031,0.037083333
0.0152,0.047,0.032,0.03127
0.0191,0.051,0.048,0.039476667
0.0314,0.053,0.086,0.056853333
0.0448,0.032,0.145,0.073893333
0.0603,0.016,0.201,0.09247
0.0792,0.011,0.222,0.104006667
0.0811,0.008,0.199,0.096046667
0.059,0.001,0.156,0.07195
0.0397,0.000,0.115,0.05144
0.0236,0.000,0.076,0.033276667
0.0153,0.000,0.047,0.020776667
0.0146,0.001,0.029,0.014636667
0.0159,0.035,0.021,0.02402
0.0223,0.121,0.022,0.055196667
0.0403,0.195,0.026,0.087313333
0.0654,0.254,0.036,0.118686667
0.0917,0.304,0.055,0.150366667
0.1193,0.346,0.083,0.18269
0.1472,0.377,0.108,0.210826667
0.1782,0.406,0.112,0.232196667
0.2117,0.442,0.106,0.253293333
0.2434,0.466,0.107,0.272246667
0.2225,0.471,0.134,0.27586
0.199,0.420,0.179,0.266033333
0.2148,0.371,0.229,0.27167
0.2278,0.326,0.278,0.277233333
0.248,0.270,0.312,0.276706667
0.2623,0.197,0.331,0.263236667
0.2406,0.147,0.349,0.245666667
0.2048,0.138,0.372,0.238436667
0.1995,0.174,0.390,0.254256667
0.2317,0.234,0.435,0.30014
0.2868,0.308,0.491,0.36207
0.3061,0.335,0.541,0.39399
0.2859,0.314,0.577,0.39243
0.2553,0.250,0.595,0.366906667
0.2381,0.187,0.601,0.34212
0.2205,0.141,0.600,0.32057
0.1977,0.111,0.598,0.302003333
0.1763,0.091,0.604,0.290536667
0.1621,0.083,0.614,0.286466667
0.1464,0.079,0.630,0.28535
0.1373,0.074,0.648,0.286426667
0.1204,0.065,0.658,0.28106
0.095,0.047,0.665,0.268943333
0.0743,0.032,0.669,0.258453333
0.0595,0.033,0.671,0.254223333
0.0362,0.062,0.669,0.25592
0.0363,0.153,0.661,0.28326
0.0514,0.313,0.649,0.3379
0.0801,0.387,0.636,0.367703333
0.1332,0.370,0.617,0.373476667
0.1179,0.388,0.587,0.36427
0.1159,0.390,0.495,0.333726667
0.1491,0.389,0.402,0.31331
0.2198,0.419,0.353,0.330533333
0.3037,0.521,0.332,0.38534
0.3265,0.628,0.310,0.421463333
0.3459,0.677,0.301,0.441223333
0.3366,0.688,0.311,0.44534
0.334,0.696,0.353,0.461196667
0.3183,0.714,0.409,0.48045
0.3194,0.736,0.459,0.50492
0.3309,0.747,0.502,0.526366667
0.342,0.737,0.525,0.53489
0.3493,0.704,0.530,0.52757
0.3499,0.661,0.504,0.505066667
0.3624,0.658,0.469,0.496323333
0.3733,0.660,0.429,0.487423333
0.3673,0.653,0.398,0.472953333
0.3313,0.656,0.368,0.451846667
0.3218,0.675,0.344,0.446883333
0.3494,0.679,0.347,0.45869
0.3613,0.667,0.363,0.463976667
0.3519,0.640,0.387,0.45969
0.3428,0.611,0.401,0.451366667
0.3355,0.607,0.414,0.452373333
0.3164,0.569,0.421,0.43541
0.2837,0.521,0.411,0.405363333
0.2623,0.532,0.410,0.401613333
0.2813,0.586,0.426,0.43137
0.298,0.578,0.439,0.438163333
0.318,0.514,0.433,0.421626667
0.3444,0.452,0.406,0.401046667
0.3603,0.422,0.365,0.382586667
0.351,0.382,0.320,0.350846667
0.3169,0.330,0.273,0.306566667
0.2718,0.278,0.223,0.25772
0.2335,0.235,0.184,0.217726667
0.2036,0.202,0.167,0.190796667
0.1842,0.168,0.162,0.171643333
0.1717,0.132,0.158,0.153863333
0.162,0.095,0.157,0.13802
0.1507,0.072,0.157,0.1266
0.128,0.061,0.155,0.11472
0.1022,0.049,0.156,0.10219
0.0884,0.040,0.158,0.095346667
0.0741,0.038,0.164,0.091936667
0.0619,0.039,0.165,0.088543333
0.0543,0.036,0.160,0.08336
0.0469,0.026,0.151,0.074446667
0.0395,0.015,0.139,0.06464
0.0309,0.007,0.126,0.054506667
0.0267,0.001,0.116,0.047756667
0.0241,0.000,0.112,0.045296667
0.0184,0.000,0.108,0.042286667
0.0123,0.000,0.105,0.039023333
0.0074,0.000,0.101,0.036273333
0.0048,0.000,0.099,0.034493333
0.0031,0.000,0.094,0.03235
0.0016,0.000,0.086,0.029143333
0.0005,0.000,0.075,0.025293333
0.0001,0.000,0.065,0.021596667
0,0.000,0.056,0.018726667
0,0.000,0.049,0.01636
0.0001,0.000,0.045,0.01493
0.0004,0.000,0.044,0.014923333
0.0021,0.000,0.048,0.016756667
0.0048,0.000,0.054,0.01972
0.0087,0.000,0.064,0.024076667
0.0127,0.000,0.068,0.02701
0.0141,0.000,0.067,0.02718
0.0156,0.000,0.063,0.02636
0.0185,0.000,0.060,0.026323333
0.0259,0.001,0.058,0.028276667
0.0413,0.009,0.058,0.036273333
0.063,0.023,0.060,0.04878
0.0973,0.051,0.064,0.070886667
0.1473,0.096,0.068,0.103833333
0.1818,0.120,0.068,0.123343333
0.196,0.120,0.062,0.12607
0.1868,0.113,0.056,0.118603333
0.1799,0.122,0.053,0.11843
0.1824,0.143,0.052,0.125773333
0.1848,0.170,0.052,0.135516667
0.1854,0.199,0.054,0.146146667
0.1942,0.222,0.062,0.159373333
0.2064,0.237,0.072,0.171713333
0.2016,0.232,0.087,0.17341
0.193,0.233,0.106,0.1774
0.1961,0.257,0.131,0.194856667
0.2009,0.282,0.164,0.215646667
0.193,0.275,0.201,0.223026667
0.1891,0.283,0.244,0.23896
0.1938,0.316,0.271,0.26018
0.1907,0.306,0.287,0.261306667
0.1887,0.287,0.305,0.260303333
0.1949,0.263,0.335,0.26414
0.2106,0.249,0.372,0.277296667
0.2354,0.282,0.408,0.308376667
0.2646,0.349,0.451,0.35493
0.3141,0.409,0.491,0.404646667
0.3933,0.474,0.530,0.46563
0.4396,0.521,0.551,0.503853333
0.443,0.533,0.558,0.511376667
0.4381,0.518,0.555,0.503546667
0.4164,0.489,0.543,0.482626667
0.3964,0.471,0.528,0.46496
0.3821,0.459,0.519,0.45335
0.3613,0.457,0.514,0.443833333
0.3422,0.470,0.510,0.440766667
0.3321,0.492,0.519,0.447546667
0.3371,0.481,0.544,0.453896667
0.3672,0.455,0.583,0.468436667
0.4144,0.434,0.636,0.49481
0.4592,0.422,0.659,0.513466667
0.4774,0.421,0.663,0.520386667
0.5354,0.397,0.667,0.53326
0.5523,0.355,0.672,0.526703333
0.5282,0.286,0.673,0.49545
0.488,0.223,0.668,0.459796667
0.4567,0.187,0.661,0.435126667
0.4403,0.176,0.658,0.424576667
0.427,0.183,0.657,0.42243
0.4228,0.219,0.662,0.434436667
0.4496,0.262,0.670,0.460823333
0.5115,0.322,0.680,0.504376667
0.5624,0.358,0.684,0.534693333
0.5834,0.351,0.681,0.538656667
0.5749,0.305,0.672,0.51707
0.5417,0.244,0.658,0.481356667
0.4883,0.181,0.618,0.428986667
0.4189,0.125,0.570,0.371003333
0.3511,0.080,0.520,0.317063333
0.3043,0.071,0.478,0.284613333
0.2732,0.081,0.459,0.271056667
0.262,0.093,0.467,0.2741
0.2597,0.108,0.484,0.28379
0.2555,0.126,0.501,0.294363333
0.259,0.139,0.512,0.303306667
0.246,0.141,0.512,0.299663333
0.2441,0.132,0.518,0.298143333
0.2265,0.090,0.521,0.279423333
0.2085,0.045,0.511,0.254733333
0.1863,0.023,0.476,0.228513333
0.1491,0.023,0.429,0.200533333
0.1103,0.039,0.385,0.178146667
0.0849,0.069,0.355,0.169343333
0.078,0.105,0.363,0.182086667
0.1117,0.121,0.406,0.21297
0.1683,0.134,0.457,0.25307
0.2103,0.147,0.495,0.284326667
0.2272,0.169,0.516,0.303823333
0.2243,0.188,0.518,0.309996667
0.2195,0.212,0.483,0.30486
0.2311,0.263,0.439,0.311116667
0.2649,0.334,0.410,0.336493333
0.3201,0.425,0.420,0.388383333
0.3894,0.539,0.449,0.459123333
0.4638,0.642,0.483,0.52943
0.521,0.731,0.520,0.590663333
0.5559,0.792,0.561,0.63642
0.5878,0.818,0.599,0.668196667
0.6256,0.836,0.619,0.693563333
0.6598,0.853,0.621,0.711146667
0.6891,0.855,0.609,0.717603333
0.6721,0.834,0.558,0.687926667
0.6267,0.800,0.469,0.631896667
0.5828,0.778,0.390,0.58374
0.5559,0.775,0.359,0.563176667
0.5524,0.777,0.389,0.57267
0.5533,0.773,0.450,0.592243333
0.5275,0.767,0.527,0.60719
0.4761,0.761,0.593,0.610013333
0.4395,0.748,0.629,0.605406667
0.3999,0.720,0.625,0.581453333
0.3489,0.666,0.608,0.541256667
0.2944,0.588,0.588,0.49018
0.247,0.476,0.565,0.429256667
0.2076,0.397,0.532,0.378726667
0.1759,0.338,0.513,0.342196667
0.1661,0.313,0.522,0.333763333
0.1844,0.324,0.552,0.35332
0.2337,0.353,0.593,0.39323
0.291,0.391,0.609,0.43024
0.3292,0.443,0.621,0.464463333
0.3551,0.503,0.630,0.495896667
0.3662,0.568,0.639,0.524353333
0.3615,0.641,0.645,0.549246667
0.3795,0.673,0.652,0.568323333
0.4033,0.639,0.657,0.56629
0.431,0.586,0.653,0.556633333
0.4457,0.530,0.645,0.540103333
0.434,0.501,0.621,0.518663333
0.4118,0.507,0.599,0.505916667
0.3863,0.541,0.585,0.504283333
0.3691,0.583,0.587,0.51305
0.3513,0.588,0.605,0.51482
0.3394,0.566,0.611,0.505203333
0.3234,0.528,0.604,0.484976667
0.3023,0.486,0.586,0.458053333
0.2725,0.446,0.555,0.424783333
0.2342,0.420,0.511,0.388293333
0.2008,0.380,0.470,0.350456667
0.1753,0.338,0.441,0.318113333
0.1555,0.323,0.420,0.299523333
0.1492,0.292,0.406,0.282386667
0.1435,0.285,0.408,0.279026667
0.1419,0.290,0.429,0.2868
0.143,0.291,0.443,0.29232
0.1459,0.290,0.444,0.293343333
0.1461,0.269,0.434,0.283036667
0.1278,0.244,0.421,0.26435
0.1064,0.205,0.423,0.24476
0.1024,0.153,0.452,0.235946667
0.1034,0.101,0.515,0.23999
0.0987,0.060,0.587,0.24829
0.0956,0.037,0.642,0.25821
0.1064,0.026,0.671,0.267836667
0.1383,0.026,0.680,0.281466667
0.177,0.041,0.682,0.300003333
0.222,0.080,0.685,0.328873333
0.258,0.137,0.685,0.36014
0.2562,0.219,0.683,0.38586
0.2188,0.356,0.675,0.416573333
0.1887,0.496,0.664,0.44959
0.1901,0.600,0.649,0.479576667
0.2168,0.634,0.622,0.49088
0.2584,0.660,0.587,0.501666667
0.292,0.686,0.563,0.513756667
0.3001,0.683,0.567,0.516773333
0.2874,0.669,0.573,0.509643333
0.2717,0.637,0.574,0.49431
0.2522,0.576,0.574,0.467506667
0.2284,0.469,0.576,0.42438
0.1986,0.366,0.564,0.376423333
0.1467,0.282,0.531,0.319886667
0.0915,0.196,0.496,0.261346667
0.0584,0.123,0.483,0.221636667
0.0406,0.065,0.490,0.198646667
0.0335,0.037,0.497,0.189233333
0.0307,0.024,0.499,0.18454
0.0335,0.017,0.507,0.185853333
0.0486,0.015,0.515,0.192856667
0.0884,0.021,0.531,0.213483333
0.1593,0.041,0.542,0.24743
0.2462,0.088,0.540,0.29125
0.3336,0.146,0.528,0.33578
