1,2,3,4
0.056,0.067,0.032,0.051946667
0.048,0.048,0.029,0.041643333
0.041,0.035,0.027,0.034503333
0.036,0.021,0.027,0.02784
0.032,0.01,0.025,0.02243
0.026,0.001,0.015,0.01416
0.021,0,0.015,0.011693333
0.025,0,0.022,0.015796667
0.029,0,0.023,0.01728
0.026,0,0.017,0.014293333
0.025,0,0.011,0.012026667
0.025,0,0.006,0.010403333
0.028,0,0.003,0.010396667
0.032,0.001,0.001,0.01136
0.035,0.001,0.001,0.0122
0.037,0.001,0.001,0.013
0.04,0.003,0.001,0.014503333
0.045,0.01,0.003,0.019146667
0.047,0.022,0.014,0.02778
0.068,0.028,0.03,0.042013333
0.076,0.026,0.033,0.04496
0.071,0.018,0.029,0.03951
0.063,0.018,0.024,0.035166667
0.053,0.019,0.018,0.029666667
0.044,0.016,0.012,0.02416
0.042,0.014,0.008,0.02134
0.046,0.013,0.006,0.02144
0.049,0.01,0.005,0.02107
0.054,0.006,0.006,0.022076667
0.054,0.004,0.004,0.020366667
0.038,0.001,0.002,0.01397
0.039,0,0.005,0.01471
0.066,0,0.005,0.023806667
0.085,0,0.003,0.029363333
0.096,0,0.003,0.03307
0.103,0,0.003,0.035073333
0.107,0,0.002,0.03637
0.107,0,0.002,0.036383333
0.107,0,0.002,0.036273333
0.106,0,0.002,0.036066667
0.102,0,0.003,0.035246667
0.093,0.002,0.007,0.03391
0.091,0.011,0.02,0.04056
0.117,0.031,0.038,0.061963333
0.154,0.066,0.049,0.089903333
0.185,0.121,0.058,0.121453333
0.198,0.179,0.066,0.14792
0.202,0.218,0.074,0.164496667
0.195,0.242,0.08,0.17213
0.184,0.264,0.086,0.177766667
0.17,0.286,0.094,0.183186667
0.149,0.294,0.102,0.18174
0.127,0.3,0.106,0.1776
0.096,0.272,0.087,0.151643333
0.056,0.212,0.072,0.113713333
0.052,0.184,0.086,0.10733
0.069,0.199,0.106,0.124526667
0.084,0.192,0.11,0.128473333
0.095,0.175,0.104,0.1247
0.105,0.155,0.095,0.118766667
0.114,0.134,0.085,0.11126
0.119,0.105,0.071,0.098296667
0.121,0.079,0.054,0.08474
0.114,0.054,0.039,0.068986667
0.099,0.029,0.033,0.053863333
0.087,0.01,0.039,0.04551
0.077,0.003,0.055,0.04509
0.084,0.001,0.076,0.053793333
0.099,0.005,0.096,0.066603333
0.12,0.022,0.113,0.084903333
0.131,0.043,0.121,0.098103333
0.132,0.057,0.119,0.102763333
0.124,0.065,0.115,0.101303333
0.118,0.074,0.114,0.102016667
0.12,0.081,0.115,0.105066667
0.121,0.092,0.105,0.105953333
0.126,0.096,0.095,0.10574
0.142,0.106,0.067,0.10487
0.161,0.147,0.043,0.117043333
0.175,0.183,0.06,0.13959
0.172,0.191,0.122,0.161386667
0.172,0.2,0.166,0.179103333
0.173,0.223,0.174,0.189986667
0.17,0.235,0.164,0.189576667
0.171,0.246,0.148,0.188576667
0.174,0.271,0.143,0.195866667
0.168,0.283,0.141,0.19718
0.156,0.295,0.135,0.195406667
0.126,0.291,0.131,0.182786667
0.076,0.246,0.13,0.150486667
0.042,0.177,0.13,0.11635
0.04,0.14,0.132,0.103983333
0.038,0.124,0.137,0.099296667
0.034,0.107,0.128,0.08943
0.033,0.089,0.119,0.08009
0.037,0.074,0.105,0.07204
0.041,0.061,0.081,0.061203333
0.042,0.047,0.059,0.049296667
0.044,0.035,0.047,0.04184
