1,2,3,4,,
0.546,0.232,0.115,0.298003333,,
0.552,0.285,0.103,0.313053333,,
0.554,0.326,0.094,0.324766667,,
0.558,0.358,0.085,0.333706667,,
0.552,0.376,0.079,0.335713333,,
0.545,0.381,0.076,0.33399,,
0.536,0.374,0.076,0.328806667,,
0.523,0.394,0.077,0.33108,,
0.501,0.386,0.066,0.31771,,
0.503,0.373,0.059,0.311673333,,
0.554,0.376,0.071,0.33373,,
0.607,0.395,0.091,0.364053333,,
0.637,0.407,0.106,0.383183333,,
0.647,0.411,0.113,0.39059,,
0.65,0.457,0.12,0.40931,,
0.635,0.496,0.149,0.426456667,,
0.618,0.507,0.185,0.436703333,,
0.584,0.475,0.205,0.42112,,
0.541,0.404,0.215,0.386563333,,
0.482,0.359,0.221,0.35386,,
0.416,0.348,0.225,0.329856667,,
0.353,0.353,0.233,0.313113333,,
0.298,0.356,0.232,0.295173333,,
0.246,0.353,0.226,0.274946667,,
0.204,0.348,0.219,0.257133333,,
0.178,0.343,0.216,0.24542,,
0.155,0.328,0.219,0.234356667,,
0.14,0.327,0.224,0.229903333,,
0.125,0.331,0.229,0.22796,,
0.108,0.327,0.231,0.22227,,
0.089,0.322,0.227,0.212653333,,
0.073,0.302,0.214,0.196243333,,
0.052,0.265,0.19,0.168806667,,
0.041,0.222,0.175,0.146343333,,
0.039,0.213,0.189,0.147093333,,
0.038,0.208,0.218,0.15455,,
0.038,0.193,0.241,0.157473333,,
0.036,0.166,0.252,0.151343333,,
0.03,0.125,0.25,0.13467,,
0.022,0.106,0.243,0.123676667,,
0.02,0.102,0.233,0.11819,,
0.02,0.093,0.215,0.10946,,
0.017,0.08,0.194,0.09711,,
0.018,0.067,0.18,0.088113333,,
0.018,0.057,0.171,0.08183,,
0.017,0.053,0.169,0.079683333,,
0.019,0.047,0.162,0.07596,,
0.022,0.04,0.152,0.071213333,,
0.025,0.032,0.137,0.06429,,
0.028,0.024,0.121,0.057613333,,
0.031,0.019,0.108,0.052736667,,
0.031,0.021,0.099,0.05021,,
0.031,0.019,0.096,0.048956667,,
0.033,0.015,0.095,0.047653333,,
0.033,0.009,0.095,0.04584,,
0.034,0.003,0.094,0.043623333,,
0.04,0.001,0.085,0.042083333,,
0.046,0,0.079,0.041746667,,
0.051,0,0.087,0.046093333,,
0.051,0,0.091,0.04711,,
0.065,0,0.086,0.050336667,,
0.083,0.003,0.074,0.053533333,,
0.094,0.009,0.059,0.054003333,,
0.104,0.019,0.058,0.06023,,
0.118,0.035,0.064,0.072286667,,
0.141,0.055,0.067,0.087646667,,
0.16,0.081,0.067,0.102623333,,
0.177,0.11,0.066,0.11757,,
0.198,0.136,0.063,0.13252,,
0.224,0.152,0.059,0.144756667,,
0.255,0.16,0.05,0.155116667,,
0.283,0.166,0.044,0.164183333,,
0.309,0.166,0.039,0.17156,,
0.329,0.161,0.036,0.174976667,,
0.342,0.153,0.034,0.176086667,,
0.342,0.141,0.031,0.171293333,,
0.34,0.129,0.03,0.166223333,,
0.34,0.115,0.028,0.161096667,,
0.347,0.098,0.027,0.1573,,
0.356,0.078,0.024,0.152456667,,
0.35,0.056,0.021,0.142166667,,
0.364,0.047,0.023,0.14438,,
0.408,0.06,0.027,0.16509,,
0.439,0.073,0.031,0.181013333,,
0.459,0.079,0.036,0.19144,,
0.477,0.082,0.042,0.20001,,
0.473,0.084,0.045,0.200743333,,
0.458,0.096,0.046,0.199646667,,
0.484,0.121,0.051,0.218593333,,
0.508,0.144,0.052,0.234616667,,
0.509,0.156,0.049,0.23808,,
0.5,0.162,0.042,0.23491,,
0.481,0.173,0.035,0.229623333,,
0.452,0.165,0.031,0.216103333,,
0.437,0.14,0.03,0.20237,,
0.433,0.122,0.029,0.194763333,,
0.438,0.102,0.03,0.190166667,,
0.445,0.089,0.031,0.188083333,,
0.442,0.076,0.033,0.183726667,,
0.431,0.062,0.04,0.177583333,,
0.423,0.051,0.05,0.174833333,,
0.424,0.043,0.058,0.175083333,,
0.43,0.036,0.065,0.177246667,,
0.433,0.033,0.072,0.179203333,,
0.424,0.03,0.074,0.176,,
0.466,0.05,0.087,0.200796667,,
0.518,0.101,0.116,0.24503,,
0.556,0.177,0.145,0.292796667,,
0.58,0.274,0.174,0.342573333,,
0.604,0.371,0.199,0.391246667,,
0.618,0.43,0.211,0.41971,,
0.624,0.456,0.237,0.439116667,,
0.658,0.515,0.286,0.486293333,,
0.701,0.557,0.313,0.52345,,
0.727,0.584,0.326,0.545696667,,
0.745,0.606,0.335,0.562166667,,
0.755,0.616,0.34,0.569883333,,
0.76,0.631,0.336,0.575893333,,
0.766,0.651,0.324,0.580643333,,
0.767,0.664,0.311,0.580526667,,
0.766,0.663,0.298,0.575686667,,
0.768,0.662,0.284,0.57169,,
0.771,0.659,0.27,0.566696667,,
0.778,0.656,0.262,0.565423333,,
0.776,0.65,0.259,0.56157,,
0.776,0.654,0.263,0.564746667,,
0.778,0.665,0.267,0.56977,,
0.781,0.676,0.261,0.5726,,
0.782,0.682,0.246,0.569856667,,
0.793,0.707,0.251,0.583623333,,
0.803,0.724,0.264,0.597023333,,
0.808,0.729,0.268,0.60175,,
0.808,0.729,0.27,0.602433333,,
0.807,0.732,0.263,0.600406667,,
0.797,0.716,0.243,0.58533,,
0.782,0.71,0.223,0.571923333,,
0.769,0.708,0.219,0.56563,,
0.769,0.691,0.209,0.556346667,,
0.757,0.668,0.19,0.538323333,,
0.743,0.64,0.17,0.517263333,,
0.73,0.609,0.151,0.496756667,,
0.727,0.581,0.137,0.482036667,,
0.721,0.553,0.128,0.46744,,
0.711,0.506,0.117,0.444723333,,
0.699,0.452,0.108,0.419706667,,
0.692,0.404,0.107,0.401293333,,
0.683,0.364,0.115,0.387313333,,
0.673,0.323,0.131,0.37546,,
0.657,0.274,0.149,0.36032,,
0.638,0.238,0.17,0.348406667,,
0.61,0.21,0.188,0.336063333,,
0.575,0.178,0.204,0.318993333,,
0.508,0.126,0.216,0.28319,,
0.469,0.094,0.229,0.263996667,,
0.456,0.096,0.253,0.268333333,,
0.442,0.101,0.296,0.27956,,
0.438,0.127,0.345,0.30292,,
0.445,0.169,0.386,0.333183333,,
0.445,0.183,0.425,0.350896667,,
0.434,0.183,0.468,0.361906667,,
