1,2,3,4
0.123,0.152,0.406,0.227043333
0.089,0.109,0.358,0.18517
0.063,0.08,0.308,0.150446667
0.045,0.064,0.255,0.121273333
0.034,0.046,0.2,0.093023333
0.025,0.03,0.151,0.068713333
0.022,0.025,0.137,0.06116
0.029,0.029,0.128,0.062146667
0.035,0.035,0.114,0.06115
0.041,0.047,0.097,0.061583333
0.052,0.06,0.082,0.064363333
0.071,0.073,0.069,0.071006667
0.097,0.089,0.056,0.08045
0.131,0.114,0.041,0.095576667
0.165,0.153,0.027,0.11502
0.189,0.162,0.015,0.1222
0.204,0.149,0.01,0.121063333
0.195,0.105,0.007,0.10224
0.171,0.076,0.004,0.083556667
0.196,0.105,0.008,0.102826667
0.258,0.201,0.034,0.164313333
0.335,0.353,0.098,0.26218
0.414,0.496,0.17,0.359906667
0.475,0.587,0.232,0.431183333
0.517,0.629,0.287,0.477583333
0.546,0.649,0.339,0.511306667
0.566,0.669,0.393,0.542786667
0.559,0.684,0.431,0.55759
0.542,0.701,0.457,0.566883333
0.523,0.723,0.495,0.580273333
0.531,0.744,0.574,0.61642
0.559,0.756,0.661,0.658543333
0.573,0.766,0.732,0.69006
0.583,0.774,0.771,0.709606667
0.597,0.781,0.79,0.72249
0.607,0.783,0.797,0.728946667
0.609,0.784,0.799,0.730876667
0.61,0.783,0.789,0.727253333
0.603,0.78,0.775,0.71925
0.595,0.776,0.747,0.705956667
0.558,0.752,0.675,0.661596667
0.491,0.717,0.598,0.602293333
0.434,0.708,0.591,0.577756667
0.402,0.704,0.598,0.568203333
0.37,0.687,0.598,0.551896667
0.348,0.663,0.6,0.537293333
0.328,0.629,0.594,0.5173
0.304,0.6,0.579,0.494123333
0.278,0.568,0.556,0.467313333
0.251,0.531,0.525,0.435593333
0.228,0.496,0.491,0.405123333
0.193,0.457,0.443,0.364293333
0.152,0.409,0.392,0.31767
0.115,0.37,0.352,0.279156667
0.112,0.385,0.392,0.296203333
0.115,0.377,0.469,0.32049
0.109,0.346,0.5,0.318253333
0.099,0.301,0.527,0.30909
0.09,0.255,0.535,0.29319
0.076,0.203,0.53,0.26958
0.061,0.151,0.51,0.240716667
0.048,0.11,0.464,0.20707
0.036,0.074,0.399,0.16981
0.028,0.049,0.343,0.139943333
0.023,0.029,0.289,0.113486667
0.02,0.016,0.221,0.0856
0.029,0.008,0.141,0.059513333
0.055,0.006,0.102,0.05412
0.08,0.005,0.08,0.054793333
0.091,0.005,0.063,0.053086667
0.092,0.006,0.05,0.049576667
0.084,0.007,0.04,0.043496667
0.081,0.008,0.032,0.04017
0.082,0.009,0.026,0.038993333
