1,2,3,4
0.136,0.041,0.142,0.105883333
0.129,0.024,0.115,0.089473333
0.123,0.013,0.095,0.076666667
0.117,0.008,0.08,0.068476667
0.112,0.007,0.073,0.06395
0.108,0.008,0.07,0.061563333
0.105,0.011,0.068,0.06101
0.107,0.013,0.059,0.05971
0.096,0.013,0.036,0.04833
0.087,0.007,0.024,0.03915
0.095,0.002,0.021,0.039443333
0.11,0.001,0.018,0.04306
0.115,0,0.014,0.043273333
0.114,0,0.011,0.041376667
0.11,0,0.008,0.039083333
0.1,0,0.007,0.0358
0.103,0,0.007,0.03666
0.126,0.001,0.007,0.04458
0.151,0.002,0.007,0.053036667
0.168,0.003,0.008,0.059643333
0.183,0.005,0.012,0.066473333
0.181,0.006,0.017,0.067863333
0.183,0.007,0.021,0.07045
0.184,0.009,0.022,0.07189
0.188,0.012,0.021,0.07379
0.194,0.013,0.019,0.075063333
0.2,0.013,0.014,0.076056667
0.205,0.015,0.012,0.07719
0.21,0.017,0.009,0.078813333
0.216,0.019,0.008,0.080803333
0.221,0.024,0.007,0.08412
0.226,0.03,0.006,0.087646667
0.221,0.028,0.004,0.08431
0.227,0.026,0.002,0.08502
0.254,0.031,0.002,0.095593333
0.284,0.036,0.002,0.10711
0.306,0.04,0.002,0.116126667
0.321,0.045,0.002,0.122883333
0.329,0.049,0.003,0.127236667
0.332,0.061,0.005,0.13252
0.369,0.085,0.011,0.155093333
0.412,0.119,0.022,0.184366667
0.438,0.132,0.033,0.20099
0.452,0.136,0.041,0.20946
0.456,0.136,0.044,0.212043333
0.461,0.142,0.043,0.215163333
0.465,0.14,0.04,0.215136667
0.462,0.134,0.036,0.210846667
0.451,0.132,0.033,0.20539
0.442,0.144,0.03,0.205543333
0.438,0.17,0.028,0.211876667
0.426,0.179,0.024,0.20994
0.403,0.192,0.021,0.205616667
0.382,0.2,0.019,0.200323333
0.363,0.202,0.019,0.194776667
0.347,0.192,0.017,0.185133333
0.316,0.148,0.009,0.157506667
0.294,0.113,0.004,0.137193333
0.304,0.109,0.003,0.138773333
0.327,0.126,0.003,0.152236667
0.332,0.138,0.003,0.157703333
0.311,0.147,0.003,0.153886667
0.289,0.161,0.003,0.150763333
0.271,0.183,0.003,0.152496667
0.296,0.231,0.004,0.17704
0.332,0.264,0.006,0.200476667
0.349,0.29,0.008,0.215756667
0.347,0.294,0.011,0.21743
0.339,0.287,0.016,0.213613333
0.329,0.27,0.021,0.206636667
0.318,0.25,0.027,0.19818
0.318,0.243,0.032,0.197686667
0.319,0.249,0.037,0.201876667
0.321,0.259,0.044,0.207996667
0.327,0.261,0.051,0.21289
0.33,0.266,0.061,0.218876667
0.331,0.304,0.069,0.234653333
0.334,0.355,0.077,0.25556
0.336,0.393,0.086,0.271483333
0.331,0.428,0.089,0.282346667
0.31,0.458,0.072,0.279663333
0.283,0.465,0.05,0.265896667
0.282,0.442,0.042,0.25543
0.285,0.424,0.041,0.250066667
0.268,0.403,0.039,0.23679
0.228,0.346,0.036,0.2029
0.166,0.26,0.034,0.153376667
0.131,0.22,0.046,0.13236
0.129,0.219,0.068,0.138346667
0.134,0.212,0.087,0.144656667
0.142,0.197,0.098,0.14556
0.149,0.189,0.1,0.14594
0.154,0.184,0.098,0.14489
0.161,0.176,0.093,0.143473333
0.164,0.16,0.087,0.137283333
0.163,0.144,0.081,0.129626667
0.158,0.13,0.075,0.120963333
0.149,0.122,0.069,0.113626667
0.14,0.116,0.065,0.107213333
0.129,0.118,0.057,0.10133
0.126,0.115,0.049,0.096926667
0.131,0.111,0.041,0.094366667
0.143,0.106,0.035,0.094953333
0.157,0.114,0.031,0.100736667
0.155,0.133,0.024,0.10425
0.166,0.153,0.02,0.112876667
0.199,0.168,0.02,0.12916
0.243,0.197,0.023,0.154363333
0.277,0.234,0.025,0.17861
0.293,0.271,0.022,0.195323333
0.298,0.299,0.023,0.206713333
0.307,0.337,0.028,0.224063333
0.319,0.363,0.042,0.241616667
0.334,0.375,0.06,0.256363333
0.342,0.381,0.079,0.2671
0.351,0.4,0.098,0.282793333
0.358,0.424,0.117,0.299543333
0.36,0.464,0.13,0.318456667
0.352,0.493,0.135,0.32664
0.327,0.509,0.133,0.32336
0.291,0.504,0.13,0.307976667
0.242,0.456,0.123,0.273346667
0.21,0.391,0.116,0.23903
0.181,0.342,0.115,0.212673333
0.168,0.312,0.128,0.202306667
0.175,0.295,0.149,0.206063333
0.193,0.294,0.173,0.219906667
0.214,0.292,0.194,0.233506667
0.225,0.281,0.194,0.233096667
0.246,0.264,0.17,0.22679
0.278,0.283,0.158,0.239693333
0.312,0.322,0.153,0.26249
0.34,0.365,0.15,0.28527
0.357,0.405,0.15,0.30423
0.361,0.442,0.151,0.318103333
0.358,0.505,0.165,0.342763333
0.355,0.549,0.184,0.36267
0.349,0.567,0.199,0.371406667
0.335,0.559,0.214,0.36908
0.321,0.563,0.231,0.371566667
0.293,0.544,0.256,0.36417
0.264,0.521,0.298,0.360996667
0.232,0.474,0.338,0.347823333
0.205,0.43,0.368,0.334043333
0.186,0.386,0.379,0.31704
0.177,0.362,0.382,0.307046667
0.17,0.333,0.361,0.287736667
0.168,0.275,0.325,0.25598
0.18,0.242,0.275,0.232386667
0.204,0.242,0.239,0.228263333
0.226,0.255,0.205,0.22886
0.246,0.282,0.177,0.235173333
0.244,0.311,0.15,0.234873333
0.24,0.324,0.135,0.232923333
0.257,0.344,0.147,0.24922
0.287,0.399,0.18,0.288863333
0.318,0.468,0.21,0.332023333
0.336,0.532,0.24,0.369376667
0.331,0.593,0.288,0.403766667
0.314,0.643,0.349,0.4353
0.3,0.679,0.414,0.464123333
0.277,0.694,0.485,0.48539
0.245,0.686,0.544,0.49173
0.201,0.661,0.601,0.487673333
0.144,0.566,0.656,0.45575
0.098,0.419,0.704,0.407056667
0.065,0.275,0.723,0.354586667
0.039,0.177,0.709,0.308426667
0.022,0.112,0.67,0.267883333
0.015,0.055,0.612,0.227426667
0.019,0.021,0.542,0.194223333
0.033,0.01,0.476,0.17283
0.052,0.008,0.42,0.160006667
0.078,0.018,0.36,0.151946667
0.115,0.045,0.29,0.14994
0.155,0.082,0.223,0.153293333
0.186,0.12,0.164,0.156813333
0.211,0.146,0.124,0.160246667
0.244,0.165,0.108,0.172456667
0.288,0.181,0.089,0.186003333
0.332,0.206,0.068,0.201803333
0.359,0.243,0.054,0.218826667
0.38,0.314,0.053,0.24918
0.392,0.426,0.087,0.301576667
0.427,0.539,0.146,0.370773333
0.46,0.602,0.219,0.426843333
0.475,0.64,0.298,0.4711
0.482,0.66,0.37,0.50413
0.479,0.669,0.431,0.526236667
0.463,0.68,0.5,0.547596667
0.439,0.662,0.562,0.554096667
0.41,0.634,0.601,0.54831
0.38,0.611,0.622,0.537523333
0.35,0.602,0.628,0.52663
0.325,0.593,0.633,0.517023333
0.296,0.571,0.628,0.49853
0.268,0.548,0.605,0.473416667
0.252,0.509,0.584,0.448086667
0.265,0.504,0.547,0.438383333
