1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0061,0.0105,0.00415
0.038,0.0411,0.0345,0.0284
0.0848,0.1084,0.0975,0.072675
0.1938,0.1842,0.1855,0.140875
0.3135,0.2848,0.2654,0.215925
0.3869,0.4289,0.3049,0.280175
0.4097,0.4917,0.3034,0.3012
0.4414,0.5447,0.3112,0.324325
0.4507,0.5699,0.3138,0.3336
0.436,0.5441,0.2783,0.3146
0.4094,0.4639,0.2473,0.28015
0.3554,0.3979,0.2108,0.241025
0.2575,0.2729,0.1467,0.169275
0.1313,0.139,0.0713,0.0854
0.047,0.0387,0.0221,0.02695
0.02,0.0051,0,0.006275
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0065,0.0126,0.004775
0.041,0.0241,0.0432,0.027075
0.0988,0.0642,0.134,0.07425
0.2217,0.1189,0.2403,0.145225
0.3512,0.1352,0.3165,0.200725
0.4507,0.1587,0.3711,0.245125
0.4985,0.1906,0.3707,0.26495
0.5322,0.2192,0.4081,0.289875
0.5389,0.2154,0.433,0.296825
0.51,0.1764,0.4109,0.274325
0.4715,0.1475,0.3664,0.24635
0.3874,0.1461,0.285,0.204625
0.2682,0.1366,0.1664,0.1428
0.1288,0.0962,0.0636,0.07215
0.046,0.0401,0.0214,0.026875
0.0188,0.0065,0,0.006325
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0044,0.0157,0.005025
0.0423,0.0367,0.0477,0.031675
0.1147,0.1329,0.1584,0.1015
0.2482,0.2698,0.2847,0.200675
0.367,0.3826,0.3638,0.27835
0.4469,0.3915,0.4044,0.3107
0.486,0.3745,0.4121,0.31815
0.5295,0.4078,0.4534,0.347675
0.5554,0.4214,0.4556,0.3581
0.5485,0.3687,0.4345,0.337925
0.517,0.3446,0.4065,0.317025
0.452,0.2922,0.3281,0.268075
0.3192,0.2335,0.2121,0.1912
0.1538,0.1403,0.0835,0.0944
0.05,0.0466,0.026,0.03065
0.024,0.0078,0,0.00795
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0112,0.0207,0.007975
0.0438,0.0347,0.0547,0.0333
0.1288,0.1719,0.2043,0.12625
