1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0024,0.0006
0.0215,0.0099,0.0229,0.013575
0.0422,0.0353,0.0872,0.041175
0.0672,0.1047,0.1632,0.083775
0.1135,0.2878,0.2222,0.155875
0.147,0.3643,0.2591,0.1926
0.1652,0.4503,0.2735,0.22225
0.1687,0.5576,0.3074,0.258425
0.156,0.5111,0.3089,0.244
0.1345,0.4635,0.2799,0.219475
0.0992,0.3531,0.2184,0.167675
0.0878,0.3245,0.1796,0.147975
0.0667,0.2287,0.1021,0.099375
0.0538,0.0979,0.0362,0.046975
0.0275,0.019,0.0051,0.0129
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0029,0.000725
0.0248,0.0231,0.0318,0.019925
0.0572,0.1268,0.1327,0.079175
0.1293,0.2691,0.2856,0.171
0.2,0.3891,0.3802,0.242325
0.265,0.3905,0.42,0.268875
0.2949,0.4295,0.4174,0.28545
0.2975,0.4486,0.4286,0.293675
0.2619,0.399,0.4086,0.267375
0.2172,0.279,0.3726,0.2172
0.1643,0.1801,0.3103,0.163675
0.1275,0.1227,0.2306,0.1202
0.0713,0.0748,0.1332,0.069825
0.0463,0.0523,0.0427,0.035325
0.0242,0.0119,0.0059,0.0105
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.003,0.00075
0.0238,0.0075,0.0248,0.014025
0.0435,0.0279,0.0878,0.0398
0.0728,0.0785,0.174,0.081325
0.1355,0.1101,0.2604,0.1265
0.19,0.1013,0.3256,0.154225
0.2147,0.0968,0.3346,0.161525
0.2517,0.0853,0.3075,0.161125
0.2834,0.0788,0.2463,0.152125
0.302,0.0836,0.1575,0.135775
0.2804,0.0928,0.0885,0.115425
0.2569,0.1573,0.0658,0.12
0.1698,0.1485,0.0425,0.0902
0.0752,0.0928,0.0212,0.0473
0.0307,0.0187,0.0046,0.0135
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0032,0.0008
0.0255,0.0231,0.028,0.01915
0.0655,0.0979,0.1037,0.066775
0.1588,0.2239,0.2172,0.149975
0.2679,0.3405,0.3208,0.2323
