1,2,3,4
0.5175,0.745,0.705,0.65597
0.519,0.772,0.706,0.66559
0.5396,0.782,0.707,0.676233333
0.546,0.769,0.705,0.673486667
0.5385,0.757,0.702,0.666036667
0.5752,0.789,0.701,0.68827
0.6057,0.827,0.701,0.711393333
0.6178,0.849,0.703,0.72313
0.6291,0.854,0.704,0.729043333
0.6144,0.851,0.708,0.72439
0.6506,0.861,0.711,0.740893333
0.698,0.873,0.713,0.761296667
0.7092,0.875,0.714,0.766173333
0.7335,0.866,0.714,0.771256667
0.7675,0.858,0.714,0.780113333
0.8053,0.858,0.715,0.792863333
0.838,0.858,0.715,0.803873333
0.8735,0.858,0.716,0.816053333
0.9027,0.858,0.716,0.825846667
0.9263,0.858,0.716,0.833706667
0.935,0.858,0.716,0.836543333
0.9409,0.858,0.716,0.838503333
0.9498,0.858,0.716,0.84147
0.9566,0.858,0.654,0.82287
0.9646,0.858,0.622,0.81515
0.968,0.858,0.679,0.835046667
0.9691,0.858,0.716,0.847903333
0.9685,0.858,0.716,0.847703333
0.9522,0.858,0.716,0.84227
0.928,0.858,0.716,0.834203333
0.9153,0.858,0.716,0.82997
0.8892,0.858,0.716,0.82127
0.8843,0.865,0.716,0.82174
0.8694,0.873,0.716,0.819486667
0.8558,0.862,0.716,0.811273333
0.8545,0.852,0.716,0.80748
0.8686,0.846,0.716,0.81027
0.8813,0.839,0.716,0.812043333
0.8876,0.842,0.716,0.815086667
0.9079,0.856,0.716,0.826533333
0.9221,0.847,0.716,0.828263333
0.9077,0.825,0.716,0.816146667
0.8668,0.781,0.716,0.787843333
0.8089,0.725,0.716,0.75016
0.7875,0.625,0.716,0.709376667
0.7932,0.560,0.716,0.68978
0.773,0.518,0.716,0.6692
0.7174,0.520,0.716,0.651093333
0.6344,0.530,0.716,0.626986667
0.5762,0.559,0.716,0.61713
0.5597,0.623,0.716,0.63305
0.578,0.634,0.716,0.642793333
0.6452,0.610,0.716,0.65704
0.7212,0.611,0.716,0.682763333
0.7555,0.597,0.716,0.689583333
0.7204,0.538,0.716,0.658086667
0.5988,0.460,0.716,0.59156
