1,2,3,4
0.2294,0.026,0.100,0.118406667
0.23,0.023,0.118,0.123703333
0.2092,0.018,0.124,0.116986667
0.1848,0.007,0.134,0.10861
0.1503,0.000,0.148,0.09943
0.0834,0.000,0.160,0.081166667
0.036,0.000,0.163,0.06642
0.0155,0.000,0.162,0.059326667
0.0075,0.000,0.151,0.052963333
0.0041,0.000,0.124,0.042636667
0.0038,0.000,0.093,0.032286667
0.0063,0.000,0.068,0.024896667
0.0096,0.000,0.049,0.01966
0.0124,0.000,0.035,0.015776667
0.0146,0.000,0.027,0.013943333
0.0175,0.000,0.024,0.013966667
0.0176,0.000,0.023,0.013516667
0.0128,0.000,0.025,0.012683333
0.0124,0.000,0.031,0.01431
0.0146,0.000,0.035,0.016766667
0.0246,0.022,0.045,0.030696667
0.0412,0.076,0.060,0.058966667
0.0593,0.137,0.077,0.09124
0.0766,0.156,0.103,0.111796667
0.0989,0.139,0.118,0.118536667
0.1247,0.124,0.135,0.127883333
0.1457,0.104,0.151,0.13374
0.1434,0.062,0.156,0.120413333
0.1292,0.033,0.156,0.106056667
0.1051,0.018,0.142,0.088483333
0.0612,0.011,0.123,0.064923333
0.0443,0.002,0.103,0.04975
0.0429,0.000,0.082,0.04157
0.0427,0.000,0.063,0.035206667
0.0414,0.000,0.041,0.027586667
0.0326,0.000,0.021,0.01779
0.0169,0.000,0.006,0.007756667
0.0067,0.000,0.003,0.003133333
0.0082,0.000,0.002,0.003466667
0.0176,0.000,0.003,0.00692
0.0281,0.000,0.004,0.0106
0.042,0.006,0.003,0.017163333
0.0849,0.029,0.018,0.044033333
0.1755,0.082,0.050,0.10266
0.285,0.166,0.099,0.183396667
0.3504,0.292,0.150,0.264063333
0.3618,0.385,0.201,0.315956667
0.3609,0.413,0.247,0.340323333
0.3696,0.420,0.289,0.359566667
0.3722,0.414,0.328,0.371613333
0.3609,0.431,0.368,0.386813333
0.3542,0.472,0.427,0.417666667
0.3544,0.534,0.483,0.457083333
0.3011,0.569,0.526,0.46533
0.2612,0.545,0.552,0.45265
0.2476,0.489,0.562,0.432763333
0.2572,0.452,0.566,0.42501
0.2805,0.415,0.559,0.418133333
0.2942,0.369,0.542,0.401876667
0.297,0.338,0.512,0.38247
0.286,0.310,0.465,0.353506667
0.256,0.276,0.408,0.31308
0.2189,0.240,0.334,0.264353333
0.1849,0.207,0.283,0.224966667
0.1621,0.163,0.241,0.188823333
0.1333,0.098,0.201,0.144353333
0.0883,0.035,0.169,0.09743
0.051,0.005,0.144,0.066723333
0.0176,0.000,0.124,0.04722
0.0026,0.001,0.112,0.03839
0.0046,0.016,0.098,0.039536667
0.0212,0.031,0.081,0.044303333
0.0454,0.040,0.062,0.049016667
0.0503,0.055,0.042,0.04882
0.0458,0.094,0.038,0.059253333
0.0414,0.136,0.052,0.076476667
0.0033,0.216,0.067,0.095683333
0.0035,0.355,0.069,0.142566667
0.0007,0.421,0.051,0.15761
0.0451,0.472,0.039,0.185493333
0.1466,0.568,0.028,0.247546667
0.2396,0.622,0.030,0.29733
0.274,0.644,0.035,0.317556667
0.2959,0.647,0.045,0.329163333
0.3225,0.663,0.041,0.342216667
0.3162,0.689,0.053,0.352526667
0.2971,0.740,0.100,0.379303333
0.2932,0.794,0.167,0.41807
0.3407,0.831,0.204,0.45841
0.373,0.819,0.206,0.46613
0.3984,0.785,0.229,0.470733333
0.4406,0.749,0.224,0.471036667
0.4809,0.709,0.223,0.470943333
0.4719,0.663,0.250,0.461833333
0.4337,0.604,0.307,0.448066667
0.4081,0.531,0.345,0.428106667
0.3914,0.458,0.352,0.40073
0.3667,0.360,0.347,0.357746667
0.3269,0.262,0.331,0.30674
0.2971,0.169,0.302,0.255923333
0.2831,0.103,0.288,0.224933333
0.2325,0.062,0.300,0.198076667
0.2054,0.033,0.324,0.18746
0.1763,0.019,0.341,0.178956667
0.1485,0.014,0.345,0.169206667
0.1222,0.016,0.325,0.154506667
0.0994,0.026,0.292,0.139213333
0.0809,0.037,0.259,0.125506667
0.0718,0.045,0.216,0.110786667
0.0766,0.062,0.152,0.097056667
0.1021,0.101,0.087,0.096636667
0.1356,0.125,0.034,0.098173333
0.182,0.110,0.008,0.100173333
0.2608,0.077,0.004,0.113903333
0.3607,0.035,0.023,0.139806667
0.423,0.012,0.075,0.170096667
0.4246,0.000,0.158,0.19427
0.3812,0.000,0.254,0.211703333
0.3231,0.000,0.351,0.224836667
0.2755,0.000,0.422,0.232553333
0.2356,0.000,0.475,0.236993333
0.1946,0.000,0.512,0.235536667
0.1614,0.000,0.518,0.226616667
0.1284,0.000,0.491,0.206443333
0.0934,0.000,0.436,0.17645
0.054,0.005,0.367,0.142
0.0166,0.047,0.297,0.120143333
0.0091,0.164,0.234,0.135753333
0.0134,0.306,0.188,0.16891
0.0341,0.397,0.154,0.19491
0.0836,0.448,0.125,0.21872
0.1626,0.484,0.087,0.244366667
0.235,0.509,0.048,0.264136667
0.2567,0.499,0.024,0.2599
0.2515,0.474,0.014,0.246436667
0.2439,0.426,0.017,0.229
0.2356,0.380,0.037,0.217606667
0.2154,0.339,0.070,0.208043333
0.1847,0.286,0.106,0.1922
0.1679,0.242,0.119,0.17636
0.1509,0.199,0.114,0.154476667
0.1342,0.167,0.115,0.138786667
0.1114,0.125,0.113,0.116463333
0.0819,0.071,0.101,0.08478
0.0584,0.036,0.087,0.06054
0.0391,0.018,0.071,0.042546667
0.0269,0.004,0.058,0.029733333
0.0173,0.000,0.049,0.022076667
0.0115,0.000,0.038,0.01649
0.0085,0.000,0.027,0.011853333
0.0073,0.000,0.020,0.008963333
0.0069,0.000,0.014,0.00697
0.0061,0.000,0.008,0.004776667
0.0057,0.000,0.002,0.002706667
0.0075,0.000,0.000,0.00258
0.0088,0.000,0.000,0.002936667
0.0084,0.000,0.000,0.002803333
0.0089,0.000,0.000,0.003086667
0.0149,0.001,0.001,0.005336667
0.0277,0.001,0.009,0.012476667
0.0541,0.001,0.020,0.025076667
0.0975,0.005,0.031,0.044536667
0.132,0.013,0.039,0.061056667
0.148,0.024,0.039,0.070286667
0.166,0.036,0.039,0.0804
0.1878,0.050,0.043,0.093726667
0.2034,0.063,0.054,0.106786667
0.1908,0.070,0.071,0.1106
0.1658,0.081,0.092,0.11276
0.1577,0.096,0.125,0.126353333
0.1723,0.115,0.174,0.153966667
0.1905,0.122,0.226,0.17923
0.1897,0.113,0.260,0.187793333
0.1709,0.104,0.278,0.18406
0.1487,0.091,0.274,0.17119
0.1379,0.079,0.247,0.15462
0.1368,0.063,0.208,0.13606
0.1267,0.048,0.154,0.109463333
0.0967,0.035,0.110,0.080373333
0.0735,0.021,0.091,0.06206
0.061,0.016,0.088,0.054886667
0.0585,0.022,0.084,0.054673333
0.0678,0.022,0.073,0.054383333
0.0817,0.026,0.059,0.055613333
0.0999,0.037,0.046,0.060706667
0.0967,0.039,0.030,0.055123333
0.1018,0.039,0.021,0.054113333
0.122,0.039,0.018,0.059686667
0.136,0.031,0.015,0.060473333
0.1388,0.021,0.014,0.058006667
0.1345,0.014,0.012,0.053436667
0.1338,0.003,0.011,0.049343333
0.1364,0.000,0.017,0.051113333
0.1382,0.000,0.024,0.053906667
0.132,0.000,0.030,0.054103333
0.1138,0.000,0.040,0.051323333
0.0923,0.000,0.054,0.048766667
0.0626,0.000,0.066,0.042763333
0.0416,0.000,0.074,0.03866
0.0304,0.000,0.076,0.035386667
0.0195,0.000,0.073,0.030996667
0.0117,0.000,0.070,0.027133333
0.005,0.000,0.062,0.022403333
0.002,0.000,0.052,0.018063333
0.0007,0.000,0.039,0.01316
0,0.000,0.025,0.008423333
0,0.000,0.015,0.005076667
0,0.000,0.004,0.001283333
0,0.000,0.000,4.33333E-05
0.001,0.000,0.001,0.000706667
0.0041,0.000,0.009,0.004486667
0.0073,0.001,0.019,0.00908
0.0102,0.026,0.024,0.019843333
0.0123,0.083,0.025,0.03985
0.0148,0.161,0.023,0.066243333
0.022,0.220,0.021,0.087486667
0.0297,0.239,0.018,0.095556667
0.0289,0.231,0.014,0.0915
0.0284,0.221,0.008,0.08563
0.0285,0.177,0.005,0.070093333
0.0278,0.126,0.003,0.0524
0.027,0.074,0.002,0.0344
0.0272,0.046,0.002,0.024986667
0.0257,0.024,0.001,0.016896667
0.0258,0.012,0.000,0.012736667
0.0266,0.008,0.004,0.01261
0.0306,0.010,0.011,0.01733
0.0346,0.013,0.021,0.022906667
0.0373,0.019,0.033,0.0296
0.0371,0.030,0.047,0.038263333
0.0355,0.054,0.063,0.050573333
0.0331,0.100,0.064,0.065766667
0.0303,0.146,0.058,0.078073333
0.0306,0.190,0.051,0.090736667
0.0315,0.222,0.046,0.099663333
0.0378,0.235,0.042,0.104856667
0.05,0.257,0.045,0.117233333
0.0695,0.259,0.051,0.126393333
0.0938,0.234,0.061,0.12957
0.1128,0.199,0.070,0.127443333
0.1269,0.160,0.074,0.120033333
0.1195,0.124,0.082,0.10828
0.0992,0.076,0.088,0.087666667
0.0794,0.059,0.085,0.074453333
0.0611,0.042,0.072,0.0583
0.0448,0.019,0.056,0.039896667
0.0266,0.005,0.046,0.02571
0.0148,0.000,0.045,0.020116667
0.0145,0.000,0.048,0.020846667
0.0229,0.000,0.053,0.025426667
0.0375,0.000,0.056,0.03126
0.0531,0.000,0.062,0.038276667
0.0624,0.000,0.075,0.045816667
0.0726,0.015,0.085,0.057506667
0.0952,0.030,0.087,0.07085
0.118,0.043,0.080,0.08013
0.1317,0.050,0.070,0.083653333
0.1333,0.064,0.067,0.088026667
0.1365,0.086,0.057,0.093033333
0.1447,0.108,0.050,0.100666667
0.1432,0.112,0.041,0.09891
0.1409,0.128,0.037,0.102116667
0.1583,0.158,0.031,0.11575
0.1709,0.165,0.025,0.120533333
0.1698,0.161,0.024,0.11829
0.1574,0.168,0.027,0.117206667
0.1453,0.193,0.035,0.124506667
0.1448,0.233,0.044,0.14055
0.1581,0.300,0.057,0.171883333
0.1712,0.371,0.069,0.204003333
0.1894,0.441,0.076,0.23564
0.2057,0.497,0.076,0.259756667
0.218,0.541,0.070,0.27622
0.2191,0.558,0.056,0.277686667
0.1978,0.528,0.041,0.25566
0.1714,0.475,0.035,0.227173333
0.1572,0.421,0.038,0.20549
0.1571,0.410,0.044,0.203963333
0.1657,0.436,0.048,0.216563333
0.1812,0.483,0.057,0.240556667
0.201,0.525,0.071,0.265733333
0.2237,0.557,0.082,0.28761
0.2501,0.568,0.095,0.304493333
0.2785,0.585,0.116,0.326446667
0.292,0.583,0.137,0.33746
0.3101,0.588,0.155,0.351023333
0.3272,0.591,0.167,0.3617
0.3377,0.579,0.179,0.365156667
0.3454,0.581,0.195,0.373896667
0.3656,0.583,0.219,0.38949
0.3866,0.569,0.252,0.402373333
0.401,0.538,0.284,0.407876667
0.393,0.521,0.314,0.409183333
0.3348,0.526,0.337,0.399313333
0.3181,0.531,0.354,0.401113333
0.3424,0.508,0.386,0.412233333
0.3782,0.485,0.432,0.431913333
0.4165,0.461,0.466,0.447753333
0.4266,0.485,0.482,0.464476667
0.4168,0.533,0.481,0.476906667
0.4083,0.574,0.473,0.48505
0.407,0.574,0.470,0.48352
0.4013,0.544,0.478,0.474583333
0.4009,0.541,0.519,0.487006667
0.4088,0.510,0.564,0.49405
0.4318,0.444,0.613,0.496136667
0.4657,0.375,0.657,0.499193333
0.5008,0.303,0.683,0.495713333
0.5015,0.232,0.684,0.472346667
0.4566,0.190,0.676,0.44076
0.393,0.146,0.653,0.39746
0.3406,0.108,0.629,0.359323333
0.273,0.094,0.608,0.325163333
0.2031,0.109,0.585,0.299046667
0.1472,0.129,0.569,0.281636667
0.1255,0.164,0.582,0.290493333
0.1265,0.218,0.601,0.315
0.1298,0.245,0.619,0.331406667
0.0694,0.251,0.629,0.31639
0.0494,0.275,0.620,0.31485
0.0931,0.299,0.602,0.33123
0.1594,0.300,0.573,0.343943333
0.2044,0.276,0.518,0.332836667
0.212,0.237,0.417,0.28887
0.1886,0.180,0.296,0.22136
0.1615,0.111,0.204,0.15874
0.1291,0.050,0.149,0.109266667
0.0787,0.022,0.118,0.073136667
0.0418,0.009,0.102,0.050806667
0.0351,0.000,0.093,0.042976667
0.0378,0.000,0.091,0.042856667
0.0393,0.000,0.085,0.041403333
0.0377,0.000,0.074,0.037116667
0.0368,0.001,0.059,0.03202
0.0343,0.004,0.048,0.028703333
0.0332,0.009,0.044,0.028803333
0.0284,0.020,0.041,0.029866667
0.0168,0.042,0.045,0.034566667
0.0083,0.071,0.050,0.042896667
0.0082,0.117,0.044,0.05651
0.0107,0.165,0.034,0.069846667
0.0195,0.211,0.027,0.085886667
0.025,0.249,0.025,0.09964
0.0307,0.279,0.024,0.11136
0.0496,0.327,0.028,0.13467
0.0887,0.344,0.033,0.155176667
0.1459,0.343,0.046,0.178286667
0.2117,0.345,0.064,0.20675
0.2746,0.334,0.077,0.228523333
0.3231,0.299,0.084,0.23547
0.3549,0.241,0.086,0.22756
0.3565,0.192,0.101,0.216586667
0.3466,0.143,0.115,0.201686667
0.3207,0.095,0.126,0.180446667
0.2903,0.055,0.134,0.15981
0.2651,0.030,0.149,0.148026667
0.254,0.013,0.175,0.147326667
0.2571,0.001,0.208,0.15542
0.2613,0.000,0.248,0.169793333
0.2534,0.000,0.287,0.180133333
0.2599,0.000,0.315,0.191823333
0.2601,0.000,0.336,0.198913333
0.2564,0.001,0.354,0.20354
0.2433,0.001,0.351,0.198206667
0.23,0.001,0.345,0.19176
0.2143,0.001,0.341,0.18519
