1,2,3,4
0.17,0.858,0.089,0.372526667
0.1887,0.858,0.079,0.375493333
0.2151,0.864,0.074,0.38415
0.2388,0.873,0.066,0.392613333
0.2407,0.876,0.058,0.391396667
0.2281,0.872,0.051,0.38359
0.1836,0.867,0.043,0.364406667
0.1253,0.864,0.050,0.34644
0.0764,0.864,0.061,0.33388
0.054,0.858,0.083,0.331966667
0.0813,0.858,0.131,0.356783333
0.2027,0.858,0.219,0.426843333
0.3755,0.858,0.339,0.52443
0.4465,0.858,0.446,0.58361
0.4149,0.861,0.520,0.59868
0.3928,0.875,0.584,0.617493333
0.4387,0.869,0.627,0.644806667
0.4602,0.858,0.641,0.653113333
0.4748,0.858,0.641,0.657963333
0.5037,0.858,0.627,0.663126667
0.5348,0.858,0.609,0.667306667
0.5569,0.858,0.587,0.667476667
0.5697,0.875,0.571,0.672076667
0.5552,0.872,0.575,0.66743
0.5315,0.859,0.597,0.662183333
0.5008,0.834,0.619,0.651146667
0.4881,0.801,0.630,0.639546667
0.4915,0.784,0.636,0.637253333
0.5015,0.775,0.631,0.63571
0.5024,0.756,0.610,0.622703333
0.473,0.729,0.577,0.593056667
0.4394,0.700,0.524,0.554306667
0.4054,0.680,0.458,0.514356667
0.3898,0.634,0.389,0.47109
0.3916,0.580,0.343,0.438126667
0.4335,0.510,0.337,0.426853333
0.4466,0.434,0.363,0.414483333
0.4005,0.347,0.406,0.38447
0.3194,0.253,0.436,0.336313333
0.2787,0.215,0.434,0.309373333
0.2585,0.196,0.411,0.28848
0.24,0.179,0.377,0.265246667
0.2361,0.159,0.332,0.242416667
0.2371,0.143,0.289,0.22309
0.2344,0.132,0.260,0.20859
0.2229,0.127,0.257,0.202236667
0.2104,0.119,0.262,0.197306667
0.198,0.102,0.261,0.186916667
0.1797,0.076,0.242,0.165836667
0.1572,0.051,0.210,0.13937
0.1339,0.034,0.184,0.117106667
0.1105,0.022,0.186,0.106306667
0.0863,0.013,0.193,0.097436667
0.0673,0.005,0.189,0.087223333
0.0536,0.000,0.186,0.07987
0.0438,0.000,0.195,0.07967
0.0376,0.000,0.226,0.08799
0.0357,0.000,0.250,0.09526
0.0457,0.000,0.272,0.106006667
0.0674,0.000,0.296,0.121096667
0.0974,0.005,0.315,0.139236667
0.1288,0.035,0.324,0.162486667
0.1625,0.105,0.320,0.195916667
0.2257,0.188,0.338,0.250526667
0.2874,0.272,0.363,0.30756
0.3159,0.330,0.373,0.339573333
0.3046,0.364,0.359,0.342686667
0.2778,0.388,0.328,0.3315
0.2469,0.402,0.294,0.314323333
0.2109,0.381,0.244,0.27863
0.1729,0.341,0.194,0.23598
0.1381,0.311,0.155,0.201366667
0.1133,0.294,0.125,0.17755
0.0985,0.281,0.098,0.158936667
0.1027,0.272,0.072,0.149056667
0.1214,0.281,0.051,0.151183333
0.1445,0.314,0.037,0.16493
0.156,0.341,0.030,0.175513333
0.1451,0.334,0.031,0.17008
0.128,0.304,0.040,0.157443333
0.1122,0.274,0.055,0.14722
0.1007,0.256,0.069,0.14192
0.0936,0.258,0.071,0.14078
0.0898,0.299,0.066,0.151566667
0.0883,0.362,0.065,0.171903333
0.0914,0.419,0.073,0.194326667
0.1054,0.478,0.088,0.223886667
0.1282,0.554,0.094,0.258816667
0.148,0.622,0.094,0.28792
0.1477,0.668,0.091,0.302236667
0.1279,0.682,0.083,0.29769
0.0946,0.657,0.068,0.273303333
0.0618,0.601,0.054,0.238786667
0.038,0.489,0.057,0.194613333
0.0243,0.383,0.068,0.15854
0.0219,0.303,0.086,0.137053333
0.024,0.217,0.114,0.118463333
0.0258,0.145,0.147,0.10601
0.0429,0.075,0.188,0.10203
0.0705,0.034,0.241,0.115
0.1036,0.019,0.304,0.14221
0.1592,0.015,0.353,0.17558
0.2288,0.017,0.372,0.205996667
0.2958,0.029,0.380,0.234856667
0.3359,0.073,0.388,0.265726667
0.3507,0.155,0.370,0.292053333
0.3505,0.258,0.328,0.31204
0.3263,0.413,0.290,0.34305
0.3192,0.601,0.267,0.39556
0.3176,0.709,0.252,0.426466667
0.3138,0.769,0.243,0.441816667
0.3267,0.806,0.244,0.45877
0.3551,0.824,0.246,0.474843333
0.3761,0.819,0.230,0.47529
0.3917,0.810,0.224,0.475163333
0.4261,0.804,0.221,0.483616667
0.4758,0.804,0.214,0.497973333
0.5198,0.817,0.198,0.511536667
0.5375,0.833,0.175,0.515296667
0.523,0.850,0.161,0.511456667
0.5082,0.858,0.154,0.5066
0.5012,0.863,0.149,0.504306667
0.5161,0.871,0.136,0.50778
0.5416,0.874,0.114,0.509903333
0.5382,0.874,0.098,0.503663333
0.5394,0.875,0.087,0.500346667
0.5484,0.875,0.072,0.498723333
0.5119,0.872,0.050,0.478013333
0.4749,0.869,0.027,0.457143333
0.4639,0.872,0.017,0.451093333
0.4668,0.875,0.014,0.45177
