1,2,3,4
0.5175,0.745,0.705,0.65597
0.519,0.772,0.706,0.66559
0.5396,0.782,0.707,0.676233333
0.546,0.769,0.705,0.673486667
0.5385,0.757,0.702,0.666036667
0.5752,0.789,0.701,0.68827
0.6057,0.827,0.701,0.711393333
0.6178,0.849,0.703,0.72313
0.6291,0.854,0.704,0.729043333
0.6144,0.851,0.708,0.72439
0.6506,0.861,0.711,0.740893333
0.698,0.873,0.713,0.761296667
0.7092,0.875,0.714,0.766173333
0.7335,0.866,0.714,0.771256667
0.7675,0.858,0.714,0.780113333
0.8053,0.858,0.715,0.792863333
0.838,0.858,0.715,0.803873333
0.8735,0.858,0.716,0.816053333
0.9027,0.858,0.716,0.825846667
0.9263,0.858,0.716,0.833706667
0.935,0.858,0.716,0.836543333
0.9409,0.858,0.716,0.838503333
0.9498,0.858,0.716,0.84147
0.9566,0.858,0.654,0.82287
