1,2,3,4
0.9247,0.858,0.712,0.83158
0.9283,0.858,0.713,0.833256667
0.9398,0.858,0.714,0.837503333
0.9072,0.858,0.715,0.82695
0.8727,0.858,0.716,0.815693333
0.8531,0.858,0.716,0.809303333
0.8521,0.858,0.716,0.808976667
0.8528,0.858,0.716,0.809136667
0.8517,0.858,0.716,0.80877
0.8586,0.858,0.716,0.81107
0.8615,0.858,0.716,0.812036667
0.8561,0.858,0.716,0.810233333
0.8267,0.858,0.715,0.79991
0.8074,0.858,0.708,0.79132
0.7927,0.858,0.703,0.78456
0.7243,0.858,0.703,0.76196
0.64,0.858,0.706,0.734703333
0.6214,0.858,0.706,0.728726667
0.6236,0.858,0.706,0.729246667
0.6733,0.858,0.704,0.745176667
0.746,0.858,0.702,0.768756667
0.8065,0.858,0.702,0.788893333
0.8132,0.858,0.699,0.790153333
0.8571,0.858,0.666,0.793753333
0.9195,0.858,0.587,0.788166667
0.9225,0.858,0.593,0.791386667
0.9225,0.870,0.676,0.822766667
0.9068,0.871,0.696,0.824776667
0.8632,0.852,0.700,0.80514
0.816,0.836,0.702,0.784593333
0.7712,0.815,0.706,0.76396
0.7319,0.792,0.713,0.745473333
0.7256,0.817,0.716,0.752776667
0.7376,0.862,0.716,0.772106667
0.7492,0.863,0.716,0.776023333
0.7554,0.858,0.716,0.77667
0.7867,0.858,0.716,0.787103333
0.8269,0.858,0.717,0.80072
0.8469,0.858,0.708,0.80437
0.8497,0.858,0.691,0.799876667
0.8441,0.858,0.706,0.80282
0.8519,0.858,0.711,0.80707
0.8744,0.860,0.716,0.816636667
0.8972,0.873,0.717,0.828816667
0.8828,0.874,0.716,0.824156667
0.8355,0.865,0.716,0.805376667
0.7793,0.861,0.716,0.785616667
0.7327,0.868,0.715,0.772093333
0.7022,0.874,0.714,0.763583333
0.6969,0.874,0.713,0.76145
0.6965,0.873,0.713,0.760553333
0.6661,0.859,0.709,0.74462
0.6347,0.850,0.709,0.731196667
0.6107,0.858,0.711,0.72645
0.5467,0.871,0.711,0.70947
0.503,0.875,0.709,0.69599
0.4873,0.858,0.709,0.685023333
0.5077,0.858,0.709,0.69163
0.5023,0.861,0.704,0.688936667
0.4527,0.874,0.661,0.662753333
0.4413,0.839,0.599,0.626276667
0.4446,0.795,0.540,0.593266667
0.3531,0.772,0.499,0.541303333
0.3179,0.761,0.501,0.52672
0.3445,0.765,0.557,0.555523333
0.3492,0.773,0.622,0.581576667
0.4695,0.782,0.655,0.635586667
0.6271,0.792,0.673,0.69744
0.6917,0.797,0.677,0.721876667
0.7184,0.825,0.680,0.7409
0.7468,0.851,0.684,0.760863333
0.7382,0.865,0.693,0.76518
0.7159,0.864,0.698,0.759226667
0.7008,0.847,0.699,0.748966667
0.6855,0.819,0.699,0.734633333
0.6715,0.778,0.701,0.71681
0.6632,0.753,0.703,0.70659
0.6671,0.741,0.704,0.703916667
0.6792,0.729,0.701,0.702873333
0.7114,0.717,0.693,0.707113333
0.7449,0.740,0.690,0.725013333
0.7722,0.793,0.694,0.753226667
0.7779,0.785,0.700,0.754246667
0.7721,0.735,0.702,0.73622
0.7627,0.694,0.701,0.719063333
0.7585,0.662,0.699,0.70652
0.762,0.631,0.695,0.69613
0.7112,0.613,0.692,0.671976667
0.6753,0.612,0.689,0.65901
0.675,0.635,0.686,0.665386667
0.6671,0.644,0.680,0.663633333
0.6228,0.602,0.672,0.63225
0.5494,0.499,0.635,0.5611
0.4583,0.418,0.587,0.487633333
0.3812,0.375,0.554,0.43677
0.3431,0.334,0.565,0.413783333
0.3095,0.282,0.584,0.392006667
0.2641,0.237,0.582,0.360883333
0.2131,0.191,0.541,0.314833333
0.1545,0.132,0.477,0.254536667
0.1175,0.098,0.409,0.208273333
0.1287,0.107,0.351,0.195776667
0.1557,0.125,0.308,0.196256667
0.1473,0.140,0.301,0.19588
0.1308,0.141,0.313,0.194946667
0.1403,0.146,0.331,0.20555
0.1688,0.155,0.359,0.227563333
0.2122,0.158,0.383,0.251216667
0.256,0.158,0.397,0.270413333
0.2849,0.152,0.415,0.283693333
0.2894,0.141,0.437,0.289036667
0.26,0.118,0.451,0.27615
0.2397,0.098,0.470,0.26901
0.2573,0.115,0.488,0.286506667
0.2761,0.146,0.506,0.30932
0.2823,0.176,0.523,0.32716
0.269,0.183,0.543,0.3315
0.2608,0.184,0.568,0.337556667
0.2698,0.176,0.579,0.34159
0.2785,0.167,0.568,0.33796
0.2716,0.150,0.546,0.322463333
0.2624,0.126,0.517,0.30196
0.2665,0.113,0.495,0.291503333
0.273,0.132,0.492,0.299216667
0.2752,0.167,0.501,0.31437
0.2723,0.195,0.519,0.3288
0.2545,0.212,0.544,0.336776667
0.2286,0.216,0.564,0.336106667
0.2356,0.194,0.576,0.335073333
0.2654,0.215,0.576,0.352126667
0.3006,0.237,0.577,0.371606667
0.3275,0.288,0.581,0.398946667
0.3308,0.317,0.564,0.403843333
0.313,0.308,0.538,0.386156667
0.2959,0.305,0.531,0.377433333
0.2761,0.306,0.514,0.365586667
0.2747,0.371,0.512,0.38611
0.3291,0.503,0.526,0.45257
0.4126,0.558,0.531,0.500336667
0.4631,0.584,0.552,0.53301
0.4565,0.608,0.603,0.555916667
0.4528,0.634,0.643,0.576493333
0.4804,0.672,0.662,0.604703333
0.4618,0.700,0.673,0.611596667
0.4855,0.721,0.678,0.62827
0.5069,0.752,0.685,0.648113333
0.5346,0.787,0.692,0.671093333
0.5203,0.822,0.695,0.679116667
0.5086,0.841,0.697,0.68225
0.5548,0.853,0.701,0.70306
0.5803,0.863,0.704,0.715646667
0.5986,0.864,0.706,0.723046667
0.5972,0.855,0.708,0.720306667
0.6523,0.823,0.710,0.72831
0.6721,0.768,0.711,0.716866667
0.6704,0.745,0.713,0.709423333
0.6751,0.758,0.714,0.715433333
0.6833,0.782,0.714,0.726383333
0.6796,0.796,0.715,0.73016
0.6853,0.818,0.715,0.739566667
0.6908,0.834,0.716,0.746926667
0.6836,0.835,0.717,0.745276667
0.6806,0.827,0.717,0.741653333
0.6699,0.810,0.717,0.732186667
0.6542,0.782,0.716,0.717586667
0.6392,0.764,0.716,0.70629
0.6218,0.748,0.715,0.694926667
0.5974,0.742,0.713,0.684303333
0.5696,0.740,0.711,0.67349
0.5422,0.744,0.708,0.664886667
0.5159,0.749,0.705,0.656753333
0.4945,0.731,0.701,0.642193333
0.4747,0.696,0.698,0.622863333
0.4519,0.648,0.696,0.598473333
0.424,0.581,0.694,0.566426667
0.3706,0.477,0.688,0.512023333
0.3303,0.398,0.682,0.470106667
0.3578,0.387,0.680,0.4749
0.3957,0.415,0.682,0.497666667
0.4173,0.434,0.688,0.513313333
0.4244,0.422,0.686,0.510786667
0.4125,0.406,0.657,0.491903333
0.3721,0.427,0.618,0.472406667
0.3017,0.526,0.559,0.462233333
0.2624,0.605,0.537,0.467976667
0.2916,0.596,0.517,0.468056667
0.2979,0.611,0.491,0.46673
0.3029,0.606,0.478,0.46245
0.3214,0.481,0.490,0.43066
0.3552,0.447,0.523,0.44172
0.3429,0.515,0.584,0.480783333
0.2442,0.449,0.584,0.42561
0.2176,0.302,0.534,0.351026667
0.1976,0.166,0.436,0.266413333
0.1435,0.095,0.298,0.179053333
0.0868,0.080,0.196,0.12112
0.052,0.074,0.135,0.086936667
0.0271,0.056,0.093,0.058673333
0.008,0.031,0.054,0.03098
0.0021,0.019,0.018,0.01293
0.0121,0.020,0.011,0.01426
0.0492,0.028,0.009,0.028593333
0.0911,0.038,0.017,0.048673333
0.1266,0.068,0.047,0.08072
0.1659,0.112,0.093,0.12354
0.2167,0.146,0.139,0.167036667
0.2513,0.202,0.205,0.219273333
0.2718,0.314,0.300,0.295263333
0.3184,0.438,0.415,0.390296667
0.3873,0.538,0.539,0.48812
0.4359,0.584,0.596,0.538626667
0.456,0.634,0.630,0.57334
0.4748,0.652,0.644,0.59027
0.4836,0.655,0.659,0.599173333
0.5047,0.645,0.667,0.605486667
0.504,0.612,0.668,0.594903333
0.4579,0.550,0.669,0.558973333
0.3651,0.468,0.669,0.500823333
0.2824,0.387,0.667,0.44576
0.2276,0.314,0.653,0.397983333
0.2183,0.260,0.623,0.366876667
0.2063,0.221,0.591,0.33949
0.1776,0.195,0.560,0.310673333
0.166,0.156,0.530,0.283966667
0.1785,0.110,0.512,0.266763333
0.2086,0.086,0.529,0.274706667
0.2052,0.076,0.561,0.28059
0.1802,0.076,0.584,0.27981
0.1689,0.091,0.590,0.283243333
0.1635,0.113,0.582,0.28595
0.1594,0.122,0.565,0.28213
0.1569,0.110,0.550,0.27228
0.1459,0.094,0.553,0.264296667
0.1435,0.102,0.553,0.266146667
0.1313,0.118,0.536,0.26177
0.1182,0.115,0.528,0.253783333
0.1023,0.088,0.523,0.237636667
0.09,0.070,0.492,0.217533333
0.0831,0.070,0.429,0.19388
0.0688,0.079,0.368,0.171773333
0.05,0.088,0.327,0.1548
0.0385,0.085,0.302,0.141576667
0.0318,0.067,0.279,0.125716667
0.0283,0.061,0.251,0.11322
0.022,0.064,0.223,0.103266667
0.0135,0.083,0.198,0.098256667
0.0137,0.117,0.167,0.099176667
0.0253,0.147,0.132,0.10164
0.0384,0.164,0.102,0.10134
0.0434,0.137,0.078,0.08624
0.0417,0.111,0.057,0.07003
0.0377,0.120,0.044,0.067366667
0.0352,0.140,0.036,0.07059
0.0345,0.145,0.030,0.069613333
0.0319,0.124,0.021,0.05898
0.0277,0.106,0.015,0.04947
0.0253,0.095,0.012,0.044096667
0.0343,0.104,0.011,0.04978
0.0518,0.102,0.009,0.05427
0.0728,0.100,0.008,0.06008
0.0927,0.133,0.010,0.07866
