1,2,3,4
0.3663,0.412,0.521,0.43299
0.3423,0.380,0.578,0.433743333
0.3517,0.381,0.598,0.443353333
0.3673,0.397,0.606,0.456596667
0.4043,0.418,0.601,0.474303333
0.4141,0.444,0.584,0.48068
0.389,0.450,0.559,0.466136667
0.3507,0.436,0.543,0.443103333
0.3326,0.414,0.536,0.427606667
0.3482,0.384,0.535,0.422303333
0.3486,0.360,0.558,0.422256667
0.3443,0.334,0.593,0.423663333
0.336,0.281,0.617,0.411493333
0.332,0.209,0.630,0.390016667
0.3291,0.146,0.633,0.369203333
0.3222,0.107,0.634,0.354243333
0.311,0.070,0.630,0.33713
0.2865,0.038,0.626,0.316823333
0.2765,0.014,0.628,0.30619
0.2869,0.001,0.637,0.308076667
0.3055,0.000,0.651,0.31873
0.3277,0.001,0.673,0.33382
0.3379,0.006,0.696,0.346743333
0.3397,0.012,0.707,0.353116667
0.3352,0.017,0.709,0.353633333
0.3323,0.019,0.708,0.353156667
0.3316,0.018,0.707,0.352036667
0.3258,0.015,0.702,0.347696667
0.3201,0.014,0.700,0.34471
0.2994,0.014,0.699,0.337473333
0.2548,0.014,0.700,0.3227
0.2684,0.015,0.706,0.329546667
0.268,0.019,0.709,0.331806667
0.2561,0.027,0.708,0.330336667
0.2391,0.034,0.705,0.32609
0.2197,0.037,0.698,0.317996667
0.1988,0.035,0.686,0.30665
0.1808,0.026,0.666,0.290936667
0.164,0.017,0.633,0.27118
0.1501,0.005,0.607,0.253903333
0.1364,0.000,0.586,0.24079
0.1267,0.000,0.576,0.234086667
0.1224,0.000,0.572,0.23156
0.104,0.000,0.573,0.225513333
0.0815,0.000,0.578,0.21974
0.0682,0.000,0.588,0.21862
0.0648,0.000,0.597,0.220573333
0.0679,0.000,0.599,0.22224
0.0807,0.000,0.600,0.227043333
0.098,0.004,0.600,0.234063333
0.1136,0.013,0.598,0.241363333
0.1308,0.025,0.595,0.250436667
0.1555,0.047,0.597,0.266503333
0.1768,0.090,0.602,0.289553333
0.1715,0.142,0.611,0.30817
0.1845,0.186,0.630,0.333546667
0.1996,0.222,0.640,0.354
0.2061,0.213,0.640,0.35305
0.2076,0.184,0.632,0.34117
0.2078,0.165,0.618,0.33006
0.2028,0.155,0.602,0.32004
0.191,0.149,0.593,0.311006667
0.1794,0.134,0.589,0.30071
0.1778,0.117,0.595,0.29643
0.1917,0.091,0.603,0.29512
0.2274,0.067,0.608,0.3009
0.2796,0.061,0.620,0.320516667
0.339,0.067,0.630,0.345163333
0.4033,0.087,0.638,0.376206667
0.455,0.129,0.646,0.41018
0.4735,0.176,0.633,0.427613333
0.4774,0.230,0.604,0.43707
0.4821,0.296,0.572,0.45023
0.4858,0.348,0.537,0.45711
0.5121,0.390,0.492,0.46468
0.5353,0.408,0.464,0.469233333
0.5782,0.429,0.442,0.482946667
0.6217,0.453,0.424,0.499743333
0.6672,0.470,0.409,0.515713333
0.7062,0.497,0.398,0.533793333
0.7566,0.534,0.379,0.556653333
0.7809,0.580,0.350,0.570273333
0.7916,0.612,0.319,0.573966667
0.7884,0.639,0.294,0.5737
0.7653,0.646,0.267,0.559233333
0.7427,0.636,0.232,0.536726667
0.706,0.626,0.205,0.512173333
0.6736,0.629,0.213,0.505043333
0.6449,0.621,0.285,0.516866667
0.6243,0.609,0.393,0.54186
0.6218,0.598,0.481,0.567003333
0.6111,0.592,0.554,0.58589
0.5932,0.581,0.639,0.604326667
0.5691,0.538,0.686,0.59738
0.5357,0.455,0.698,0.562813333
0.4922,0.369,0.698,0.519796667
0.4554,0.283,0.696,0.47833
0.4323,0.207,0.694,0.4443
0.4147,0.163,0.690,0.42252
0.4178,0.154,0.691,0.420916667
0.4347,0.177,0.699,0.436953333
0.4571,0.221,0.705,0.460896667
0.4681,0.267,0.711,0.482126667
0.4967,0.300,0.715,0.503856667
0.5485,0.291,0.715,0.517983333
0.558,0.289,0.717,0.521326667
0.521,0.332,0.717,0.523566667
0.521,0.426,0.717,0.55489
0.5678,0.571,0.717,0.618403333
0.6226,0.660,0.716,0.66615
0.6658,0.692,0.716,0.691236667
0.6983,0.720,0.716,0.711596667
0.7129,0.758,0.716,0.729043333
0.7266,0.792,0.716,0.744996667
0.7539,0.811,0.716,0.760493333
0.766,0.820,0.716,0.767386667
0.7675,0.814,0.716,0.76579
0.7599,0.813,0.716,0.76285
0.7493,0.799,0.716,0.754903333
0.7383,0.783,0.716,0.745826667
0.7234,0.784,0.716,0.74128
0.7185,0.786,0.716,0.74028
0.7106,0.790,0.716,0.738983333
0.6899,0.780,0.716,0.728553333
0.6669,0.755,0.716,0.71292
0.6409,0.721,0.716,0.692883333
0.6117,0.683,0.716,0.670326667
0.5634,0.633,0.716,0.63752
0.5285,0.578,0.717,0.607753333
0.5115,0.515,0.716,0.581033333
0.4911,0.448,0.716,0.55165
0.4758,0.378,0.717,0.523443333
0.4626,0.318,0.717,0.49909
0.4454,0.261,0.715,0.474013333
0.4257,0.216,0.711,0.450843333
0.4153,0.161,0.704,0.42676
0.4308,0.109,0.697,0.41198
0.4677,0.062,0.693,0.40757
0.5003,0.040,0.692,0.410876667
0.5106,0.035,0.689,0.41151
0.5088,0.036,0.685,0.409833333
0.5132,0.063,0.677,0.417586667
0.5179,0.118,0.663,0.432896667
0.5154,0.170,0.647,0.44419
0.511,0.217,0.615,0.447573333
0.5206,0.266,0.577,0.45437
0.5076,0.307,0.546,0.453353333
0.4646,0.326,0.507,0.432523333
0.4346,0.328,0.481,0.414603333
0.4105,0.327,0.483,0.406823333
0.3649,0.326,0.486,0.392466667
0.3416,0.332,0.478,0.383686667
0.3409,0.358,0.465,0.38811
0.3103,0.378,0.444,0.37759
0.276,0.390,0.418,0.361523333
0.2581,0.406,0.397,0.35379
0.254,0.434,0.392,0.35985
0.2554,0.452,0.409,0.37193
0.2519,0.451,0.437,0.380056667
0.2507,0.436,0.473,0.386763333
0.242,0.413,0.498,0.384153333
0.2483,0.374,0.503,0.375223333
0.2648,0.335,0.496,0.365346667
0.2596,0.293,0.479,0.34392
0.2486,0.243,0.447,0.312826667
0.2413,0.207,0.416,0.288
0.2366,0.184,0.384,0.268246667
0.2219,0.183,0.366,0.257216667
0.204,0.190,0.373,0.255473333
0.1948,0.185,0.406,0.262106667
0.1936,0.166,0.448,0.26915
0.1873,0.146,0.463,0.265136667
0.1866,0.137,0.456,0.259773333
0.1742,0.129,0.421,0.241563333
0.1473,0.117,0.366,0.210283333
0.1318,0.090,0.301,0.174206667
0.1157,0.075,0.238,0.142986667
0.1002,0.075,0.180,0.11816
0.0869,0.074,0.128,0.096473333
