1,2,3,4
0.4785,0.3581,0.181,0.339
0.491,0.3771,0.2062,0.358
0.4814,0.4091,0.2314,0.374
0.5016,0.4429,0.25,0.398
0.5242,0.4699,0.2773,0.424
0.5539,0.4999,0.3075,0.454
0.5392,0.4936,0.3239,0.452
0.5021,0.4422,0.347,0.43
0.4803,0.4157,0.3667,0.421
0.4557,0.3863,0.3581,0.4
0.4324,0.3744,0.349,0.385
0.4034,0.3681,0.3497,0.374
0.4267,0.3782,0.3403,0.382
0.3992,0.3795,0.3333,0.371
0.4068,0.377,0.3251,0.37
0.4495,0.3411,0.3416,0.377
0.4921,0.2995,0.3471,0.38
0.5831,0.2875,0.365,0.412
0.6292,0.2926,0.3876,0.436
0.6727,0.3063,0.4285,0.469
0.6585,0.3148,0.4677,0.48
0.5899,0.2708,0.5194,0.46
0.5028,0.2181,0.5719,0.431
0.4174,0.1816,0.6191,0.406
0.3446,0.1632,0.6327,0.38
0.2876,0.1637,0.61,0.354
0.2583,0.1892,0.57,0.339
0.2295,0.2636,0.5189,0.337
0.2099,0.341,0.461,0.337
0.1971,0.4098,0.412,0.34
0.185,0.4421,0.3383,0.322
0.1796,0.4312,0.2835,0.298
0.1844,0.3983,0.2336,0.272
0.2083,0.3578,0.1878,0.251
0.2369,0.3486,0.171,0.252
0.2734,0.3627,0.1799,0.272
0.3383,0.3712,0.1824,0.297
0.3899,0.3683,0.1922,0.317
0.405,0.3934,0.2104,0.336
0.3945,0.4207,0.2317,0.349
0.3871,0.4371,0.2415,0.355
0.3984,0.4428,0.2509,0.364
0.4016,0.4498,0.2707,0.374
0.4023,0.4578,0.2728,0.378
0.4049,0.4542,0.2808,0.38
0.4105,0.4463,0.279,0.379
0.4134,0.4423,0.276,0.377
0.4258,0.4629,0.2777,0.389
0.4552,0.4897,0.2745,0.406
0.4812,0.5055,0.2844,0.424
0.5241,0.5301,0.2963,0.45
0.6021,0.5483,0.3043,0.485
0.7229,0.5641,0.3302,0.539
0.8322,0.5748,0.3872,0.598
0.9158,0.5758,0.4524,0.648
0.9608,0.5918,0.5281,0.694
0.975,0.6802,0.6181,0.758
0.9761,0.7679,0.7016,0.815
0.9761,0.8585,0.7738,0.869
0.9759,0.918,0.8359,0.91
0.9749,0.9421,0.8789,0.932
0.972,0.9438,0.9102,0.942
0.953,0.9277,0.9337,0.938
0.9416,0.905,0.946,0.931
0.9184,0.9012,0.9491,0.923
0.9069,0.9123,0.9475,0.922
0.893,0.9243,0.9476,0.922
0.8638,0.9359,0.9418,0.914
0.8467,0.9318,0.9251,0.901
0.8456,0.9235,0.901,0.89
0.8482,0.919,0.8624,0.877
0.8503,0.9076,0.8177,0.859
0.8473,0.9134,0.7669,0.843
0.8273,0.9279,0.7271,0.827
0.811,0.9391,0.6982,0.816
0.7817,0.9451,0.6792,0.802
0.7594,0.9421,0.6807,0.794
0.7681,0.9329,0.6853,0.795
0.7552,0.9216,0.6923,0.79
0.7119,0.9094,0.6996,0.774
0.6647,0.8935,0.7036,0.754
0.6607,0.8748,0.7135,0.75
0.6888,0.851,0.741,0.76
0.707,0.8442,0.7555,0.769
0.7085,0.8429,0.7617,0.771
0.726,0.8306,0.7545,0.77
0.7544,0.8159,0.7432,0.771
0.7732,0.8137,0.7398,0.776
0.7971,0.7934,0.7504,0.78
0.8333,0.7744,0.7649,0.791
0.8839,0.7401,0.7876,0.804
0.9201,0.696,0.8136,0.81
0.9411,0.6865,0.8358,0.821
0.9479,0.6912,0.853,0.831
0.9594,0.7032,0.8661,0.843
0.9683,0.7099,0.8861,0.855
0.9744,0.6767,0.9106,0.854
0.9759,0.6103,0.9319,0.839
0.9755,0.5311,0.9467,0.818
0.9731,0.5025,0.9493,0.808
0.9572,0.528,0.9514,0.812
0.9465,0.5778,0.9477,0.824
0.9323,0.616,0.9349,0.828
0.9252,0.6231,0.9194,0.823
0.9356,0.5818,0.8968,0.805
0.9474,0.4974,0.8797,0.775
0.9538,0.4535,0.8672,0.758
0.9533,0.461,0.8573,0.757
0.9467,0.5293,0.8621,0.779
0.9363,0.6225,0.8702,0.81
0.9239,0.7045,0.8782,0.836
0.9229,0.7389,0.8856,0.849
0.918,0.7272,0.8877,0.844
0.9104,0.671,0.8858,0.822
0.9004,0.5907,0.8837,0.792
0.8921,0.5103,0.88,0.761
0.8889,0.445,0.8683,0.734
0.8899,0.416,0.8599,0.722
0.8901,0.4162,0.8536,0.72
0.8826,0.4354,0.8421,0.72
0.8701,0.4475,0.8258,0.714
0.8565,0.4471,0.802,0.702
0.83,0.4463,0.7659,0.681
0.8042,0.4284,0.7225,0.652
0.7841,0.3869,0.6846,0.619
0.7615,0.3317,0.6255,0.573
0.7237,0.2632,0.554,0.514
0.6765,0.2237,0.4954,0.465
0.6224,0.2003,0.4218,0.415
0.5825,0.1632,0.3714,0.372
0.5548,0.1427,0.3763,0.358
0.4918,0.1367,0.4022,0.344
0.3788,0.1398,0.4098,0.309
0.3122,0.1508,0.3537,0.272
0.2977,0.1743,0.307,0.26
0.3144,0.2161,0.3064,0.279
