1,2,3,4
0.732,0.755,0.869,0.785243333
0.711,0.748,0.853,0.770523333
0.686,0.737,0.841,0.754563333
0.655,0.717,0.838,0.736906667
0.618,0.696,0.841,0.718176667
0.568,0.657,0.84,0.688486667
0.519,0.614,0.831,0.654716667
0.51,0.625,0.829,0.65478
0.572,0.666,0.867,0.70158
0.569,0.677,0.877,0.707653333
0.56,0.684,0.88,0.707803333
0.571,0.688,0.891,0.71668
0.593,0.686,0.894,0.724436667
0.611,0.68,0.879,0.723193333
0.619,0.683,0.829,0.71038
0.612,0.671,0.756,0.679926667
0.573,0.632,0.707,0.637296667
0.5,0.624,0.695,0.606106667
0.49,0.653,0.676,0.60645
0.495,0.669,0.658,0.607656667
0.504,0.68,0.638,0.60756
0.514,0.688,0.62,0.607436667
0.527,0.687,0.601,0.604993333
0.534,0.679,0.59,0.60096
0.554,0.67,0.577,0.600506667
0.583,0.652,0.552,0.59547
0.607,0.625,0.52,0.584336667
0.638,0.585,0.484,0.569026667
0.66,0.562,0.454,0.558456667
0.664,0.539,0.425,0.542763333
0.641,0.519,0.405,0.52164
0.601,0.516,0.415,0.510513333
0.576,0.525,0.462,0.52117
0.54,0.495,0.533,0.52275
0.496,0.435,0.586,0.50593
0.45,0.363,0.625,0.479506667
0.403,0.29,0.645,0.446403333
0.356,0.231,0.644,0.41031
0.307,0.188,0.628,0.374453333
0.256,0.152,0.583,0.330203333
0.193,0.107,0.521,0.273843333
0.138,0.055,0.485,0.225746667
0.119,0.027,0.463,0.202866667
0.112,0.01,0.431,0.18417
0.102,0.003,0.392,0.165716667
0.099,0.002,0.351,0.15071
0.1,0.004,0.319,0.141046667
0.103,0.007,0.297,0.135773333
0.107,0.012,0.284,0.134423333
0.11,0.02,0.275,0.135036667
0.11,0.035,0.265,0.136456667
0.109,0.057,0.257,0.14089
0.107,0.078,0.244,0.143086667
0.104,0.099,0.219,0.140733333
0.096,0.104,0.182,0.127243333
0.09,0.083,0.199,0.12401
0.103,0.078,0.214,0.13176
0.116,0.083,0.192,0.13015
0.126,0.079,0.169,0.124806667
0.136,0.071,0.148,0.118466667
0.149,0.059,0.13,0.112823333
0.165,0.043,0.114,0.10722
0.176,0.025,0.094,0.098306667
0.166,0.008,0.077,0.08376
0.138,0.002,0.053,0.06439
0.113,0.002,0.042,0.05239
0.114,0.009,0.043,0.055136667
0.115,0.018,0.038,0.057123333
0.109,0.023,0.031,0.05449
0.107,0.024,0.027,0.05273
0.106,0.019,0.024,0.049753333
0.108,0.013,0.021,0.04766
0.109,0.007,0.022,0.04594
0.11,0.004,0.025,0.046383333
0.119,0.005,0.028,0.050733333
0.127,0.008,0.026,0.053316667
0.132,0.018,0.023,0.05757
0.127,0.051,0.023,0.066836667
0.124,0.088,0.019,0.076903333
0.146,0.106,0.018,0.09041
0.196,0.146,0.024,0.121943333
0.236,0.198,0.028,0.154053333
0.281,0.216,0.032,0.176263333
0.341,0.215,0.041,0.198906667
0.402,0.24,0.057,0.232706667
0.456,0.304,0.078,0.27937
0.506,0.365,0.101,0.32404
0.536,0.371,0.115,0.340676667
0.521,0.336,0.103,0.319733333
0.446,0.269,0.092,0.26865
0.442,0.252,0.101,0.26511
0.457,0.243,0.102,0.267423333
0.455,0.216,0.094,0.25527
0.441,0.201,0.082,0.24124
0.433,0.171,0.065,0.222653333
0.417,0.137,0.049,0.200996667
0.393,0.107,0.04,0.179826667
0.363,0.09,0.035,0.162853333
0.339,0.078,0.032,0.149653333
0.338,0.071,0.03,0.14629
0.335,0.065,0.027,0.142106667
0.328,0.059,0.022,0.136023333
0.292,0.04,0.011,0.114466667
0.271,0.031,0.014,0.105356667
0.352,0.053,0.027,0.14377
0.396,0.047,0.032,0.158553333
0.389,0.041,0.035,0.15496
0.382,0.034,0.038,0.151233333
0.372,0.027,0.043,0.147293333
0.358,0.022,0.054,0.145023333
0.346,0.02,0.069,0.145003333
0.352,0.025,0.083,0.153106667
0.346,0.032,0.076,0.151276667
0.289,0.039,0.068,0.13198
0.305,0.067,0.071,0.14743
0.341,0.082,0.066,0.16314
0.365,0.081,0.058,0.167896667
0.352,0.055,0.047,0.151513333
0.333,0.031,0.038,0.133926667
0.291,0.015,0.033,0.113196667
0.257,0.005,0.033,0.09838
0.227,0.002,0.035,0.08813
0.204,0.001,0.038,0.08078
0.181,0.001,0.04,0.074053333
0.163,0.006,0.044,0.07118
0.15,0.013,0.042,0.068633333
0.126,0.017,0.03,0.05768
0.099,0.014,0.039,0.050813333
0.126,0.017,0.068,0.070353333
0.181,0.015,0.083,0.09274
0.187,0.014,0.089,0.096623333
0.195,0.019,0.097,0.10374
0.207,0.027,0.106,0.113183333
0.227,0.034,0.109,0.123226667
0.252,0.037,0.105,0.131246667
0.274,0.039,0.097,0.13682
0.275,0.039,0.069,0.12785
0.243,0.037,0.052,0.1108
0.273,0.038,0.05,0.12012
0.306,0.037,0.039,0.127186667
0.322,0.033,0.025,0.126736667
0.344,0.03,0.017,0.13021
0.358,0.029,0.011,0.132716667
0.358,0.025,0.009,0.130533333
0.35,0.021,0.011,0.127356667
0.331,0.017,0.017,0.121776667
