1,2,3,4
0.642,0.681,0.739,0.687383333
0.633,0.548,0.704,0.6284
0.618,0.404,0.663,0.56152
0.594,0.3,0.62,0.50471
0.558,0.2,0.578,0.445266667
0.513,0.128,0.537,0.392513333
0.471,0.1,0.498,0.356336667
0.435,0.099,0.466,0.333396667
0.392,0.117,0.435,0.314706667
0.352,0.18,0.407,0.313136667
0.339,0.307,0.379,0.34147
0.347,0.441,0.353,0.3804
0.351,0.52,0.329,0.399993333
0.33,0.561,0.306,0.399093333
0.294,0.576,0.28,0.383296667
0.26,0.57,0.26,0.363213333
0.24,0.55,0.241,0.343446667
0.222,0.526,0.231,0.326063333
0.203,0.496,0.228,0.308966667
0.185,0.462,0.239,0.29512
0.17,0.439,0.258,0.289406667
0.161,0.42,0.285,0.28873
0.151,0.395,0.313,0.286233333
0.141,0.369,0.348,0.28604
0.129,0.346,0.38,0.28509
0.12,0.323,0.401,0.281413333
0.118,0.306,0.411,0.27828
0.113,0.293,0.418,0.27449
0.118,0.281,0.413,0.270666667
0.125,0.281,0.406,0.270653333
0.133,0.289,0.393,0.271386667
0.138,0.298,0.384,0.273346667
0.138,0.3,0.366,0.268086667
0.119,0.278,0.335,0.243866667
0.107,0.262,0.312,0.2271
0.107,0.263,0.302,0.223796667
0.11,0.274,0.294,0.225816667
0.11,0.283,0.29,0.22749
0.097,0.276,0.286,0.21956
0.085,0.277,0.296,0.219383333
0.086,0.296,0.308,0.229993333
0.092,0.306,0.318,0.238456667
0.1,0.306,0.324,0.243256667
0.111,0.303,0.329,0.247493333
0.118,0.299,0.327,0.24772
0.122,0.294,0.317,0.24437
0.122,0.279,0.302,0.23416
0.117,0.266,0.283,0.22221
0.112,0.262,0.259,0.21117
0.102,0.26,0.235,0.198903333
0.095,0.252,0.218,0.188523333
0.096,0.233,0.21,0.179563333
0.1,0.23,0.201,0.176876667
0.105,0.229,0.19,0.174593333
0.115,0.224,0.184,0.174413333
0.133,0.231,0.18,0.18157
0.151,0.243,0.172,0.18876
0.15,0.219,0.147,0.17165
0.158,0.205,0.128,0.163803333
0.182,0.214,0.124,0.17312
0.208,0.241,0.133,0.194056667
0.23,0.271,0.153,0.218173333
0.249,0.284,0.176,0.236246667
0.29,0.322,0.201,0.270963333
0.347,0.357,0.221,0.308426667
0.386,0.387,0.234,0.335516667
0.42,0.431,0.251,0.36705
0.454,0.483,0.273,0.403553333
0.489,0.534,0.302,0.441806667
0.525,0.598,0.335,0.485743333
0.553,0.643,0.374,0.523456667
0.575,0.686,0.415,0.558613333
0.591,0.716,0.45,0.58545
0.595,0.739,0.486,0.606826667
0.591,0.757,0.535,0.627686667
0.561,0.764,0.601,0.64212
0.507,0.742,0.67,0.63995
0.43,0.65,0.728,0.602546667
0.333,0.495,0.761,0.52968
0.25,0.321,0.756,0.442443333
0.186,0.221,0.719,0.37535
0.138,0.19,0.655,0.327893333
0.118,0.19,0.592,0.300243333
0.116,0.224,0.535,0.291653333
0.116,0.262,0.503,0.293653333
0.119,0.294,0.481,0.29811
0.124,0.327,0.474,0.308226667
0.131,0.366,0.478,0.32509
0.148,0.405,0.481,0.344606667
0.161,0.44,0.481,0.360953333
0.176,0.473,0.487,0.378803333
0.187,0.503,0.498,0.39604
0.2,0.527,0.515,0.413986667
0.211,0.553,0.526,0.43005
0.215,0.564,0.532,0.437056667
0.217,0.566,0.541,0.441416667
0.222,0.548,0.547,0.439106667
0.236,0.537,0.548,0.440423333
0.265,0.565,0.547,0.459016667
0.295,0.588,0.563,0.48186
0.304,0.58,0.593,0.49259
0.297,0.566,0.615,0.492756667
0.267,0.576,0.63,0.490813333
0.252,0.612,0.651,0.50509
0.26,0.647,0.676,0.5277
0.271,0.658,0.688,0.53907
0.286,0.663,0.696,0.548393333
0.313,0.682,0.703,0.565883333
0.342,0.698,0.717,0.585493333
0.361,0.708,0.733,0.60083
0.38,0.715,0.748,0.614173333
0.406,0.731,0.757,0.631216667
0.439,0.74,0.764,0.647403333
0.454,0.739,0.772,0.655056667
0.457,0.735,0.783,0.658136667
0.456,0.73,0.788,0.657643333
0.45,0.724,0.785,0.653103333
0.449,0.716,0.778,0.647813333
0.453,0.717,0.777,0.648966667
0.463,0.72,0.78,0.654266667
0.473,0.721,0.783,0.658776667
0.485,0.721,0.79,0.665316667
0.498,0.728,0.796,0.673966667
0.5,0.73,0.799,0.67615
0.488,0.722,0.801,0.670446667
0.468,0.705,0.798,0.657303333
0.45,0.696,0.794,0.646553333
0.432,0.693,0.789,0.637893333
0.408,0.685,0.79,0.6278
0.394,0.677,0.784,0.618186667
0.394,0.669,0.783,0.615293333
0.405,0.665,0.782,0.617023333
0.41,0.668,0.778,0.618566667
0.41,0.667,0.776,0.617976667
0.408,0.669,0.772,0.616516667
0.396,0.654,0.772,0.60717
0.375,0.619,0.765,0.586383333
0.342,0.565,0.748,0.55193
0.31,0.49,0.715,0.504983333
0.283,0.415,0.656,0.45137
0.268,0.354,0.584,0.402073333
0.245,0.304,0.509,0.352493333
0.219,0.247,0.43,0.298463333
0.204,0.202,0.348,0.2515
0.194,0.17,0.281,0.214916667
0.186,0.148,0.22,0.184526667
0.179,0.136,0.173,0.162596667
0.175,0.127,0.133,0.144976667
0.173,0.129,0.102,0.134573333
0.176,0.135,0.079,0.130156667
0.185,0.137,0.064,0.128643333
0.199,0.134,0.053,0.12865
0.212,0.127,0.042,0.12701
0.216,0.113,0.027,0.11843
0.23,0.111,0.016,0.119093333
0.251,0.119,0.012,0.1274
0.268,0.122,0.011,0.13344
0.277,0.121,0.012,0.136836667
0.286,0.141,0.017,0.147896667
0.324,0.193,0.023,0.179843333
0.37,0.252,0.029,0.216923333
0.394,0.294,0.034,0.240866667
0.399,0.33,0.042,0.256913333
0.401,0.358,0.051,0.27007
0.391,0.378,0.062,0.277046667
0.386,0.388,0.073,0.282293333
0.379,0.382,0.086,0.282143333
0.36,0.375,0.094,0.276376667
0.344,0.356,0.1,0.266913333
0.331,0.347,0.107,0.26172
0.324,0.357,0.116,0.265666667
0.32,0.377,0.125,0.273813333
0.321,0.401,0.138,0.286383333
0.318,0.436,0.154,0.302616667
0.311,0.47,0.171,0.31731
0.301,0.494,0.186,0.327123333
0.294,0.494,0.195,0.32789
0.279,0.467,0.179,0.308323333
0.271,0.456,0.17,0.299116667
0.272,0.453,0.177,0.30041
0.27,0.444,0.192,0.302156667
0.262,0.428,0.209,0.299716667
0.246,0.407,0.24,0.297693333
0.244,0.402,0.294,0.313496667
0.247,0.392,0.332,0.323556667
0.242,0.385,0.343,0.323363333
0.236,0.382,0.346,0.321313333
0.23,0.38,0.338,0.315846667
0.228,0.383,0.32,0.31034
0.235,0.406,0.305,0.31539
0.239,0.416,0.287,0.314013333
0.238,0.417,0.272,0.308973333
0.237,0.41,0.259,0.30195
0.232,0.394,0.253,0.292936667
0.224,0.366,0.249,0.27962
0.199,0.309,0.246,0.25152
0.175,0.251,0.252,0.225913333
0.156,0.208,0.255,0.20637
0.139,0.177,0.258,0.191523333
0.126,0.148,0.264,0.17908
0.109,0.126,0.267,0.167316667
0.1,0.106,0.255,0.15377
0.101,0.1,0.246,0.148726667
0.112,0.12,0.252,0.161446667
0.131,0.162,0.265,0.185923333
0.142,0.203,0.269,0.204526667
0.137,0.24,0.257,0.211383333
0.14,0.263,0.25,0.217743333
0.151,0.299,0.248,0.232796667
0.157,0.319,0.25,0.242033333
0.161,0.322,0.257,0.246606667
0.163,0.313,0.27,0.248553333
0.165,0.31,0.289,0.254303333
0.165,0.327,0.304,0.265453333
0.164,0.341,0.32,0.27483
0.163,0.355,0.336,0.284913333
0.162,0.369,0.35,0.293563333
0.161,0.379,0.36,0.29981
0.164,0.389,0.367,0.306626667
0.171,0.386,0.379,0.312006667
0.18,0.39,0.392,0.32074
0.187,0.399,0.402,0.329053333
0.183,0.4,0.411,0.331303333
0.166,0.394,0.418,0.326086667
0.145,0.39,0.415,0.316846667
0.129,0.392,0.403,0.30772
