1,2,3,4
0.109,0.19,0.226,0.174896667
0.112,0.206,0.228,0.18195
0.114,0.219,0.236,0.189553333
0.117,0.224,0.242,0.19432
0.117,0.224,0.248,0.196563333
0.117,0.238,0.25,0.20171
0.127,0.271,0.256,0.217826667
0.149,0.295,0.264,0.236186667
0.171,0.318,0.277,0.255443333
0.165,0.325,0.296,0.26213
0.16,0.329,0.321,0.270093333
0.175,0.351,0.345,0.290466667
0.184,0.392,0.365,0.31346
0.192,0.433,0.392,0.338856667
0.203,0.483,0.426,0.370793333
0.238,0.547,0.455,0.413286667
0.286,0.604,0.489,0.45944
0.325,0.644,0.535,0.50146
0.357,0.682,0.59,0.5429
0.383,0.712,0.642,0.57912
0.402,0.731,0.691,0.608256667
0.424,0.747,0.739,0.63676
0.445,0.758,0.775,0.65959
0.465,0.765,0.801,0.67689
