1,2,3,4
0.281,0.248,0.073,0.200623333
0.284,0.244,0.072,0.200026667
0.277,0.241,0.07,0.195803333
0.246,0.217,0.068,0.177266667
0.217,0.191,0.058,0.155373333
0.175,0.146,0.041,0.12064
0.147,0.094,0.044,0.095086667
0.156,0.076,0.06,0.097466667
0.178,0.093,0.074,0.114883333
0.2,0.108,0.081,0.129563333
0.205,0.11,0.086,0.133883333
0.21,0.109,0.092,0.13696
0.205,0.093,0.098,0.132146667
0.193,0.072,0.105,0.12371
0.174,0.049,0.113,0.112126667
0.158,0.038,0.124,0.10689
0.142,0.039,0.133,0.10484
0.125,0.05,0.144,0.106073333
0.109,0.071,0.184,0.12122
0.115,0.119,0.24,0.15792
0.135,0.189,0.278,0.20055
0.142,0.246,0.295,0.227516667
0.14,0.254,0.299,0.230703333
0.129,0.233,0.29,0.217126667
0.12,0.208,0.276,0.201283333
0.115,0.174,0.262,0.183386667
0.11,0.121,0.247,0.15933
0.105,0.061,0.225,0.129973333
0.1,0.024,0.183,0.10221
0.083,0.014,0.145,0.080946667
0.077,0.02,0.144,0.08049
0.089,0.023,0.179,0.09685
0.1,0.018,0.218,0.112183333
0.104,0.011,0.238,0.117493333
0.104,0.006,0.241,0.1173
0.107,0.005,0.231,0.11476
0.107,0.005,0.214,0.108823333
0.101,0.006,0.197,0.100946667
0.091,0.005,0.183,0.092653333
0.081,0.01,0.172,0.087773333
0.07,0.023,0.158,0.083733333
0.054,0.034,0.16,0.0827
0.041,0.046,0.178,0.088273333
0.04,0.054,0.202,0.098403333
0.041,0.054,0.209,0.101306667
0.041,0.064,0.197,0.100583333
0.043,0.067,0.174,0.094463333
0.044,0.061,0.151,0.085073333
0.046,0.056,0.127,0.076003333
0.051,0.048,0.104,0.067626667
0.059,0.043,0.086,0.06277
0.063,0.023,0.062,0.049276667
0.071,0.006,0.033,0.036763333
0.065,0.002,0.014,0.026843333
0.059,0.001,0.009,0.02287
0.077,0,0.01,0.028923333
0.102,0,0.009,0.03716
0.115,0.001,0.008,0.041493333
0.123,0.003,0.007,0.044316667
0.124,0.007,0.005,0.045496667
0.13,0.011,0.004,0.04832
0.144,0.015,0.003,0.05404
0.162,0.023,0.003,0.062533333
0.18,0.039,0.003,0.073763333
0.197,0.064,0.003,0.088353333
0.21,0.098,0.005,0.104573333
0.224,0.146,0.013,0.127723333
0.258,0.205,0.028,0.1638
0.283,0.248,0.041,0.190646667
0.297,0.286,0.044,0.209023333
0.3,0.314,0.042,0.21846
0.293,0.325,0.04,0.21939
0.284,0.329,0.041,0.21791
0.26,0.327,0.042,0.20973
0.24,0.308,0.044,0.197556667
0.214,0.252,0.047,0.17086
0.185,0.189,0.042,0.138686667
0.131,0.145,0.025,0.100313333
0.1,0.144,0.017,0.086986667
0.108,0.166,0.024,0.09927
0.111,0.201,0.032,0.11445
0.093,0.212,0.035,0.1134
0.071,0.195,0.034,0.09992
0.058,0.159,0.033,0.083516667
0.049,0.127,0.03,0.068816667
0.043,0.104,0.025,0.057193333
0.039,0.086,0.019,0.047836667
0.037,0.079,0.018,0.044423333
0.036,0.08,0.021,0.045656667
0.04,0.083,0.027,0.050223333
0.048,0.093,0.036,0.058663333
0.058,0.101,0.043,0.067346667
0.063,0.095,0.05,0.069476667
0.06,0.085,0.051,0.06537
0.056,0.066,0.045,0.055376667
0.046,0.042,0.038,0.042063333
0.039,0.026,0.033,0.032806667
0.035,0.017,0.029,0.026556667
0.034,0.01,0.023,0.022456667
0.036,0.007,0.013,0.018753333
0.037,0.004,0.004,0.014876667
0.028,0.001,0.001,0.010033333
0.024,0.001,0,0.00843
0.033,0.001,0,0.011286667
0.049,0.001,0.001,0.016903333
0.068,0.001,0.002,0.023846667
0.087,0.001,0.004,0.030723333
0.112,0.002,0.006,0.040153333
0.148,0.026,0.01,0.061336667
0.185,0.103,0.014,0.100636667
0.208,0.197,0.017,0.140383333
0.218,0.211,0.017,0.148766667
0.212,0.183,0.024,0.139623333
0.206,0.179,0.036,0.14013
0.18,0.186,0.064,0.143346667
0.147,0.169,0.112,0.142713333
0.131,0.172,0.164,0.155766667
0.101,0.187,0.208,0.165493333
0.083,0.205,0.23,0.172603333
0.063,0.213,0.24,0.172226667
0.044,0.203,0.262,0.16999
0.033,0.18,0.292,0.16849
0.028,0.152,0.315,0.1651
0.025,0.117,0.291,0.144283333
0.023,0.077,0.266,0.12177
0.016,0.048,0.253,0.105596667
0.016,0.054,0.248,0.106
0.018,0.071,0.241,0.11012
0.021,0.097,0.24,0.119486667
0.021,0.116,0.25,0.129113333
0.02,0.114,0.26,0.131546667
0.02,0.093,0.258,0.12399
0.019,0.066,0.242,0.108983333
0.018,0.041,0.211,0.089893333
0.016,0.022,0.169,0.068893333
0.015,0.011,0.129,0.051413333
0.016,0.003,0.091,0.03657
0.017,0,0.058,0.025266667
0.02,0,0.032,0.017236667
0.023,0.001,0.018,0.014013333
0.027,0.006,0.015,0.015873333
0.031,0.017,0.014,0.02061
0.039,0.029,0.014,0.027243333
0.046,0.038,0.014,0.032476667
0.052,0.045,0.013,0.03677
0.056,0.056,0.014,0.042186667
0.059,0.071,0.017,0.04868
0.066,0.078,0.019,0.05448
0.073,0.077,0.022,0.057286667
0.067,0.059,0.017,0.047606667
0.071,0.036,0.019,0.042053333
0.125,0.036,0.033,0.064683333
0.201,0.068,0.048,0.10585
0.269,0.139,0.059,0.15547
0.321,0.208,0.075,0.20142
0.373,0.242,0.09,0.235
0.428,0.289,0.102,0.27279
0.472,0.362,0.106,0.3137
0.509,0.431,0.105,0.348213333
0.543,0.471,0.099,0.37095
0.584,0.491,0.087,0.387536667
0.601,0.519,0.089,0.4031
0.549,0.526,0.105,0.39332
0.476,0.518,0.134,0.375863333
0.418,0.527,0.176,0.373646667
0.418,0.55,0.224,0.39718
0.415,0.566,0.264,0.415223333
0.405,0.554,0.299,0.41936
0.4,0.534,0.326,0.419676667
0.399,0.511,0.335,0.415273333
0.398,0.496,0.327,0.407276667
0.377,0.476,0.299,0.383913333
0.35,0.483,0.284,0.372133333
0.354,0.523,0.325,0.40091
0.417,0.618,0.425,0.486833333
0.47,0.687,0.513,0.55681
0.503,0.722,0.579,0.601396667
0.535,0.739,0.632,0.635353333
0.563,0.742,0.677,0.6605
0.587,0.74,0.71,0.679036667
0.609,0.732,0.723,0.68799
0.626,0.707,0.711,0.68151
0.636,0.676,0.683,0.664963333
0.624,0.626,0.646,0.632073333
0.602,0.555,0.598,0.584923333
0.556,0.459,0.518,0.511033333
0.455,0.334,0.425,0.404636667
0.35,0.279,0.398,0.34213
0.305,0.246,0.397,0.31597
0.301,0.232,0.405,0.312376667
0.294,0.203,0.403,0.30029
0.269,0.163,0.388,0.273696667
0.245,0.14,0.366,0.250583333
0.216,0.113,0.347,0.22552
0.193,0.09,0.335,0.20578
0.159,0.063,0.318,0.180256667
0.136,0.048,0.316,0.16669
0.124,0.045,0.355,0.17455
0.142,0.049,0.428,0.206456667
0.148,0.057,0.48,0.22816
0.149,0.07,0.517,0.24549
0.144,0.078,0.539,0.253746667
0.138,0.084,0.557,0.259446667
0.135,0.088,0.575,0.265893333
0.134,0.09,0.592,0.271813333
0.133,0.092,0.606,0.276703333
0.132,0.088,0.612,0.27752
0.132,0.077,0.607,0.272066667
0.132,0.063,0.588,0.260923333
0.132,0.046,0.544,0.2405
0.113,0.031,0.444,0.195846667
0.113,0.023,0.386,0.17431
0.133,0.021,0.374,0.176133333
0.146,0.019,0.364,0.176113333
0.154,0.016,0.354,0.17456
0.147,0.016,0.344,0.168966667
0.141,0.019,0.327,0.16243
0.143,0.023,0.308,0.157836667
0.148,0.027,0.296,0.156926667
0.164,0.034,0.288,0.161896667
0.168,0.041,0.276,0.161863333
0.132,0.033,0.293,0.152443333
0.112,0.024,0.342,0.15929
0.139,0.026,0.359,0.174693333
0.164,0.026,0.363,0.184373333
0.165,0.02,0.354,0.17969
0.159,0.014,0.337,0.170013333
0.151,0.009,0.32,0.16001
0.137,0.005,0.302,0.14829
0.123,0.005,0.28,0.13578
0.109,0.005,0.251,0.121726667
0.096,0.008,0.215,0.106513333
0.08,0.012,0.175,0.088883333
0.068,0.015,0.123,0.068796667
0.071,0.03,0.06,0.053513333
0.105,0.078,0.034,0.07231
0.151,0.136,0.025,0.10419
0.174,0.162,0.027,0.120803333
0.182,0.152,0.03,0.121183333
0.183,0.126,0.032,0.11364
0.186,0.101,0.032,0.106473333
0.188,0.082,0.032,0.100496667
0.18,0.066,0.031,0.09261
0.158,0.066,0.031,0.084983333
0.143,0.067,0.024,0.07796
0.129,0.042,0.011,0.060633333
0.124,0.016,0.008,0.04921
0.142,0.016,0.011,0.0563
0.175,0.033,0.012,0.073546667
0.204,0.054,0.013,0.090583333
0.227,0.078,0.016,0.106973333
0.247,0.115,0.022,0.12784
0.252,0.164,0.029,0.148383333
0.249,0.202,0.035,0.16214
0.248,0.217,0.04,0.168036667
0.252,0.215,0.042,0.169796667
0.244,0.202,0.041,0.16227
0.219,0.18,0.033,0.143983333
0.173,0.152,0.026,0.11709
0.135,0.14,0.03,0.101473333
0.139,0.135,0.031,0.101796667
0.134,0.136,0.028,0.099316667
0.126,0.13,0.024,0.093476667
0.115,0.121,0.021,0.085533333
0.111,0.119,0.02,0.08342
0.107,0.118,0.022,0.082253333
0.1,0.117,0.026,0.080753333
0.084,0.104,0.028,0.071916667
0.072,0.085,0.024,0.060203333
0.062,0.069,0.018,0.049733333
0.075,0.08,0.026,0.06009
0.106,0.104,0.04,0.083406667
0.131,0.137,0.056,0.10807
0.145,0.181,0.074,0.133453333
0.157,0.241,0.097,0.16501
0.172,0.29,0.121,0.194173333
0.192,0.301,0.143,0.212023333
0.209,0.304,0.158,0.22336
0.221,0.319,0.162,0.234233333
0.229,0.344,0.152,0.241873333
0.217,0.36,0.126,0.234253333
0.192,0.327,0.09,0.203053333
0.152,0.282,0.064,0.166286667
0.125,0.258,0.056,0.14644
0.114,0.242,0.057,0.1376
0.119,0.243,0.065,0.142106667
0.123,0.232,0.073,0.142846667
0.134,0.214,0.08,0.142743333
0.142,0.204,0.082,0.14262
0.151,0.188,0.081,0.139733333
0.155,0.174,0.077,0.135483333
0.152,0.161,0.066,0.12637
0.145,0.149,0.052,0.115196667
0.133,0.145,0.046,0.107906667
0.156,0.16,0.053,0.122513333
0.191,0.2,0.069,0.153376667
0.203,0.266,0.092,0.186966667
0.214,0.329,0.117,0.219713333
0.221,0.373,0.146,0.24684
0.248,0.399,0.171,0.272616667
0.281,0.408,0.183,0.290343333
0.314,0.384,0.183,0.29362
0.347,0.35,0.169,0.28867
0.36,0.356,0.143,0.286316667
0.35,0.361,0.113,0.27444
0.314,0.356,0.083,0.250873333
0.243,0.355,0.071,0.223193333
0.201,0.373,0.071,0.21529
0.194,0.385,0.073,0.21729
0.194,0.391,0.073,0.219516667
0.194,0.396,0.074,0.221503333
0.196,0.401,0.077,0.224673333
0.193,0.392,0.081,0.22216
0.19,0.372,0.083,0.21506
0.178,0.34,0.086,0.2014
0.161,0.301,0.088,0.183543333
0.14,0.245,0.084,0.156576667
0.113,0.183,0.077,0.124466667
0.114,0.144,0.082,0.11354
0.132,0.142,0.091,0.121483333
0.151,0.164,0.101,0.13872
0.153,0.183,0.117,0.15088
0.148,0.197,0.142,0.162366667
0.155,0.222,0.172,0.182703333
0.166,0.252,0.199,0.20583
0.177,0.275,0.221,0.224213333
0.182,0.272,0.229,0.227376667
0.191,0.254,0.201,0.21526
0.193,0.222,0.16,0.191553333
0.177,0.161,0.115,0.15078
0.134,0.087,0.08,0.100486667
0.103,0.046,0.064,0.071243333
0.096,0.037,0.055,0.06291
0.092,0.033,0.051,0.058743333
0.083,0.031,0.048,0.053996667
0.071,0.029,0.047,0.04933
0.064,0.028,0.047,0.04677
0.058,0.029,0.048,0.045296667
0.054,0.029,0.047,0.043186667
0.049,0.027,0.039,0.03813
0.044,0.028,0.029,0.033953333
0.035,0.031,0.028,0.031266667
0.032,0.042,0.032,0.03521
0.042,0.061,0.034,0.045813333
0.05,0.091,0.037,0.05926
0.044,0.12,0.037,0.06713
0.037,0.138,0.036,0.070446667
0.033,0.142,0.037,0.070643333
0.027,0.137,0.039,0.067523333
0.025,0.114,0.037,0.058573333
0.022,0.087,0.033,0.04758
0.024,0.07,0.027,0.040273333
0.023,0.056,0.019,0.032963333
0.021,0.037,0.01,0.022676667
0.023,0.019,0.005,0.01585
0.044,0.01,0.006,0.020096667
0.064,0.006,0.007,0.02566
0.068,0.002,0.008,0.026346667
0.062,0.001,0.011,0.02484
0.057,0.001,0.014,0.02413
0.058,0.002,0.017,0.025536667
0.059,0.004,0.019,0.02727
0.061,0.008,0.018,0.029136667
0.06,0.015,0.014,0.029696667
0.06,0.018,0.009,0.029156667
0.044,0.015,0.006,0.02195
0.029,0.016,0.006,0.01677
0.035,0.016,0.005,0.018623333
0.049,0.014,0.005,0.02255
0.06,0.013,0.005,0.025986667
0.07,0.012,0.006,0.029393333
0.08,0.012,0.007,0.032806667
0.09,0.011,0.007,0.03594
0.102,0.011,0.007,0.039873333
0.113,0.013,0.005,0.043826667
0.126,0.015,0.004,0.048623333
0.142,0.022,0.004,0.055746667
0.162,0.04,0.005,0.069036667
0.192,0.09,0.012,0.098333333
0.242,0.182,0.03,0.150973333
0.279,0.271,0.041,0.197153333
0.301,0.342,0.046,0.229496667
0.317,0.408,0.054,0.25956
0.345,0.466,0.063,0.29164
0.371,0.501,0.078,0.316976667
0.381,0.517,0.093,0.330543333
0.36,0.547,0.107,0.33793
0.298,0.554,0.117,0.32338
0.231,0.56,0.119,0.30315
0.171,0.523,0.11,0.26782
0.151,0.509,0.117,0.25898
0.147,0.515,0.141,0.267696667
0.146,0.489,0.174,0.269473333
0.158,0.441,0.206,0.268506667
0.179,0.404,0.233,0.27205
0.202,0.388,0.252,0.280723333
0.225,0.384,0.268,0.292223333
0.238,0.374,0.263,0.29174
0.243,0.348,0.254,0.281516667
0.247,0.312,0.238,0.265553333
0.239,0.272,0.202,0.237706667
0.212,0.205,0.146,0.187873333
0.162,0.162,0.109,0.144226667
0.125,0.154,0.093,0.12399
0.106,0.159,0.083,0.11587
0.088,0.175,0.072,0.111516667
0.072,0.177,0.07,0.106273333
0.055,0.152,0.078,0.09496
0.041,0.121,0.088,0.08351
0.029,0.087,0.095,0.070616667
0.021,0.065,0.099,0.06171
0.016,0.047,0.097,0.05304
0.013,0.034,0.085,0.043696667
0.008,0.026,0.076,0.0368
0.009,0.026,0.092,0.0421
0.013,0.031,0.125,0.05615
