1,2,3,4
0.688,0.785,0.658,0.710266667
0.691,0.785,0.69,0.721963333
0.687,0.785,0.726,0.732816667
0.675,0.784,0.766,0.741963333
0.646,0.78,0.793,0.739393333
0.624,0.767,0.809,0.733456667
0.597,0.759,0.821,0.725893333
0.56,0.752,0.816,0.709176667
0.505,0.716,0.797,0.67249
0.502,0.71,0.77,0.660673333
0.535,0.725,0.734,0.664796667
0.58,0.737,0.709,0.675366667
0.626,0.744,0.682,0.684203333
0.648,0.752,0.648,0.682303333
0.633,0.732,0.588,0.650893333
0.577,0.648,0.544,0.589393333
0.571,0.588,0.53,0.563113333
0.623,0.602,0.51,0.578426667
0.67,0.63,0.483,0.594473333
0.715,0.667,0.461,0.614143333
0.746,0.708,0.44,0.6316
0.764,0.748,0.439,0.65019
0.767,0.77,0.458,0.665153333
0.756,0.783,0.494,0.67772
0.751,0.789,0.532,0.690416667
0.74,0.779,0.584,0.701036667
0.721,0.745,0.636,0.70085
0.689,0.66,0.668,0.672406667
0.649,0.543,0.685,0.625853333
0.623,0.448,0.709,0.5932
0.597,0.403,0.717,0.572323333
0.581,0.372,0.721,0.558013333
0.595,0.383,0.742,0.573273333
0.656,0.491,0.782,0.642953333
0.726,0.595,0.786,0.702273333
0.758,0.694,0.782,0.744653333
0.761,0.741,0.779,0.760056667
0.75,0.757,0.751,0.752463333
0.731,0.762,0.676,0.722943333
0.676,0.734,0.598,0.669046667
0.577,0.705,0.598,0.626693333
0.517,0.69,0.62,0.609146667
0.468,0.671,0.651,0.59655
0.413,0.643,0.693,0.58308
0.356,0.6,0.734,0.563446667
0.336,0.574,0.77,0.559816667
0.332,0.549,0.788,0.55659
0.325,0.533,0.79,0.549146667
0.315,0.531,0.774,0.539763333
0.303,0.532,0.748,0.527413333
0.29,0.522,0.715,0.508696667
0.276,0.484,0.675,0.478263333
0.274,0.455,0.644,0.45752
0.288,0.448,0.616,0.45091
0.321,0.473,0.588,0.460406667
0.338,0.503,0.546,0.46236
0.36,0.56,0.547,0.48889
0.441,0.648,0.602,0.56365
0.503,0.725,0.62,0.61593
0.518,0.765,0.591,0.624616667
0.524,0.758,0.541,0.607686667
0.518,0.72,0.483,0.573396667
0.491,0.651,0.421,0.520896667
0.45,0.583,0.372,0.46816
0.398,0.496,0.383,0.42584
0.371,0.44,0.41,0.407056667
0.342,0.403,0.428,0.3912
0.312,0.387,0.444,0.381006667
0.285,0.377,0.45,0.370503333
0.279,0.387,0.465,0.37721
0.294,0.392,0.462,0.38265
0.301,0.391,0.447,0.37967
0.308,0.385,0.417,0.369953333
0.305,0.366,0.389,0.353586667
0.3,0.336,0.359,0.33169
0.288,0.3,0.347,0.311553333
0.285,0.282,0.351,0.306113333
0.29,0.277,0.364,0.31057
0.286,0.269,0.365,0.306976667
0.259,0.23,0.351,0.279886667
0.255,0.206,0.376,0.278936667
0.321,0.256,0.443,0.339886667
0.367,0.317,0.496,0.393243333
0.373,0.346,0.521,0.413243333
0.367,0.348,0.526,0.41386
0.368,0.352,0.502,0.40743
0.374,0.356,0.458,0.396326667
0.365,0.332,0.42,0.372703333
0.329,0.29,0.408,0.342006667
0.336,0.291,0.41,0.3458
0.359,0.291,0.406,0.35179
0.369,0.284,0.395,0.349246667
0.361,0.266,0.385,0.337456667
0.352,0.248,0.385,0.3281
0.337,0.229,0.38,0.315293333
0.319,0.205,0.369,0.297203333
0.304,0.169,0.356,0.27626
0.288,0.133,0.336,0.252553333
0.273,0.102,0.312,0.228993333
0.247,0.061,0.27,0.192813333
0.218,0.027,0.234,0.159486667
0.191,0.017,0.203,0.137073333
0.171,0.017,0.172,0.12005
0.152,0.021,0.143,0.105353333
0.148,0.023,0.146,0.10576
0.16,0.03,0.16,0.116456667
0.177,0.038,0.184,0.13301
0.188,0.048,0.205,0.14693
0.193,0.055,0.207,0.151616667
0.192,0.057,0.189,0.145953333
0.187,0.052,0.155,0.13143
0.179,0.038,0.111,0.109436667
0.16,0.021,0.085,0.088526667
0.158,0.018,0.08,0.085466667
0.161,0.021,0.076,0.08609
0.16,0.027,0.076,0.08752
0.157,0.032,0.079,0.08941
0.154,0.038,0.086,0.09267
0.153,0.041,0.093,0.09574
0.156,0.044,0.098,0.09905
0.153,0.043,0.096,0.097193333
0.147,0.038,0.089,0.09136
0.14,0.037,0.087,0.08817
0.136,0.047,0.092,0.091453333
0.131,0.06,0.105,0.09887
0.125,0.072,0.124,0.106963333
0.122,0.076,0.136,0.111313333
0.107,0.067,0.131,0.101716667
0.094,0.058,0.131,0.093906667
0.097,0.062,0.156,0.105113333
0.115,0.076,0.178,0.12297
0.123,0.088,0.178,0.12963
0.123,0.091,0.166,0.12664
0.111,0.078,0.146,0.111693333
0.093,0.065,0.117,0.09206
0.069,0.054,0.082,0.06845
0.053,0.049,0.069,0.057163333
0.066,0.066,0.075,0.069123333
0.106,0.101,0.089,0.09866
0.145,0.127,0.105,0.125453333
0.167,0.144,0.122,0.14446
0.174,0.165,0.144,0.161043333
0.181,0.19,0.172,0.180746667
0.17,0.214,0.194,0.192576667
0.158,0.235,0.211,0.201413333
0.147,0.251,0.231,0.210013333
0.133,0.267,0.247,0.21589
0.138,0.3,0.261,0.23291
0.159,0.341,0.278,0.259673333
0.18,0.373,0.299,0.28396
0.196,0.385,0.307,0.29588
0.179,0.368,0.284,0.27709
0.126,0.338,0.287,0.250173333
0.093,0.29,0.324,0.23568
0.079,0.249,0.335,0.221143333
0.072,0.229,0.338,0.212906667
0.068,0.227,0.337,0.210453333
0.066,0.23,0.334,0.210133333
0.064,0.234,0.332,0.21
0.065,0.261,0.334,0.219913333
0.074,0.296,0.359,0.242863333
0.088,0.326,0.386,0.266606667
0.099,0.339,0.401,0.279903333
0.102,0.345,0.408,0.285203333
0.103,0.343,0.409,0.28496
0.104,0.328,0.41,0.280713333
0.099,0.316,0.4,0.27174
0.097,0.306,0.381,0.261383333
0.098,0.297,0.36,0.25147
0.095,0.292,0.344,0.243886667
0.093,0.293,0.333,0.239773333
0.086,0.283,0.315,0.228143333
0.077,0.266,0.303,0.21509
0.067,0.243,0.298,0.203
0.057,0.221,0.282,0.18678
0.041,0.171,0.228,0.14694
0.019,0.117,0.189,0.108243333
0.014,0.107,0.195,0.10547
0.019,0.132,0.219,0.123356667
0.025,0.154,0.242,0.140553333
0.032,0.161,0.249,0.147313333
0.039,0.151,0.237,0.142406667
0.046,0.143,0.211,0.133173333
0.05,0.146,0.185,0.1272
0.051,0.163,0.183,0.132096667
0.058,0.189,0.187,0.144563333
0.07,0.185,0.191,0.148953333
0.093,0.194,0.187,0.158043333
0.102,0.192,0.174,0.155963333
0.107,0.169,0.174,0.14988
0.119,0.127,0.175,0.139956667
0.118,0.101,0.173,0.13076
0.113,0.08,0.17,0.120816667
0.113,0.056,0.163,0.110783333
0.101,0.039,0.141,0.093783333
0.082,0.031,0.098,0.070493333
0.065,0.025,0.066,0.051823333
0.051,0.016,0.044,0.03675
0.04,0.006,0.028,0.024576667
0.027,0.002,0.015,0.014673333
0.02,0.002,0.009,0.01022
0.024,0.002,0.008,0.011383333
0.03,0.003,0.005,0.012806667
0.033,0.008,0.002,0.014186667
0.035,0.017,0.001,0.01785
0.038,0.028,0.004,0.023226667
0.039,0.041,0.009,0.029816667
0.03,0.058,0.01,0.032646667
0.023,0.069,0.012,0.034676667
0.025,0.086,0.028,0.046353333
0.035,0.103,0.055,0.06433
