1,2,3,4
0.163,0.009,0.089,0.08688
0.185,0.015,0.09,0.096836667
0.208,0.027,0.086,0.107093333
0.229,0.044,0.073,0.115403333
0.239,0.069,0.057,0.121493333
0.241,0.093,0.038,0.123936667
0.23,0.088,0.029,0.11561
0.237,0.095,0.031,0.121323333
0.278,0.103,0.037,0.139123333
0.303,0.107,0.043,0.15101
0.297,0.087,0.049,0.14445
0.277,0.062,0.054,0.130993333
0.266,0.057,0.057,0.126613333
0.268,0.052,0.058,0.125916667
0.268,0.053,0.054,0.125193333
0.264,0.064,0.044,0.123943333
0.253,0.076,0.033,0.120656667
0.223,0.086,0.024,0.110803333
0.2,0.105,0.021,0.108736667
0.19,0.138,0.023,0.11721
0.172,0.15,0.022,0.11478
0.158,0.143,0.02,0.10683
0.152,0.126,0.016,0.09815
0.143,0.107,0.013,0.08781
0.127,0.082,0.01,0.07309
0.11,0.055,0.009,0.057883333
0.101,0.043,0.009,0.050823333
0.076,0.042,0.008,0.042033333
0.052,0.038,0.008,0.032626667
0.033,0.029,0.008,0.02316
0.022,0.017,0.006,0.015133333
0.025,0.015,0.007,0.015506667
0.039,0.01,0.007,0.01825
0.055,0.005,0.007,0.02247
0.074,0.005,0.01,0.029713333
0.097,0.005,0.013,0.038573333
0.121,0.006,0.014,0.047203333
0.135,0.009,0.013,0.05241
0.156,0.012,0.012,0.059933333
0.179,0.019,0.01,0.069323333
0.2,0.029,0.006,0.078346667
0.22,0.037,0.004,0.087023333
0.238,0.06,0.008,0.10213
0.254,0.1,0.018,0.12396
0.263,0.137,0.025,0.141653333
0.272,0.155,0.032,0.152803333
0.282,0.155,0.04,0.159156667
0.292,0.145,0.052,0.16273
0.298,0.145,0.063,0.168513333
0.303,0.149,0.077,0.176456667
0.31,0.151,0.095,0.185116667
0.322,0.162,0.11,0.19807
0.334,0.171,0.125,0.21005
0.34,0.168,0.116,0.20798
0.34,0.164,0.107,0.20354
0.342,0.164,0.157,0.221226667
0.352,0.189,0.224,0.255096667
0.366,0.224,0.267,0.28541
0.417,0.275,0.307,0.332856667
0.465,0.345,0.336,0.382123333
0.5,0.395,0.35,0.4151
0.515,0.424,0.342,0.426836667
0.503,0.442,0.314,0.419713333
0.471,0.44,0.289,0.400253333
0.42,0.408,0.28,0.369403333
0.361,0.376,0.298,0.34513
0.332,0.374,0.321,0.34212
0.327,0.364,0.34,0.344083333
0.323,0.344,0.351,0.339526667
0.332,0.337,0.369,0.34589
0.327,0.339,0.385,0.350366667
0.296,0.35,0.387,0.3443
0.255,0.36,0.387,0.333746667
0.219,0.365,0.364,0.31569
0.186,0.361,0.335,0.293973333
0.143,0.329,0.298,0.256513333
0.106,0.296,0.263,0.22159
0.078,0.254,0.224,0.185156667
0.058,0.21,0.206,0.158166667
0.072,0.207,0.22,0.166453333
0.096,0.21,0.247,0.184136667
0.123,0.171,0.265,0.18623
0.166,0.141,0.26,0.18905
0.196,0.113,0.236,0.181626667
0.222,0.087,0.194,0.167756667
0.252,0.07,0.143,0.154893333
0.287,0.055,0.091,0.14432
0.317,0.051,0.044,0.137286667
0.335,0.064,0.013,0.137363333
0.387,0.096,0.006,0.163073333
0.463,0.19,0.017,0.22318
0.525,0.326,0.046,0.299276667
0.563,0.459,0.099,0.37343
0.586,0.557,0.189,0.443766667
0.599,0.596,0.295,0.496886667
0.616,0.587,0.385,0.529293333
0.628,0.57,0.461,0.553023333
0.658,0.533,0.516,0.568986667
0.702,0.543,0.555,0.600173333
0.707,0.628,0.565,0.633493333
0.706,0.649,0.557,0.637263333
0.71,0.678,0.534,0.64086
0.706,0.712,0.505,0.641023333
0.71,0.728,0.481,0.63991
0.738,0.75,0.484,0.657573333
0.758,0.785,0.52,0.687456667
0.751,0.793,0.568,0.70397
0.734,0.791,0.598,0.707766667
0.716,0.789,0.605,0.70337
0.687,0.785,0.581,0.684266667
0.659,0.769,0.548,0.658983333
0.625,0.72,0.536,0.627156667
0.581,0.604,0.509,0.565076667
0.496,0.416,0.447,0.452703333
0.465,0.348,0.393,0.402046667
0.489,0.406,0.344,0.413043333
0.493,0.473,0.295,0.420136667
0.512,0.529,0.262,0.434236667
0.527,0.56,0.229,0.438466667
0.53,0.568,0.198,0.43206
0.523,0.562,0.176,0.4207
0.514,0.545,0.166,0.40848
0.507,0.519,0.165,0.39704
0.502,0.499,0.162,0.38746
0.505,0.502,0.164,0.390093333
0.5,0.506,0.147,0.384626667
0.493,0.541,0.149,0.394283333
0.56,0.669,0.235,0.48832
0.631,0.737,0.327,0.564923333
0.658,0.762,0.397,0.605566667
0.676,0.772,0.452,0.633563333
0.695,0.778,0.485,0.652463333
0.704,0.779,0.504,0.66223
0.704,0.777,0.51,0.663703333
0.69,0.767,0.502,0.653013333
0.664,0.76,0.464,0.629126667
0.618,0.741,0.375,0.578136667
0.52,0.67,0.321,0.503496667
0.438,0.647,0.331,0.472223333
0.412,0.653,0.352,0.472033333
0.386,0.652,0.375,0.47109
0.363,0.66,0.414,0.47902
0.341,0.652,0.449,0.48068
0.312,0.631,0.468,0.47057
0.283,0.605,0.475,0.454696667
0.253,0.581,0.475,0.436416667
0.22,0.548,0.474,0.413926667
0.18,0.479,0.461,0.373406667
0.15,0.414,0.438,0.333836667
0.116,0.364,0.401,0.293553333
0.091,0.346,0.428,0.288193333
0.098,0.34,0.506,0.314896667
0.093,0.301,0.51,0.30112
0.073,0.234,0.467,0.257983333
0.061,0.179,0.417,0.219023333
0.049,0.165,0.367,0.193636667
0.041,0.162,0.309,0.170693333
0.036,0.157,0.249,0.14747
0.027,0.137,0.198,0.120516667
0.019,0.102,0.159,0.093326667
0.015,0.056,0.117,0.06264
0.017,0.018,0.061,0.032016667
0.02,0.008,0.032,0.019803333
0.023,0.006,0.018,0.015476667
0.031,0.004,0.01,0.01511
0.043,0.002,0.006,0.017176667
0.059,0.001,0.005,0.021973333
0.075,0.002,0.006,0.027716667
0.086,0.004,0.007,0.032276667
0.091,0.005,0.008,0.03473
0.093,0.006,0.008,0.035953333
0.093,0.008,0.008,0.036386667
0.093,0.012,0.008,0.037476667
0.085,0.016,0.005,0.035156667
0.057,0.008,0.003,0.02247
0.035,0.003,0.004,0.014116667
0.036,0.003,0.004,0.014113333
0.049,0.001,0.002,0.01752
0.089,0.001,0.001,0.030513333
0.132,0.001,0.001,0.044683333
0.174,0.001,0.001,0.058613333
0.213,0.001,0.002,0.071873333
0.237,0.002,0.003,0.080673333
0.241,0.005,0.004,0.083306667
0.231,0.008,0.008,0.08229
0.192,0.008,0.022,0.07371
0.172,0.013,0.053,0.079166667
0.193,0.035,0.08,0.102706667
0.231,0.08,0.089,0.13327
0.278,0.162,0.091,0.177006667
0.33,0.261,0.092,0.227696667
0.365,0.35,0.096,0.270473333
0.385,0.424,0.104,0.304143333
0.396,0.488,0.112,0.33192
0.401,0.534,0.119,0.351546667
0.392,0.543,0.124,0.352936667
0.383,0.532,0.133,0.349143333
0.364,0.519,0.133,0.338683333
0.358,0.541,0.146,0.348603333
0.405,0.594,0.199,0.399153333
0.441,0.644,0.261,0.44869
0.458,0.66,0.316,0.477923333
0.471,0.66,0.363,0.49781
0.485,0.678,0.41,0.524216667
0.489,0.703,0.447,0.546656667
0.503,0.715,0.468,0.561796667
0.507,0.71,0.458,0.558083333
0.505,0.699,0.405,0.53655
0.459,0.664,0.335,0.48617
0.357,0.566,0.268,0.39705
0.281,0.466,0.261,0.335916667
0.251,0.384,0.283,0.306073333
0.229,0.31,0.313,0.28391
0.193,0.228,0.345,0.255333333
0.157,0.153,0.376,0.228623333
0.124,0.091,0.403,0.205686667
0.096,0.056,0.414,0.188683333
0.073,0.038,0.415,0.175376667
0.061,0.027,0.405,0.164303333
0.054,0.021,0.397,0.15721
0.057,0.016,0.386,0.152976667
0.053,0.011,0.371,0.144976667
0.035,0.007,0.393,0.145376667
0.038,0.007,0.418,0.153946667
0.043,0.007,0.414,0.154353333
0.044,0.007,0.392,0.147583333
0.049,0.009,0.352,0.136613333
0.048,0.013,0.306,0.122403333
0.05,0.018,0.262,0.110066667
0.055,0.027,0.217,0.099373333
0.058,0.035,0.169,0.087296667
0.056,0.034,0.128,0.072473333
0.048,0.029,0.088,0.054896667
0.033,0.019,0.04,0.030716667
0.033,0.013,0.022,0.02259
0.042,0.021,0.021,0.027766667
0.053,0.037,0.034,0.04128
0.07,0.07,0.057,0.06557
0.096,0.111,0.084,0.096946667
0.117,0.149,0.106,0.123943333
0.13,0.178,0.123,0.14385
0.13,0.188,0.138,0.151906667
0.12,0.175,0.149,0.14808
0.1,0.156,0.154,0.136673333
0.081,0.143,0.148,0.124383333
0.064,0.13,0.121,0.104963333
0.037,0.105,0.102,0.081676667
0.021,0.088,0.115,0.074703333
0.022,0.089,0.141,0.083816667
0.033,0.112,0.156,0.10042
0.042,0.123,0.171,0.11196
0.049,0.129,0.188,0.122116667
0.055,0.134,0.2,0.12962
0.06,0.141,0.204,0.13533
0.063,0.147,0.198,0.13616
0.057,0.147,0.18,0.128163333
