1,2,3,4
0.307,0.278,0.069,0.21782
0.302,0.254,0.064,0.206556667
0.311,0.238,0.063,0.20398
0.307,0.222,0.061,0.19668
0.307,0.212,0.062,0.19353
0.311,0.222,0.064,0.199326667
0.31,0.224,0.058,0.197206667
0.263,0.184,0.042,0.162973333
0.283,0.191,0.056,0.176866667
0.358,0.318,0.075,0.2503
0.401,0.414,0.078,0.29791
0.406,0.447,0.081,0.31129
0.412,0.475,0.083,0.323516667
0.428,0.49,0.082,0.332973333
0.446,0.473,0.075,0.331393333
0.453,0.414,0.059,0.308363333
0.393,0.326,0.043,0.254036667
0.363,0.314,0.05,0.242386667
0.375,0.302,0.05,0.24229
0.354,0.255,0.044,0.217343333
0.316,0.205,0.035,0.18558
0.305,0.17,0.033,0.169386667
0.291,0.135,0.032,0.152533333
0.27,0.108,0.03,0.136103333
0.251,0.097,0.029,0.125506667
0.24,0.09,0.028,0.11924
0.23,0.089,0.026,0.114793333
0.206,0.077,0.023,0.10195
0.185,0.064,0.021,0.090086667
0.173,0.057,0.021,0.08374
0.16,0.053,0.017,0.077026667
0.112,0.031,0.01,0.050993333
0.086,0.017,0.011,0.037653333
0.092,0.024,0.017,0.044256667
0.097,0.034,0.018,0.049916667
0.083,0.029,0.018,0.043713333
0.066,0.026,0.019,0.036806667
0.055,0.027,0.02,0.033746667
0.049,0.033,0.023,0.03464
0.046,0.037,0.024,0.03556
0.04,0.044,0.034,0.03947
0.045,0.069,0.057,0.05685
0.048,0.086,0.069,0.06745
0.043,0.083,0.071,0.065643333
0.032,0.069,0.066,0.055616667
0.025,0.054,0.06,0.046163333
0.021,0.039,0.057,0.038506667
0.02,0.023,0.054,0.0325
0.023,0.013,0.052,0.029396667
0.028,0.007,0.049,0.02815
0.035,0.004,0.045,0.02814
0.042,0.004,0.04,0.028713333
0.048,0.007,0.038,0.030766667
0.056,0.013,0.036,0.034826667
0.059,0.021,0.034,0.03788
0.051,0.017,0.022,0.029793333
0.05,0.011,0.021,0.02754
0.073,0.018,0.03,0.04053
0.089,0.024,0.037,0.05008
0.08,0.027,0.039,0.048666667
0.071,0.026,0.035,0.043923333
0.068,0.022,0.029,0.03951
0.066,0.017,0.023,0.03545
0.076,0.011,0.015,0.033883333
0.075,0.003,0.014,0.030613333
0.072,0.002,0.015,0.029503333
0.076,0.001,0.012,0.02977
0.071,0.001,0.01,0.027096667
0.065,0.001,0.01,0.025186667
0.05,0.003,0.014,0.02203
0.039,0.005,0.02,0.021243333
0.034,0.009,0.026,0.02301
0.031,0.014,0.03,0.025233333
0.03,0.026,0.033,0.029486667
0.033,0.04,0.036,0.036073333
0.036,0.05,0.037,0.040776667
0.043,0.05,0.039,0.043943333
0.053,0.042,0.041,0.045296667
0.066,0.034,0.035,0.044926667
0.063,0.021,0.016,0.03356
0.074,0.014,0.012,0.03358
0.115,0.013,0.02,0.049653333
0.163,0.018,0.025,0.068723333
0.196,0.021,0.03,0.08239
0.222,0.021,0.036,0.092813333
0.234,0.018,0.04,0.09725
0.237,0.016,0.037,0.096606667
0.226,0.014,0.028,0.08936
0.215,0.005,0.018,0.079456667
0.219,0.001,0.014,0.07817
0.225,0.001,0.012,0.079166667
0.226,0.005,0.01,0.0804
0.239,0.025,0.01,0.090926667
0.251,0.062,0.01,0.107416667
0.257,0.107,0.011,0.124993333
0.252,0.145,0.014,0.136873333
0.25,0.166,0.018,0.144556667
0.248,0.184,0.024,0.152026667
0.248,0.203,0.03,0.1601
0.242,0.216,0.032,0.163363333
0.241,0.223,0.031,0.164833333
0.251,0.227,0.029,0.169126667
0.253,0.23,0.024,0.169303333
0.236,0.206,0.022,0.154503333
0.221,0.178,0.029,0.142606667
0.209,0.17,0.057,0.145276667
0.194,0.152,0.082,0.142756667
0.186,0.119,0.092,0.13212
0.186,0.082,0.088,0.118713333
0.188,0.061,0.077,0.10853
0.187,0.059,0.065,0.103556667
0.185,0.071,0.061,0.105716667
0.198,0.104,0.093,0.131616667
0.225,0.147,0.15,0.174056667
0.247,0.164,0.197,0.20294
0.258,0.155,0.227,0.213403333
0.269,0.127,0.245,0.213746667
0.281,0.101,0.27,0.217236667
0.291,0.079,0.289,0.219606667
0.305,0.063,0.3,0.222876667
0.3,0.068,0.308,0.225233333
0.275,0.097,0.318,0.22991
0.249,0.114,0.33,0.23107
0.234,0.106,0.328,0.22252
0.23,0.074,0.319,0.20779
0.241,0.043,0.311,0.19844
0.259,0.025,0.305,0.196356667
0.278,0.021,0.304,0.20112
0.3,0.035,0.309,0.214673333
0.335,0.082,0.318,0.24499
0.372,0.137,0.325,0.278126667
0.409,0.155,0.321,0.29491
0.448,0.159,0.299,0.302
0.497,0.167,0.262,0.308813333
0.531,0.197,0.232,0.320206667
0.541,0.226,0.221,0.329273333
0.546,0.258,0.235,0.346363333
0.571,0.316,0.255,0.38085
0.592,0.38,0.261,0.410826667
0.612,0.426,0.257,0.43181
0.63,0.444,0.25,0.441463333
0.636,0.459,0.252,0.449316667
0.634,0.47,0.249,0.45121
0.625,0.477,0.242,0.448
0.612,0.488,0.236,0.445403333
0.594,0.498,0.233,0.44154
0.566,0.507,0.233,0.43534
0.535,0.491,0.224,0.41651
