1,2,3,4
0.09,0.076,0.143,0.10297
0.099,0.066,0.142,0.102163333
0.115,0.066,0.14,0.10696
0.124,0.071,0.133,0.10944
0.134,0.081,0.127,0.113643333
0.149,0.092,0.119,0.120063333
0.164,0.103,0.126,0.13078
0.185,0.119,0.142,0.148456667
0.208,0.15,0.152,0.16988
0.21,0.155,0.163,0.175983333
0.203,0.152,0.177,0.17749
0.196,0.154,0.19,0.17974
0.183,0.16,0.203,0.18194
0.17,0.158,0.221,0.182716667
0.147,0.143,0.237,0.17567
0.127,0.118,0.242,0.162203333
0.111,0.083,0.239,0.144343333
0.083,0.045,0.234,0.120376667
0.063,0.027,0.23,0.106613333
0.064,0.017,0.238,0.10633
0.061,0.011,0.244,0.105
0.059,0.009,0.246,0.104716667
0.057,0.006,0.241,0.101273333
0.054,0.003,0.232,0.096623333
0.051,0.004,0.223,0.092423333
0.045,0.004,0.215,0.08794
0.043,0.003,0.209,0.085056667
0.039,0.004,0.197,0.079623333
0.034,0.006,0.195,0.078136667
0.03,0.01,0.192,0.077316667
0.023,0.011,0.191,0.075096667
0.031,0.011,0.224,0.088763333
0.041,0.02,0.254,0.105226667
0.039,0.027,0.257,0.107743333
0.034,0.03,0.248,0.103866667
0.034,0.031,0.233,0.099516667
0.034,0.027,0.213,0.09132
0.033,0.024,0.189,0.081676667
0.033,0.02,0.16,0.070903333
0.037,0.014,0.132,0.06101
0.044,0.01,0.1,0.051006667
0.04,0.006,0.073,0.039906667
0.045,0.004,0.064,0.037713333
0.057,0.002,0.06,0.04005
0.059,0.001,0.057,0.039023333
0.052,0,0.057,0.036336667
0.047,0,0.058,0.034913333
0.043,0,0.057,0.033233333
0.039,0,0.056,0.031886667
0.037,0.001,0.055,0.030893333
0.036,0.003,0.053,0.030753333
0.034,0.008,0.05,0.03048
0.034,0.015,0.047,0.0318
0.037,0.025,0.046,0.035776667
0.031,0.031,0.044,0.035443333
0.033,0.038,0.056,0.04244
0.038,0.061,0.07,0.056233333
0.041,0.077,0.074,0.063893333
0.043,0.085,0.071,0.066226667
0.047,0.088,0.067,0.067436667
0.055,0.093,0.06,0.069056667
0.066,0.095,0.053,0.071523333
0.078,0.095,0.046,0.072976667
0.093,0.089,0.044,0.075156667
0.101,0.071,0.038,0.069966667
0.086,0.043,0.031,0.0531
0.074,0.03,0.032,0.045523333
0.073,0.024,0.038,0.04519
0.066,0.024,0.048,0.045743333
0.059,0.033,0.057,0.04936
0.058,0.047,0.064,0.05635
0.058,0.063,0.074,0.065086667
0.06,0.082,0.086,0.075853333
0.062,0.097,0.097,0.08525
0.064,0.107,0.11,0.093833333
0.057,0.107,0.118,0.094036667
0.049,0.111,0.128,0.09618
0.041,0.116,0.137,0.097796667
0.026,0.105,0.139,0.089956667
0.021,0.116,0.171,0.102676667
0.031,0.15,0.212,0.130973333
0.035,0.178,0.239,0.15053
0.037,0.194,0.26,0.163493333
0.043,0.212,0.276,0.176946667
0.049,0.231,0.287,0.188963333
0.061,0.24,0.292,0.19777
0.073,0.244,0.293,0.20301
0.077,0.252,0.294,0.20767
0.08,0.245,0.272,0.199076667
0.071,0.206,0.25,0.175833333
0.069,0.196,0.261,0.175283333
0.077,0.206,0.272,0.18516
0.076,0.213,0.283,0.1905
0.075,0.207,0.289,0.190456667
0.074,0.188,0.295,0.185433333
0.072,0.161,0.31,0.18095
0.07,0.134,0.333,0.178973333
0.068,0.11,0.352,0.17646
0.065,0.088,0.358,0.17032
0.058,0.076,0.351,0.161856667
0.052,0.075,0.349,0.158953333
0.048,0.08,0.347,0.15868
0.038,0.083,0.355,0.15845
0.049,0.096,0.416,0.187166667
0.079,0.131,0.478,0.229056667
0.09,0.149,0.526,0.254976667
0.099,0.171,0.57,0.279843333
0.116,0.204,0.594,0.304726667
0.138,0.239,0.606,0.328073333
0.161,0.285,0.599,0.348533333
0.181,0.317,0.578,0.358806667
0.197,0.339,0.55,0.362103333
0.201,0.337,0.496,0.344426667
0.165,0.311,0.467,0.314496667
0.143,0.296,0.47,0.303336667
0.143,0.281,0.479,0.301146667
0.134,0.266,0.489,0.29638
0.124,0.253,0.499,0.29183
0.118,0.245,0.506,0.28947
0.11,0.238,0.516,0.28798
0.104,0.243,0.534,0.29397
0.102,0.251,0.555,0.302633333
0.104,0.255,0.571,0.309803333
0.102,0.25,0.583,0.31169
0.108,0.242,0.597,0.31538
0.112,0.232,0.604,0.315853333
0.098,0.207,0.603,0.302526667
0.115,0.201,0.612,0.309416667
0.15,0.221,0.642,0.337873333
0.133,0.208,0.658,0.332683333
0.113,0.197,0.657,0.32213
0.102,0.19,0.653,0.315343333
0.1,0.185,0.645,0.310136667
0.101,0.184,0.633,0.30589
0.107,0.184,0.602,0.297876667
0.123,0.177,0.554,0.284486667
0.14,0.148,0.492,0.259863333
0.129,0.099,0.441,0.22316
0.128,0.07,0.408,0.201946667
0.145,0.058,0.375,0.192653333
0.139,0.049,0.342,0.176593333
0.145,0.052,0.307,0.16778
0.139,0.059,0.267,0.154963333
0.129,0.068,0.231,0.142516667
0.121,0.073,0.198,0.130896667
0.116,0.08,0.174,0.12338
0.112,0.087,0.156,0.118386667
0.103,0.088,0.142,0.11087
0.098,0.086,0.132,0.105073333
0.09,0.083,0.12,0.09804
0.073,0.075,0.105,0.084303333
0.069,0.073,0.113,0.084886667
0.101,0.095,0.133,0.109416667
0.115,0.101,0.144,0.120023333
0.121,0.106,0.148,0.125153333
0.131,0.117,0.147,0.131953333
0.146,0.127,0.145,0.13952
0.158,0.132,0.146,0.144973333
0.166,0.131,0.142,0.146233333
0.175,0.127,0.134,0.14547
0.177,0.121,0.095,0.131046667
0.152,0.093,0.065,0.103286667
0.154,0.086,0.055,0.098253333
0.182,0.082,0.043,0.102236667
0.196,0.071,0.033,0.10003
0.206,0.064,0.029,0.099513333
0.208,0.06,0.027,0.09842
0.2,0.066,0.028,0.09781
0.19,0.067,0.032,0.096206667
