1,2,3,4
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0.001,0.004,0.011,0.005
0.011,0.032,0.031,0.025
0.02,0.061,0.046,0.042
0.02,0.066,0.052,0.046
0.025,0.051,0.044,0.040
0.019,0.028,0.031,0.026
0.006,0.002,0.012,0.007
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.001,0.000
0.008,0.008,0.011,0.009
0.033,0.071,0.026,0.043
0.053,0.169,0.038,0.087
0.065,0.199,0.041,0.102
0.069,0.147,0.034,0.083
0.073,0.066,0.02,0.053
0.047,0.005,0.005,0.019
0.002,0,0,0.001
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.006,0.002
0.002,0.001,0.061,0.021
0.006,0.003,0.143,0.051
0.011,0.004,0.197,0.071
0.019,0.007,0.184,0.070
0.023,0.006,0.142,0.057
0.016,0.002,0.091,0.036
0.003,0,0.034,0.012
0,0,0.001,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.004,0.001
0.021,0.018,0.05,0.030
0.086,0.088,0.111,0.095
0.141,0.124,0.168,0.144
0.147,0.11,0.196,0.151
0.104,0.065,0.181,0.117
0.053,0.024,0.127,0.068
0.013,0.002,0.039,0.018
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0.014,0.002,0.006,0.007
0.083,0.014,0.025,0.041
0.14,0.027,0.047,0.071
0.134,0.036,0.06,0.077
0.099,0.027,0.057,0.061
0.054,0.012,0.037,0.034
0.02,0,0.01,0.010
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.003,0.001
0.043,0.106,0.072,0.074
0.159,0.266,0.167,0.197
0.258,0.345,0.23,0.278
0.289,0.35,0.261,0.300
0.255,0.291,0.243,0.263
0.189,0.178,0.155,0.174
0.089,0.039,0.048,0.059
0.003,0,0,0.001
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.005,0.002
0.05,0.001,0.024,0.025
0.188,0.01,0.038,0.079
0.259,0.02,0.058,0.112
0.252,0.024,0.069,0.115
0.199,0.019,0.067,0.095
0.133,0.009,0.044,0.062
0.059,0.001,0.013,0.024
0.002,0,0,0.001
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.001,0.000
0.038,0.013,0.017,0.023
0.139,0.055,0.043,0.079
0.224,0.086,0.068,0.126
0.281,0.103,0.088,0.157
0.267,0.086,0.094,0.149
0.147,0.048,0.069,0.088
0.057,0.006,0.023,0.029
0.001,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.001,0.000
0.019,0.003,0.017,0.013
0.05,0.012,0.04,0.034
0.081,0.02,0.062,0.054
0.115,0.021,0.072,0.069
0.114,0.013,0.06,0.062
0.083,0.005,0.035,0.041
0.028,0,0.009,0.012
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.003,0.001
0.011,0.007,0.027,0.015
0.036,0.028,0.061,0.042
0.059,0.055,0.121,0.078
0.074,0.07,0.175,0.106
0.087,0.056,0.169,0.104
0.073,0.027,0.115,0.072
0.027,0.003,0.042,0.024
0.001,0,0.001,0.001
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.011,0.004
0.008,0.011,0.048,0.022
0.029,0.064,0.093,0.062
0.042,0.121,0.131,0.098
0.046,0.165,0.143,0.118
0.043,0.173,0.131,0.116
0.025,0.112,0.094,0.077
0.005,0.022,0.038,0.022
0,0,0.002,0.001
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.015,0.005
0.008,0,0.061,0.023
0.022,0.002,0.116,0.047
0.041,0.015,0.144,0.067
0.04,0.037,0.144,0.074
0.049,0.051,0.121,0.074
0.069,0.056,0.084,0.070
0.042,0.012,0.038,0.031
0.003,0,0.002,0.002
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0,0.000
0,0,0.004,0.001
0.069,0.065,0.049,0.061
0.22,0.187,0.12,0.176
0.337,0.27,0.183,0.263
0.372,0.281,0.203,0.285
0.35,0.242,0.183,0.258
0.263,0.147,0.127,0.179
0.126,0.033,0.049,0.069
0.011,0,0.002,0.004
0,0,0,0.000
