1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0373,0.0228,0.0411,0.0253
0.1507,0.1002,0.1161,0.09175
0.2944,0.1978,0.1935,0.171425
0.3957,0.1995,0.2327,0.206975
0.4629,0.2654,0.2699,0.24955
0.4937,0.3945,0.3026,0.2977
0.4902,0.435,0.3172,0.3106
0.465,0.4475,0.2977,0.30255
0.3894,0.3517,0.2352,0.244075
0.3144,0.2664,0.1584,0.1848
0.1912,0.1645,0.0819,0.1094
0.0647,0.0537,0.0163,0.033675
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0328,0.0105,0.0219,0.0163
0.0857,0.0445,0.058,0.04705
0.1592,0.1254,0.1039,0.097125
0.2157,0.2668,0.1571,0.1599
0.256,0.4129,0.2247,0.2234
0.2867,0.5074,0.2886,0.270675
0.2932,0.541,0.3072,0.28535
0.287,0.542,0.3156,0.28615
0.2474,0.5111,0.2739,0.2581
0.2085,0.4034,0.2088,0.205175
0.1397,0.2059,0.1066,0.11305
0.058,0.052,0.02,0.0325
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0025,0.000625
0.0363,0.019,0.0561,0.02785
0.1055,0.088,0.1832,0.094175
0.1818,0.1594,0.3019,0.160775
0.2475,0.2059,0.3572,0.20265
0.2817,0.2294,0.3884,0.224875
0.2949,0.211,0.4329,0.2347
0.2864,0.1699,0.4323,0.22215
0.2634,0.1356,0.4072,0.20155
0.199,0.0894,0.3367,0.156275
0.1553,0.0938,0.2413,0.1226
0.0988,0.0581,0.1106,0.066875
0.0483,0.0217,0.019,0.02225
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0031,0.000775
0.0332,0.0109,0.0404,0.021125
0.0745,0.0336,0.1208,0.057225
0.138,0.0663,0.2223,0.10665
0.17,0.1033,0.2982,0.142875
0.178,0.1444,0.3147,0.159275
0.1855,0.138,0.301,0.156125
0.1835,0.1363,0.2927,0.153125
0.163,0.2022,0.2928,0.1645
