1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0033,0.000825
0.028,0.0292,0.0273,0.021125
0.0615,0.1217,0.1032,0.0716
0.1555,0.2953,0.2438,0.17365
0.275,0.4707,0.37,0.278925
0.3779,0.5828,0.453,0.353425
0.4469,0.6657,0.5054,0.4045
0.5049,0.698,0.542,0.436225
0.507,0.6647,0.5287,0.4251
0.4725,0.612,0.4687,0.3883
0.4177,0.5413,0.3742,0.3333
0.3567,0.4193,0.2676,0.2609
0.2574,0.2586,0.154,0.1675
0.1348,0.1281,0.0616,0.081125
0.0447,0.0343,0.0162,0.0238
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0036,0.0009
0.0318,0.0282,0.0292,0.0223
0.0785,0.1189,0.1337,0.082775
0.2662,0.2892,0.2972,0.21315
0.4364,0.4639,0.4095,0.32745
0.5452,0.5797,0.496,0.405225
0.6053,0.6661,0.5564,0.45695
0.6442,0.7078,0.5846,0.48415
0.6549,0.6977,0.5735,0.481525
0.6255,0.6487,0.5375,0.452925
0.568,0.5794,0.4602,0.4019
0.4854,0.4893,0.3542,0.332225
0.3379,0.3262,0.2104,0.218625
0.1513,0.1543,0.0752,0.0952
0.0445,0.034,0.0187,0.0243
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0038,0.00095
0.0303,0.0248,0.0301,0.0213
0.0772,0.1155,0.1481,0.0852
0.2552,0.2895,0.3206,0.216325
0.408,0.4649,0.4563,0.3323
0.5104,0.5835,0.5469,0.4102
0.5712,0.6776,0.5984,0.4618
0.61,0.7344,0.6194,0.49095
0.6225,0.7361,0.6063,0.491225
0.5964,0.6844,0.5639,0.461175
0.5354,0.5937,0.4879,0.40425
0.438,0.469,0.3848,0.32295
0.2944,0.2912,0.2316,0.2043
0.134,0.1268,0.076,0.0842
0.0435,0.0333,0.0184,0.0238
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0032,0.0008
0.0248,0.0034,0.0276,0.01395
0.0548,0.0143,0.1218,0.047725
0.1307,0.0391,0.2504,0.10505
0.2269,0.0703,0.3561,0.163325
