1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0247,0,0.0119,0.00915
0.069,0.0398,0.0687,0.044375
0.1465,0.0771,0.1129,0.084125
0.1838,0.0663,0.1244,0.093625
0.2122,0.0574,0.1276,0.0993
0.2047,0.0551,0.1126,0.0931
0.181,0.0625,0.0928,0.084075
0.1503,0.0625,0.0655,0.069575
0.115,0.0625,0.0296,0.051775
0.0518,0.0037,0.0029,0.0146
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0247,0,0.0121,0.0092
0.0868,0.0907,0.0737,0.0628
0.2187,0.2171,0.1096,0.13635
0.3075,0.3021,0.1071,0.179175
0.3422,0.2787,0.122,0.185725
0.322,0.2389,0.1111,0.168
0.2765,0.2369,0.0969,0.152575
0.2147,0.1791,0.0759,0.117425
0.1485,0.1013,0.0355,0.071325
0.0513,0.0048,0.0028,0.014725
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0242,0,0.0132,0.00935
0.0648,0.0605,0.0602,0.046375
0.1598,0.1584,0.1004,0.10465
0.2544,0.2555,0.1299,0.15995
0.3164,0.3167,0.1505,0.1959
0.338,0.3031,0.1525,0.1984
0.2809,0.2335,0.1355,0.162475
0.2122,0.1713,0.1031,0.12165
0.1387,0.1179,0.0542,0.0777
0.0507,0.0088,0.0026,0.015525
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0238,0,0.0122,0.009
0.0852,0.1339,0.0743,0.07335
0.1895,0.3062,0.1201,0.15395
0.28,0.4628,0.136,0.2197
0.3355,0.5322,0.1582,0.256475
0.3395,0.4717,0.1501,0.240325
0.304,0.3378,0.1328,0.19365
0.243,0.2076,0.0957,0.136575
0.1625,0.1424,0.0487,0.0884
0.0588,0.016,0.0029,0.019425
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
