1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0035,0.000875
0.0672,0.0197,0.0388,0.031425
0.2377,0.2328,0.1228,0.148325
0.3499,0.3922,0.1732,0.228825
0.4039,0.456,0.1927,0.26315
0.414,0.4424,0.1974,0.26345
0.3775,0.3021,0.149,0.20715
0.2835,0.1838,0.0608,0.132025
0.13,0.0292,0.0051,0.041075
0.0197,0,0,0.004925
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0035,0.000875
0.0618,0.0044,0.0207,0.021725
0.1463,0.0296,0.0411,0.05425
0.1977,0.0686,0.0584,0.081175
0.2534,0.1692,0.0838,0.1266
0.281,0.2892,0.0825,0.163175
0.2644,0.3419,0.0794,0.171425
0.1903,0.2572,0.0413,0.1222
0.0815,0.0659,0.0061,0.038375
0.0195,0,0,0.004875
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0035,0.000875
0.0582,0.0037,0.0177,0.0199
0.1122,0.017,0.0381,0.041825
0.1385,0.0275,0.0491,0.053775
0.149,0.0398,0.0519,0.060175
0.1473,0.0642,0.0536,0.066275
0.1363,0.0462,0.0407,0.0558
0.1028,0.0279,0.0227,0.03835
0.0603,0.0167,0.0073,0.021075
0.0202,0,0,0.00505
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0036,0.0009
0.0595,0.0156,0.044,0.029775
0.1538,0.1985,0.1458,0.124525
0.21,0.2685,0.1727,0.1628
0.2494,0.3446,0.1819,0.193975
0.2549,0.3779,0.1494,0.19555
0.2284,0.3565,0.1006,0.171375
0.1673,0.2501,0.0548,0.11805
0.0847,0.0483,0.0075,0.035125
0.0187,0,0,0.004675
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0036,0.0009
0.0768,0.0234,0.057,0.0393
0.2232,0.2032,0.1415,0.141975
0.3062,0.3388,0.1728,0.20445
0.3567,0.4112,0.2039,0.24295
0.3634,0.4017,0.1963,0.24035
0.3402,0.3191,0.1688,0.207025
0.261,0.1913,0.098,0.137575
0.1338,0.0411,0.0127,0.0469
0.0206,0,0,0.00515
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0039,0.000975
0.0692,0.0211,0.0461,0.0341
0.1855,0.175,0.1169,0.11935
0.2534,0.2759,0.1682,0.174375
0.2822,0.3065,0.1963,0.19625
0.2739,0.2535,0.183,0.1776
0.2372,0.1736,0.1365,0.136825
0.1657,0.0758,0.0682,0.077425
0.0812,0.0078,0.0097,0.024675
0.0193,0,0,0.004825
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0039,0.000975
0.061,0.0251,0.0263,0.0281
0.1837,0.2481,0.0808,0.12815
0.2527,0.3086,0.0978,0.164775
0.284,0.3368,0.1282,0.18725
0.278,0.2973,0.1062,0.170375
0.2374,0.2154,0.0969,0.137425
0.1753,0.1335,0.0568,0.0914
0.0973,0.0167,0.0087,0.030675
0.0233,0,0,0.005825
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
