1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0099,0.0191,0.00725
0.0405,0.0309,0.0434,0.0287
0.1087,0.1495,0.1865,0.111175
0.2654,0.3269,0.3615,0.23845
0.4127,0.487,0.4777,0.34435
0.5207,0.5981,0.5608,0.4199
0.5909,0.6834,0.613,0.471825
0.624,0.7167,0.632,0.493175
0.6294,0.7197,0.6268,0.493975
0.603,0.6844,0.5815,0.467225
0.553,0.6079,0.5072,0.417025
0.4697,0.5046,0.4057,0.345
0.3325,0.3449,0.259,0.2341
0.1625,0.1733,0.0924,0.10705
0.055,0.0401,0.0259,0.03025
0.0252,0.015,0.0049,0.011275
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0078,0.0194,0.0068
0.0403,0.0452,0.0455,0.03275
0.0953,0.1441,0.1829,0.105575
0.2219,0.2946,0.3514,0.216975
0.3602,0.4353,0.4748,0.317575
0.4444,0.5114,0.5548,0.37765
0.5072,0.5226,0.607,0.4092
0.5519,0.5597,0.6292,0.4352
0.563,0.611,0.6149,0.447225
0.5424,0.6045,0.5728,0.429925
0.5005,0.5155,0.5008,0.3792
0.4162,0.4057,0.3978,0.304925
0.2927,0.2637,0.2486,0.20125
0.1495,0.1465,0.0903,0.096575
0.0567,0.0523,0.0282,0.0343
0.025,0.0092,0.0045,0.009675
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0068,0.0161,0.005725
0.0433,0.0489,0.0474,0.0349
0.1075,0.1471,0.1491,0.100925
0.2455,0.3184,0.2915,0.21385
0.3892,0.4795,0.4045,0.3183
0.5022,0.5903,0.4813,0.39345
0.5702,0.6688,0.5428,0.44545
0.609,0.6864,0.5708,0.46655
0.6214,0.6926,0.5667,0.470175
0.593,0.6745,0.5316,0.449775
0.5329,0.596,0.4639,0.3982
0.4387,0.4883,0.3637,0.322675
0.3049,0.3239,0.2224,0.2128
0.1518,0.1614,0.0875,0.100175
0.0562,0.0527,0.0284,0.034325
0.025,0.0136,0.0042,0.0107
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0061,0.0168,0.005725
0.0433,0.0421,0.0536,0.03475
0.1102,0.1414,0.1645,0.104025
