1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0333,0.0221,0.0744,0.03245
0.024,0.0078,0.0102,0.0105
0.3834,0.4411,0.4392,0.315925
0.5092,0.5821,0.5459,0.4093
0.5852,0.6824,0.6045,0.468025
0.615,0.7194,0.6171,0.487875
0.5999,0.7031,0.5971,0.475025
0.5604,0.6484,0.535,0.43595
0.4785,0.5437,0.4286,0.3627
0.346,0.3721,0.2595,0.2444
0.1557,0.1556,0.0562,0.091875
0.0247,0.0024,0,0.006775
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0297,0.0214,0.0671,0.02955
0.1652,0.2277,0.2509,0.16095
0.3515,0.4387,0.4064,0.29915
0.4804,0.5746,0.5051,0.390025
0.5464,0.6657,0.5717,0.44595
0.5555,0.7011,0.5985,0.463775
0.529,0.6813,0.5687,0.44475
0.4944,0.6287,0.5145,0.4094
0.3992,0.5349,0.4109,0.33625
0.2824,0.3619,0.2463,0.22265
0.1302,0.1478,0.0545,0.083125
0.0247,0.0027,0,0.00685
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.03,0.0102,0.0581,0.024575
0.1275,0.1203,0.2366,0.1211
0.2374,0.2878,0.3922,0.22935
0.3162,0.4282,0.471,0.30385
0.4042,0.5345,0.5319,0.36765
0.435,0.592,0.5512,0.39455
0.4162,0.5746,0.5087,0.374875
0.3724,0.489,0.4388,0.32505
0.2807,0.3911,0.3171,0.247225
0.2057,0.281,0.1675,0.16355
0.1077,0.1179,0.0397,0.066325
0.0247,0.0031,0,0.00695
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0288,0.0167,0.0328,0.019575
0.1305,0.1519,0.1176,0.1
0.259,0.2838,0.1907,0.183375
0.3485,0.3973,0.2457,0.247875
0.408,0.453,0.3063,0.291825
0.4337,0.4625,0.3287,0.306225
0.3987,0.489,0.3036,0.297825
0.3329,0.4639,0.2647,0.265375
0.2459,0.3847,0.1917,0.205575
