1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0122,0.00305
0.0442,0.0177,0.0788,0.035175
0.1093,0.0564,0.1749,0.08515
0.1875,0.0822,0.2591,0.1322
0.2667,0.1135,0.3095,0.172425
0.3255,0.1879,0.3106,0.206
0.3782,0.2304,0.2929,0.225375
0.4155,0.2647,0.2447,0.231225
0.4149,0.2467,0.1818,0.21085
0.3769,0.2042,0.1345,0.1789
0.3315,0.2127,0.0959,0.160025
0.2227,0.1611,0.0597,0.110875
0.0842,0.0741,0.0206,0.044725
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0115,0.002875
0.0587,0.0693,0.092,0.055
0.1998,0.2127,0.238,0.162625
0.3665,0.3255,0.3628,0.2637
0.471,0.4,0.4207,0.322925
0.505,0.4309,0.4348,0.342675
0.5112,0.4272,0.4307,0.342275
0.5069,0.3735,0.3906,0.31775
0.4732,0.2878,0.3385,0.274875
0.401,0.2538,0.2606,0.22885
0.3405,0.1995,0.1952,0.1838
0.215,0.1189,0.1019,0.10895
0.0782,0.0459,0.0257,0.03745
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0081,0.002025
0.0525,0.0612,0.0586,0.043075
0.1708,0.1883,0.1549,0.1285
0.3174,0.3507,0.2703,0.2346
0.4079,0.4921,0.3243,0.306075
0.4349,0.5322,0.333,0.325025
0.4287,0.4615,0.3306,0.3052
0.4225,0.3521,0.3237,0.274575
0.3929,0.299,0.3046,0.249125
0.3454,0.2464,0.2579,0.212425
0.3034,0.2154,0.1882,0.17675
0.1992,0.1393,0.0956,0.108525
0.0717,0.053,0.0238,0.037125
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0096,0.0024
0.0573,0.0561,0.0843,0.049425
0.1885,0.19,0.2312,0.152425
0.3387,0.3371,0.3639,0.259925
0.4257,0.3731,0.4073,0.301525
0.4422,0.313,0.3706,0.28145
0.4305,0.298,0.3455,0.2685
0.413,0.3082,0.327,0.26205
