GenID;OnBus;Pmax;Type;Costs
1;59;2000;Nuclear;8.85
2;91;1800;Nuclear;8.93
3;114;400;Gas/CCGT;121.56
4;12;600;Gas/CCGT;80.25
5;37;1500;Hard Coal;47.42
6;35;1600;Lignite;36.05
7;19;800;Gas/CCGT;76.86
8;72;1400;Hard Coal;46.72
9;25;1600;Lignite;37.28
10;22;400;Gas/CCGT;129.22
11;27;600;Gas/CCGT;65.64
12;17;1300;Hard Coal;48.19
13;5;1600;Hard Coal;48.53
14;34;800;Gas/CCGT;66.57
15;37;800;Gas/CCGT;79.66
16;50;650;Lignite;37.43
17;42;1000;Gas/CCGT;77.41
18;70;400;Gas/CCGT;123.39
19;78;700;Gas/CCGT;79.09
20;76;400;Gas/CCGT;126.23
21;68;1600;Hard Coal;47.85
22;85;800;Gas/CCGT;70.58
23;83;1500;Hard Coal;48.02
24;47;800;Lignite;37.06
25;91;400;Gas/CCGT;122.47
26;31;800;Gas/CCGT;78.52
27;80;1500;Hard Coal;47.24
28;3;1600;Lignite;35.46
29;68;800;Gas/CCGT;77.96
30;112;340.4;Wind Offshore;0
31;111;317.4;Wind Offshore;0
32;104;1036.84;Wind;0
33;76;999.81;Wind;0
34;73;917.815;Wind;0
35;24;542.225;Wind;0
36;110;603.06;Wind;0
37;87;629.51;Wind;0
38;103;603.06;Wind;0
39;89;923.105;Wind;0
40;96;529;Wind;0
41;104;529;Wind;0
42;53;644;Wind;0
43;11;874;Wind;0
44;67;506;Wind;0
45;28;460;Wind;0
46;15;690;Wind;0
47;75;317.4;Wind;0
48;107;396.75;Wind;0
49;106;581.9;Wind;0
50;98;529;Wind;0
51;40;375;PV;0
52;55;750;PV;0
53;56;562.5;PV;0
54;46;687.5;PV;0
55;54;750;PV;0
56;65;750;PV;0
57;65;912.5;PV;0
58;49;662.5;PV;0
59;61;750;PV;0
60;62;600;PV;0
61;16;1080;PV;0
62;71;837.5;PV;0
63;94;500;PV;0
64;58;375;PV;0
65;41;325;PV;0
66;40;300;PV;0
67;39;287.5;PV;0
68;60;275;PV;0
69;44;201.25;PV;0
70;45;200;PV;0
71;52;190;Wind;0
72;42;687.5;PV;0
78;7;10800;Hard Coal;47.8
79;43;10500;Gas/CCGT;90
80;79;4600;Lignite;36
81;100;300;Gas/CCGT;90
82;118;10700;Hard Coal;47.8
83;119;1500;Wind Offshore;0
84;120;1500;Wind Offshore;0
85;121;1000;Wind Offshore;0
86;122;1000;Wind Offshore;0
87;123;1000;Wind Offshore;0
