BranchID;FromBus;ToBus;Pmax
1;1;2;491.56
2;3;5;491.56
3;6;7;491.56
4;5;9;1790.25
7;5;11;491.56
8;11;12;491.56
9;3;12;491.56
10;11;13;491.56
11;12;14;491.56
12;13;15;491.56
13;14;15;491.56
14;12;16;491.56
15;15;17;491.56
16;16;17;491.56
17;18;19;491.56
18;19;20;491.56
19;15;19;491.56
20;21;22;491.56
21;22;23;491.56
22;23;25;491.56
24;25;27;491.56
25;27;28;491.56
27;17;31;491.56
28;29;31;491.56
29;31;32;491.56
30;15;33;491.56
31;19;34;491.56
33;33;37;491.56
34;34;35;491.56
36;17;37;1790.25
37;39;40;1790.25
38;40;41;1790.25
39;41;42;1790.25
40;34;43;491.56
41;44;45;491.56
42;45;46;491.56
43;47;49;491.56
44;45;49;491.56
45;56;57;491.56
46;50;57;491.56
47;56;59;491.56
48;59;60;491.56
49;60;62;491.56
50;61;62;491.56
52;59;61;1790.25
55;61;65;1790.25
56;49;65;491.56
57;49;65;491.56
58;62;67;491.56
60;65;67;491.56
65;24;70;1790.25
66;70;71;1790.25
67;24;72;1790.25
68;71;72;1790.25
69;71;73;1790.25
71;70;75;491.56
72;76;77;491.56
73;75;77;491.56
74;79;80;491.56
76;77;82;491.56
77;82;83;491.56
78;85;86;491.56
79;86;87;491.56
80;85;88;491.56
81;88;89;491.56
82;89;91;491.56
84;91;93;491.56
85;93;94;491.56
86;82;96;491.56
87;80;97;491.56
88;80;98;491.56
89;94;100;491.56
90;96;97;491.56
91;99;100;491.56
92;100;101;491.56
93;91;102;491.56
94;101;102;491.56
95;100;103;491.56
96;103;104;491.56
97;100;106;491.56
99;106;107;491.56
100;108;109;491.56
101;103;110;491.56
102;109;110;491.56
103;110;111;491.56
104;110;112;491.56
105;17;113;491.56
106;32;113;491.56
107;32;114;491.56
109;68;76;1790.25
110;12;117;491.56
111;75;118;491.56
112;76;118;491.56
113;68;70;1790.25
115;5;3;1790.25
116;3;37;1790.25
117;42;65;1790.25
118;42;55;1790.25
119;55;59;1790.25
120;76;78;1790.25
121;78;80;1790.25
122;76;70;1790.25
123;65;47;1790.25
127;65;39;1790.25
128;42;59;1790.25
129;80;83;1790.25
130;76;83;1790.25
131;83;89;1790.25
132;89;80;1790.25
133;27;114;491.56
134;25;114;1790.25
135;37;35;491.56
136;17;35;1790.25
137;25;35;1790.25
138;35;37;1790.25
139;5;114;1790.25
140;89;91;1790.25
141;80;91;1790.25
142;107;104;491.56
143;106;104;491.56
144;108;104;491.56
145;80;104;1790.25
146;91;104;1790.25
147;89;104;1790.25
149;54;52;491.56
150;41;53;1790.25
151;53;55;1790.25
152;99;98;491.56
153;52;50;491.56
154;59;58;1790.25
155;58;50;1790.25
156;50;61;1790.25
157;5;7;491.56
159;72;24;1790.25
160;13;16;491.56
161;42;50;1790.25
162;50;65;1790.25
163;50;49;491.56
164;52;44;491.56
165;5;9;1790.25
166;6;16;491.56
167;1;2;491.56
168;117;12;491.56
169;18;19;491.56
170;20;19;491.56
171;21;32;491.56
172;28;29;491.56
173;54;52;491.56
174;79;80;491.56
175;87;86;491.56
176;86;85;491.56
177;111;110;491.56
178;112;110;491.56
185;6;7;491.56
186;15;19;491.56
189;37;43;491.56
191;2;12;491.56
192;3;12;491.56
193;13;15;491.56
194;14;15;491.56
195;15;17;491.56
196;16;17;491.56
197;23;25;491.56
200;17;31;491.56
201;29;31;491.56
202;15;33;491.56
203;19;34;491.56
204;33;37;491.56
205;34;35;491.56
207;39;40;1790.25
208;56;57;491.56
210;70;75;491.56
211;76;77;491.56
212;77;82;491.56
213;82;83;491.56
214;83;85;491.56
215;94;95;491.56
216;82;96;491.56
217;80;98;491.56
218;94;100;491.56
219;95;96;491.56
220;100;103;491.56
221;108;109;491.56
222;103;110;491.56
223;109;110;491.56
224;32;114;491.56
226;107;104;491.56
228;5;7;491.56
229;2;12;491.56
230;21;32;491.56
232;110;104;491.56
233;2;3;491.56
236;37;33;491.56
237;3;1;491.56
238;110;107;491.56
240;103;101;491.56
241;103;101;491.56
262;110;112;491.56
263;110;111;491.56
264;32;114;491.56
265;32;114;491.56
266;34;35;491.56
267;34;35;491.56
268;94;95;491.56
269;46;47;491.56
270;19;34;491.56
271;101;102;491.56
272;91;102;491.56
273;94;95;491.56
274;82;96;491.56
275;46;47;491.56
276;19;34;491.56
277;50;57;491.56
278;56;59;491.56
279;83;85;491.56
280;95;96;491.56
281;83;85;491.56
282;95;96;491.56
283;12;14;491.56
284;25;114;1790.25
285;41;42;1790.25
286;76;78;1790.25
287;40;41;1790.25
288;27;28;491.56
289;22;23;491.56
290;76;70;1790.25
291;76;68;1790.25
292;78;80;1790.25
294;23;25;491.56
295;25;27;491.56
296;25;114;1790.25
297;3;5;1790.25
298;5;114;1790.25
299;99;100;491.56
300;40;39;1790.25
302;98;99;491.56
303;40;41;1790.25
304;91;102;491.56
310;54;56;491.56
311;54;56;491.56
312;14;15;491.56
313;6;16;491.56
314;28;29;491.56
315;108;104;491.56
316;15;33;491.56
317;21;22;491.56
318;12;14;491.56
319;5;114;1790.25
